Resource,biomass,conventional_hydroelectric,conventional_steam_coal,conventional_steam_coal_5,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,conventional_steam_coal_4,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,small_hydroelectric,solar_photovoltaic,Battery,Total,Date
t1,61.7364,3.2284824,2957.6800000000003,2957.6800000000003,418.8006,3168.0,2533.5,499.068,0.0,0.0,1819.122318,0.0,0.0,188.5572,0.0,0.0,3339.03834,0.0,0.0,0.0,0.0,1811.762424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.08175,0.0,0.0,0.0,0.0,2520.0,2460.0,6552.249306750001,0.0,0.0,0.0,31329.504821150003,2021-02-22 00:00:00
t2,61.7364,3.2284824,3024.9,3024.9,418.8006,3168.0,2533.5,499.068,0.0,0.0,1819.122318,0.0,0.0,188.5572,0.0,0.0,4038.367937494,0.0,0.0,0.0,0.0,1811.762424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.08175,0.0,0.0,0.0,0.0,2520.0,2460.0,4743.688505706,0.0,0.0,0.0,30354.7136176,2021-02-22 01:00:00
t3,61.7364,3.2284824,3024.9,3024.9,418.8006,3168.0,2533.5,499.068,0.0,0.0,1819.122318,0.0,0.0,188.5572,0.0,0.0,5190.431296405999,0.0,0.0,0.0,0.0,1811.762424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.08175,0.0,0.0,0.0,0.0,2520.0,2460.0,3325.784416794,0.0,0.0,0.0,30088.8728876,2021-02-22 02:00:00
t4,61.7364,3.2284824,3024.9,3024.9,418.8006,3168.0,2533.5,499.068,0.0,0.0,1819.122318,0.0,0.0,188.5572,0.0,0.0,5850.621358195998,0.0,0.0,0.0,0.0,1811.762424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.08175,0.0,0.0,0.0,0.0,2520.0,2460.0,2970.126005004,0.0,0.0,0.0,30393.4045376,2021-02-22 03:00:00
t5,61.7364,3.2284824,3024.9,3024.9,418.8006,3168.0,2533.5,499.068,0.0,0.0,1819.122318,0.0,0.0,188.5572,0.0,0.0,6383.366329642,0.0,0.0,0.0,0.0,1811.762424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.08175,0.0,0.0,0.0,0.0,2520.0,2460.0,3231.825003558,0.0,0.0,0.0,31187.8485076,2021-02-22 04:00:00
t6,61.7364,3.2284824,3024.9,3024.9,418.8006,3168.0,2533.5,499.068,0.0,0.0,1819.122318,0.0,0.0,188.5572,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,1811.762424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.08175,0.0,0.0,0.0,0.0,2520.0,2460.0,4386.453585894,0.0,0.0,127.23690730599992,32705.5866676,2021-02-22 05:00:00
t7,61.7364,3.2284824,3024.9,3024.9,418.8006,3168.0,2533.5,499.068,0.0,0.0,2861.120807816085,0.0,0.0,188.5572,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,1811.762424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.08175,0.0,0.0,0.0,0.0,2520.0,2460.0,5530.677304158001,0.0,0.0,617.5686792259098,35382.14064759999,2021-02-22 06:00:00
t8,61.7364,3.2284824,3024.9,3024.9,418.8006,3168.0,2533.5,499.068,0.0,0.0,3582.5166,0.0,0.0,362.61,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,3672.4914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.31360362799752,0.0,0.0,0.0,0.0,2520.0,2460.0,6274.470001572,0.0,0.0,726.0,39044.7740876,2021-02-22 07:00:00
t9,61.7364,3.2284824,3024.9,3024.9,418.8006,3168.0,2533.5,499.068,0.0,0.0,3582.5166,0.0,0.0,257.856,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,3601.600022360002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.08175,0.0,0.0,0.0,0.0,2520.0,2460.0,8257.07638584,0.0,0.177137,726.0,40797.6803776,2021-02-22 08:00:00
t10,61.7364,3.4624304,3024.9,3024.9,418.8006,3168.0,2533.5,499.068,0.0,0.0,3361.134772505989,0.0,0.0,0.0,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,1207.841616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,9614.758216968,0.0,1146.877813726,0.0,39664.2188496,2021-02-22 09:00:00
t11,61.7364,3.743168,3024.9,3024.9,418.8006,3168.0,2533.5,499.068,0.0,0.0,1819.122318,0.0,0.0,0.0,0.0,0.0,4580.297205260995,0.0,0.0,0.0,0.0,1207.841616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,8161.225203996,0.0,4509.157900743,0.0,37992.292412,2021-02-22 10:00:00
t12,61.7364,4.0239056,3024.9,3024.9,418.8006,3168.0,2533.5,499.068,0.0,0.0,1819.122318,0.0,0.0,0.0,0.0,0.0,3353.854842796998,0.0,0.0,0.0,0.0,1207.841616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,7730.840701638,0.0,4807.976030365,0.0,36634.5644144,2021-02-22 11:00:00
t13,61.7364,4.257853600000001,1659.9231425719972,3024.9,293.16042,3168.0,2533.5,499.068,0.0,0.0,1819.122318,0.0,0.0,0.0,0.0,0.0,3339.03834,0.0,0.0,0.0,0.0,1207.841616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,9416.434492242,0.0,3681.247913986,0.0,35688.2304964,2021-02-22 12:00:00
t14,61.7364,4.5385912,1073.8451571940004,3024.9,293.16042,3168.0,2533.5,499.068,0.0,0.0,1819.122318,0.0,0.0,0.0,0.0,0.0,3339.03834,0.0,0.0,0.0,0.0,1207.841616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,10469.221189596,0.0,2594.64189681,0.0,35068.6139288,2021-02-22 13:00:00
t15,61.7364,4.772539200000001,1041.91,2864.079221314,293.16042,3168.0,2533.5,499.068,0.0,0.0,1819.122318,0.0,0.0,0.0,0.0,0.0,3339.03834,0.0,0.0,0.0,0.0,1207.841616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,11102.343611796,0.0,1813.76755449,0.0,34728.340020799995,2021-02-22 14:00:00
t16,61.7364,5.053276800000001,1139.9705844924374,3024.9,293.16042,3168.0,2533.5,499.068,0.0,0.0,1819.122318,0.0,0.0,0.0,0.0,0.0,3339.03834,0.0,0.0,0.0,0.0,1207.841616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,11015.636114952,0.0,1760.822908746,0.0,34847.84997899044,2021-02-22 15:00:00
t17,61.7364,5.3340144,1534.9631877249976,3024.9,293.16042,3168.0,2533.5,499.068,0.0,0.0,1819.122318,0.0,0.0,0.0,0.0,0.0,3339.03834,0.0,0.0,0.0,0.0,1207.841616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,10629.708892704,0.0,1939.038346771,0.0,35035.41153559999,2021-02-22 16:00:00
t18,61.7364,5.567962400000001,1768.0118271799963,3024.9,293.16042,3168.0,2533.5,499.068,0.0,0.0,1819.122318,0.0,0.0,0.0,0.0,0.0,3339.03834,0.0,0.0,0.0,0.0,1207.841616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,9917.76151377,0.0,2606.40081025,0.0,35224.1092076,2021-02-22 17:00:00
