Resource,biomass,conventional_hydroelectric,conventional_steam_coal,conventional_steam_coal_5,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,conventional_steam_coal_4,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,small_hydroelectric,solar_photovoltaic,Battery,Total,Date
t1,61.7364,49.4566072,416.764,833.528,0.0,3168.0,0.0,72.0876,301.63828,1368.045,3582.5166,343.768161,0.0,3626.1,480.3228,605.197,6619.239,167.90910000000002,108.546,540.54,235.98,5646.662661279994,440.016,0.0,311.683932,0.0,0.0,0.0,0.0,0.0,194.533647,0.0,0.0,149.856,0.0,0.0,0.0,126.59075,0.0,119.625,90.688626,0.0,245.31,20.04,0.0,308.88,0.0,113.23693500000002,0.0,16.698734,56.056,0.0,156.327,98.04,30.082,30.082,15.006,2520.0,2460.0,10701.40180932,0.0,0.0,0.0,46432.1916428,2021-06-22 00:00:00
t2,61.7364,49.4566072,416.764,833.528,0.0,3168.0,0.0,72.0876,301.63828,1368.045,3582.5166,343.768161,0.0,3626.1,480.3228,605.197,6619.239,167.90910000000002,108.546,540.54,235.98,4213.498539881995,440.016,0.0,311.683932,0.0,0.0,0.0,0.0,0.0,194.533647,0.0,0.0,149.856,0.0,0.0,0.0,126.59075,0.0,119.625,90.688626,0.0,245.31,20.04,0.0,308.88,0.0,113.23693500000002,0.0,16.698734,56.056,0.0,156.327,98.04,30.082,30.082,15.006,2520.0,2460.0,9781.929560718,0.0,0.0,0.0,44079.55527279999,2021-06-22 01:00:00
t3,61.7364,49.4566072,416.764,833.528,0.0,3168.0,0.0,72.0876,301.63828,1368.045,3582.5166,343.768161,0.0,3626.1,480.3228,605.197,6619.239,167.90910000000002,108.546,540.54,235.98,4968.453996327995,440.016,0.0,311.683932,0.0,0.0,0.0,0.0,0.0,194.533647,0.0,0.0,149.856,0.0,0.0,0.0,126.59075,0.0,119.625,90.688626,0.0,245.31,20.04,0.0,308.88,0.0,113.23693500000002,0.0,16.698734,56.056,0.0,156.327,98.04,30.082,30.082,15.006,2520.0,2460.0,7503.307774272,0.0,0.0,0.0,42555.88894279999,2021-06-22 02:00:00
t4,61.7364,49.4566072,416.764,833.528,0.0,3168.0,0.0,72.0876,301.63828,1368.045,3582.5166,343.768161,0.0,3626.1,480.3228,605.197,6619.239,167.90910000000002,108.546,540.54,235.98,5444.40827011199,440.016,0.0,311.683932,0.0,0.0,0.0,0.0,0.0,194.533647,0.0,0.0,149.856,0.0,0.0,0.0,126.59075,0.0,119.625,90.688626,0.0,245.31,20.04,0.0,308.88,0.0,113.23693500000002,0.0,16.698734,56.056,0.0,156.327,98.04,30.082,30.082,15.006,2520.0,2460.0,6058.099240488,0.0,0.0,0.0,41586.63468279999,2021-06-22 03:00:00
t5,61.7364,49.4566072,416.764,833.528,0.0,3168.0,0.0,72.0876,301.63828,1368.045,3582.5166,343.768161,0.0,3626.1,480.3228,615.6846059084601,6619.239,167.90910000000002,108.546,540.54,235.98,6120.819,440.016,0.0,311.683932,0.0,0.0,0.0,0.0,0.0,194.533647,0.0,0.0,149.856,0.0,0.0,0.0,126.59075,0.0,119.625,90.688626,0.0,245.31,20.04,0.0,308.88,0.0,113.23693500000002,0.0,16.698734,56.056,0.0,156.327,98.04,30.082,30.082,15.006,2520.0,2460.0,4629.714300918,0.0,0.0,0.0,40845.14807902646,2021-06-22 04:00:00
t6,61.7364,49.4566072,416.764,833.528,0.0,3168.0,0.0,72.0876,301.63828,1368.045,3582.5166,529.1424146667796,0.0,3626.1,480.3228,927.9,6619.239,239.49000000000004,108.546,540.54,235.98,6120.819,440.016,0.0,311.683932,0.0,0.0,0.0,0.0,0.0,194.533647,0.0,0.0,149.856,0.0,0.0,0.0,126.59075,0.0,119.625,90.688626,0.0,245.31,20.04,0.0,308.88,0.0,113.23693500000002,0.0,16.698734,56.056,0.0,156.327,98.04,30.082,30.082,15.006,2520.0,2460.0,4417.802137368,0.0,0.0,0.0,41202.40646323478,2021-06-22 05:00:00
t7,61.7364,49.4566072,416.764,833.528,0.0,3168.0,0.0,72.0876,301.63828,1368.045,3582.5166,671.1309000000001,0.0,3626.1,480.3228,927.9,6619.239,239.49000000000004,108.546,540.54,859.4762985159996,6120.819,741.6,0.0,311.683932,0.0,0.0,0.0,0.0,0.0,194.533647,0.0,0.0,149.856,0.0,0.0,0.0,126.59075,0.0,119.625,90.688626,0.0,245.31,20.04,0.0,308.88,0.0,113.23693500000002,0.0,16.698734,56.056,0.0,156.327,98.04,30.082,30.082,15.006,2520.0,2460.0,4386.096213084,0.0,0.0,0.0,42237.769322800006,2021-06-22 06:00:00
t8,61.7364,49.4566072,416.764,833.528,0.0,3168.0,0.0,72.0876,301.63828,1908.9,3582.5166,671.1309000000001,0.0,3626.1,480.3228,927.9,6619.239,239.49000000000004,108.546,540.54,923.4,6120.819,741.6,0.0,928.8594,0.0,0.0,0.0,0.0,0.0,194.533647,0.0,0.0,149.856,0.0,0.0,0.0,126.59075,0.0,119.625,90.688626,0.0,245.31,20.04,0.0,1122.452197926992,0.0,113.23693500000002,0.0,16.698734,56.056,0.0,156.327,98.04,30.082,30.082,15.006,2520.0,2460.0,3423.270933882,0.0,83.320741791,0.0,43393.79115279999,2021-06-22 07:00:00
t9,61.7364,49.4566072,416.764,833.528,0.0,3168.0,0.0,182.9916,301.63828,1908.9,3582.5166,671.1309000000001,0.0,3626.1,480.3228,927.9,6619.239,239.49000000000004,108.546,540.54,923.4,6120.819,741.6,0.0,928.8594,0.0,0.0,0.0,0.0,0.0,194.533647,0.0,0.0,149.856,0.0,0.0,0.0,126.59075,0.0,119.625,90.688626,0.0,245.31,20.04,0.0,1879.5242522129972,0.0,113.23693500000002,0.0,16.698734,56.056,0.0,156.327,98.04,30.082,30.082,15.006,2520.0,2460.0,3420.359174394,0.0,961.278596993,0.0,45136.8133028,2021-06-22 08:00:00
t10,61.7364,49.4566072,416.764,833.528,0.0,3168.0,0.0,499.068,301.63828,1908.9,3582.5166,671.1309000000001,0.0,3626.1,480.3228,927.9,6619.239,239.49000000000004,108.546,1069.2,923.4,6120.819,741.6,0.0,928.8594,0.0,0.0,0.0,0.0,0.0,194.533647,0.0,0.0,149.856,0.0,0.0,0.0,126.59075,0.0,119.625,90.688626,0.0,245.31,20.04,0.0,1944.0,0.0,113.23693500000002,0.0,16.698734,56.056,0.0,728.580873390003,98.04,30.082,30.082,15.006,2520.0,2460.0,2790.122704272,0.0,2127.322195938,0.0,47154.0864528,2021-06-22 09:00:00
