Resource,biomass,conventional_hydroelectric,conventional_steam_coal,conventional_steam_coal_5,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,conventional_steam_coal_4,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,small_hydroelectric,solar_photovoltaic,Battery,Total,Date
t1,61.7364,57.317260000000005,0.0,0.0,0.0,3168.0,0.0,0.0,0.0,0.0,3582.5166,343.768161,0.0,3626.1,0.0,605.197,6619.239,167.90910000000002,0.0,0.0,235.98,3588.805807030002,440.016,0.0,311.683932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.625,0.0,0.0,122.655,0.0,0.0,308.88,0.0,90.589548,0.0,0.0,0.0,0.0,156.327,0.0,30.082,0.0,0.0,1234.8,1205.4,11840.59147608,0.0,0.08791589,0.0,37917.3072,2021-10-22 00:00:00
t2,61.7364,78.138632,0.0,0.0,0.0,3168.0,0.0,0.0,0.0,0.0,3582.5166,343.768161,0.0,2440.527453315998,0.0,605.197,6619.239,167.90910000000002,0.0,0.0,235.98,3019.60404,440.016,0.0,311.683932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.625,0.0,0.0,122.655,0.0,0.0,308.88,0.0,90.589548,0.0,0.0,0.0,0.0,156.327,0.0,30.082,0.0,0.0,1234.8,1205.4,11721.037435794,0.0,0.08791589,0.0,36063.800218,2021-10-22 01:00:00
t3,61.7364,78.138632,0.0,0.0,0.0,3168.0,0.0,0.0,0.0,0.0,3582.5166,343.768161,0.0,2110.6386652340034,0.0,605.197,6619.239,167.90910000000002,0.0,0.0,235.98,3019.60404,440.016,0.0,311.683932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.625,0.0,0.0,122.655,0.0,0.0,308.88,0.0,90.589548,0.0,0.0,0.0,0.0,156.327,0.0,30.082,0.0,0.0,1234.8,1205.4,10849.275123876,0.0,0.08791589,0.0,34862.149118,2021-10-22 02:00:00
t4,61.7364,78.138632,0.0,0.0,0.0,3168.0,0.0,0.0,0.0,0.0,3582.5166,343.768161,0.0,2521.069792308,0.0,605.197,6619.239,167.90910000000002,0.0,0.0,235.98,3019.60404,440.016,0.0,311.683932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.625,0.0,0.0,122.655,0.0,0.0,308.88,0.0,90.589548,0.0,0.0,0.0,0.0,156.327,0.0,30.082,0.0,0.0,1234.8,1205.4,9846.104966802,0.0,0.08791589,0.0,34269.410088,2021-10-22 03:00:00
t5,61.7364,78.138632,0.0,0.0,0.0,3168.0,0.0,0.0,0.0,0.0,3582.5166,343.768161,0.0,2339.429318446081,0.0,605.197,6619.239,167.90910000000002,0.0,0.0,235.98,3019.60404,440.016,0.0,311.683932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.625,0.0,0.0,122.655,0.0,0.0,308.88,0.0,90.589548,0.0,0.0,0.0,0.0,156.327,0.0,30.082,0.0,0.0,1234.8,1205.4,10127.209360212,0.0,0.08791589,0.0,34368.87400754808,2021-10-22 04:00:00
t6,61.7364,78.138632,0.0,0.0,0.0,3168.0,0.0,0.0,0.0,0.0,3582.5166,343.768161,0.0,3626.1,0.0,605.197,6619.239,167.90910000000002,0.0,0.0,235.98,3603.306993138785,440.016,0.0,311.683932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.625,0.0,0.0,122.655,0.0,0.0,308.88,0.0,90.589548,0.0,0.0,0.0,0.0,156.327,0.0,30.082,0.0,0.0,1234.8,1205.4,9489.136256406,0.0,0.08791589,0.0,35601.17453843478,2021-10-22 05:00:00
t7,61.7364,78.138632,0.0,0.0,0.0,3168.0,0.0,0.0,0.0,0.0,3582.5166,615.1769954427809,0.0,3626.1,0.0,927.9,6619.239,239.49000000000004,0.0,0.0,235.98,6120.819,440.016,0.0,311.683932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.625,0.0,0.0,122.655,0.0,0.0,308.88,0.0,90.589548,0.0,0.0,0.0,0.0,156.327,0.0,30.082,0.0,0.0,1234.8,1205.4,8903.558535102,0.0,0.08791589,0.0,38198.80155843478,2021-10-22 06:00:00
t8,61.7364,78.138632,0.0,0.0,0.0,3168.0,0.0,0.0,0.0,0.0,3582.5166,671.1309000000001,0.0,3626.1,0.0,927.9,6619.239,239.49000000000004,0.0,0.0,892.62,6120.819,741.6,0.0,710.35568831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.625,0.0,0.0,122.655,0.0,0.0,308.88,0.0,90.589548,0.0,0.0,0.0,0.0,156.327,0.0,30.082,0.0,0.0,1234.8,1205.4,8863.5942738,0.0,0.08791589,0.0,39571.686958,2021-10-22 07:00:00
t9,61.7364,78.138632,0.0,0.0,0.0,3168.0,0.0,0.0,0.0,0.0,3582.5166,671.1309000000001,0.0,3626.1,0.0,927.9,6619.239,239.49000000000004,0.0,0.0,923.4,6120.819,741.6,0.0,928.8594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.625,0.0,0.0,122.655,0.0,0.0,1176.4803669489966,0.0,90.589548,0.0,0.0,0.0,0.0,156.327,0.0,30.082,0.0,0.0,1234.8,1205.4,8327.463823512,0.0,52.242297539,0.0,40204.594968,2021-10-22 08:00:00
t10,61.7364,78.138632,0.0,0.0,0.0,3168.0,0.0,0.0,0.0,1368.045,3582.5166,671.1309000000001,0.0,3626.1,0.0,927.9,6619.239,239.49000000000004,0.0,0.0,923.4,6120.819,741.6,0.0,928.8594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.625,0.0,0.0,122.655,0.0,0.0,685.8780421839974,0.0,90.589548,0.0,0.0,0.0,0.0,156.327,0.0,30.082,0.0,0.0,1234.8,1205.4,7234.204783608,0.0,1999.191452208,0.0,41935.72775799999,2021-10-22 09:00:00
