Resource,Zone,AnnualSum,Capacity,CapacityFactor
biomass,1,527316.1823834978,69.0,0.8725041115200727
conventional_hydroelectric,1,391987.0187999995,468.0,0.09562496860372176
conventional_steam_coal,1,6.01874916157822e6,6722.0,0.10222407972462345
conventional_steam_coal_1,1,139668.49019937695,698.0,0.02284485940116559
conventional_steam_coal_2,1,1.416754739737097e7,6335.0,0.25532511058637297
conventional_steam_coal_3,1,2.4398267153406567e6,652.0,0.42722519857588315
natural_gas_fired_combined_cycle,1,1.0923670611869374e6,780.0,0.15988932426821606
natural_gas_fired_combined_cycle_1,1,5.631111797012318e6,2121.0,0.30310908588519464
natural_gas_fired_combined_cycle_2,1,3.297102217845262e7,4644.0,0.8105609443391908
natural_gas_fired_combined_cycle_3,1,2.8620859840154625e6,746.0,0.4380153426281206
natural_gas_fired_combined_cycle_4,1,147166.94637974628,704.0,0.02386618996755063
natural_gas_fired_combined_cycle_5,1,2.635949868953833e7,4029.0,0.7469393730009982
natural_gas_fired_combined_cycle_6,1,1.640147234303851e6,1740.0,0.10761654904077979
natural_gas_fired_combined_cycle_7,1,5.160890855176762e6,1031.0,0.571493746952893
natural_gas_fired_combined_cycle_8,1,6.052371538155464e7,8056.0,0.8577319674136655
natural_gas_fired_combined_cycle_9,1,2.4617567644883613e6,532.0,0.5282980179545425
natural_gas_fired_combined_cycle_10,1,489076.5415581157,237.0,0.2355992806714616
natural_gas_fired_combined_cycle_11,1,2.925070710212208e6,1188.0,0.2811029492524099
natural_gas_fired_combined_cycle_12,1,3.3282677871223856e6,1026.0,0.3703534328625267
natural_gas_fired_combined_cycle_13,1,4.512474370575414e7,7481.0,0.6886531957108885
natural_gas_fired_combined_cycle_14,1,2.9875569204364773e6,824.0,0.41393719309465843
natural_gas_fired_combustion_turbine,1,12806.084937785212,741.0,0.001973075226389115
natural_gas_fired_combustion_turbine_1,1,3.097331096204933e6,1073.0,0.3295591578663206
natural_gas_fired_combustion_turbine_2,1,72.9,81.0,0.00010275145564562165
natural_gas_fired_combustion_turbine_3,1,19164.675976604718,180.0,0.012155545392424754
natural_gas_fired_combustion_turbine_4,1,97662.6707710933,91.0,0.12252724766750847
natural_gas_fired_combustion_turbine_5,1,11.69999999999867,13.0,0.00010275145564560998
natural_gas_fired_combustion_turbine_6,1,101941.40142311793,354.0,0.032877047667231686
natural_gas_fired_combustion_turbine_7,1,1.1032798313303466e6,557.0,0.22613925524366454
natural_gas_fired_combustion_turbine_8,1,151496.29251177603,1539.0,0.01123851316186548
natural_gas_fired_combustion_turbine_9,1,2336.608114176989,846.0,0.00031532687812589513
natural_gas_fired_combustion_turbine_10,1,517676.3406652617,336.0,0.17589946281962424
natural_gas_fired_combustion_turbine_11,1,2303.4372621608904,208.0,0.0012643244213429322
natural_gas_fired_combustion_turbine_12,1,90100.69245181122,547.0,0.01880556023583603
natural_gas_fired_combustion_turbine_13,1,36.9,41.0,0.00010275145564562164
natural_gas_fired_combustion_turbine_14,1,571201.7128607037,276.0,0.23627941813087644
natural_gas_fired_combustion_turbine_15,1,3984.2093365018495,84.0,0.005415123133894728
natural_gas_steam_turbine,1,1.2101813019076015e6,825.0,0.16747190621699606
natural_gas_steam_turbine_1,1,633094.1764930771,521.0,0.13873181530268663
natural_gas_steam_turbine_2,1,0.0,18.0,0.0
natural_gas_steam_turbine_3,1,2.1077366129217315e6,1326.0,0.18147562015692986
natural_gas_steam_turbine_4,1,46920.68111433842,167.0,0.03207696795996209
natural_gas_steam_turbine_5,1,39349.82163378732,171.0,0.026271939260995584
natural_gas_steam_turbine_6,1,5.30645300665504e6,2160.0,0.28047621952103446
natural_gas_steam_turbine_7,1,901571.0995697083,1265.0,0.08136824141309724
natural_gas_steam_turbine_8,1,1.2538796087406208e6,844.0,0.169612894947948
natural_gas_steam_turbine_9,1,1.2124614499778238e6,421.0,0.3287996276047043
natural_gas_steam_turbine_10,1,214892.43705807932,248.0,0.09892701933222571
natural_gas_steam_turbine_11,1,307614.83988351305,392.0,0.08959147555619557
natural_gas_steam_turbine_12,1,18432.17716482367,61.0,0.03449786947911875
natural_gas_steam_turbine_13,1,3.3407423396504787e6,1461.0,0.261058740844206
natural_gas_steam_turbine_14,1,759740.9536951039,430.0,0.20171702559629134
natural_gas_steam_turbine_15,1,290440.5888214014,169.0,0.19620771387225813
natural_gas_steam_turbine_16,1,111461.29008132,169.0,0.07529789483231111
natural_gas_steam_turbine_17,1,51112.83140662551,122.0,0.0478316742185794
nuclear,1,2.0969046e7,2520.0,0.95
nuclear_1,1,2.0469783e7,2460.0,0.95
onshore_wind_turbine,1,9.515814356981163e7,34182.0,0.317829324346576
small_hydroelectric,1,0.0,16.0,0.0
solar_photovoltaic,1,1.5232030485178031e7,9323.0,0.18652952730886901
Battery,1,741937.4794235367,726.0,0.0
