Resource,biomass,conventional_hydroelectric,conventional_steam_coal,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,small_hydroelectric,solar_photovoltaic,Battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,527316.1823834978,391987.0187999995,6.01874916157822e6,139668.49019937695,1.416754739737097e7,2.4398267153406567e6,1.0923670611869374e6,5.631111797012318e6,3.297102217845262e7,2.8620859840154625e6,147166.94637974628,2.635949868953833e7,1.640147234303851e6,5.160890855176762e6,6.052371538155464e7,2.4617567644883613e6,489076.5415581157,2.925070710212208e6,3.3282677871223856e6,4.512474370575414e7,2.9875569204364773e6,12806.084937785212,3.097331096204933e6,72.9,19164.675976604718,97662.6707710933,11.69999999999867,101941.40142311793,1.1032798313303466e6,151496.29251177603,2336.608114176989,517676.3406652617,2303.4372621608904,90100.69245181122,36.9,571201.7128607037,3984.2093365018495,1.2101813019076015e6,633094.1764930771,0.0,2.1077366129217315e6,46920.68111433842,39349.82163378732,5.30645300665504e6,901571.0995697083,1.2538796087406208e6,1.2124614499778238e6,214892.43705807932,307614.83988351305,18432.17716482367,3.3407423396504787e6,759740.9536951039,290440.5888214014,111461.29008132,51112.83140662551,2.0969046e7,2.0469783e7,9.515814356981163e7,0.0,1.5232030485178031e7,741937.4794235367,3.935380058278997e8
t1,62.1,0.0,0.0,0.0,0.0,456.4,0.0,0.0,4179.6,343.906,0.0,3626.1000000000004,0.0,927.9,7250.4,411.25153366199083,0.0,0.0,235.98,6732.9,63.251707307867676,0.0,245.45052449679375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.34307897734347,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2394.0,2337.0,13924.432775556,0.0,0.0,0.0,43719.84961999999
t2,62.1,0.0,0.0,0.0,0.0,84.75999999999999,0.0,0.0,4179.6,343.906,0.0,3626.1000000000004,0.0,927.9,7250.4,335.69200000000006,0.0,0.0,235.98,6732.9,63.251707307867676,0.0,245.45052449679375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.34307897734347,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2394.0,2337.0,14046.238931094,0.0,0.0,0.0,43394.45624187601
t3,62.1,0.0,0.0,0.0,0.0,84.76,0.0,0.0,4179.6,343.906,0.0,3626.1000000000004,0.0,895.8785422699893,7250.4,335.69200000000006,0.0,0.0,235.98,6732.9,63.251707307867676,0.0,245.45052449679375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.34307897734347,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2394.0,2337.0,14472.871206948,0.0,0.0,0.0,43789.06706
t4,62.1,0.0,0.0,0.0,0.0,215.16000000000008,0.0,0.0,4179.6,343.906,0.0,3626.1000000000004,0.0,927.9,7250.4,335.69200000000006,0.0,0.0,235.98,6732.9,63.251707307867676,0.0,245.45052449679375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.34307897734347,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2394.0,2337.0,14060.221761834,0.0,0.0,0.0,43538.839072616014
t5,62.1,0.0,0.0,0.0,574.9511677059909,586.8000000000001,0.0,0.0,4179.6,671.4,0.0,3626.1000000000004,0.0,927.9,7250.4,478.80000000000007,0.0,0.0,235.98,6732.9,63.251707307867676,0.0,245.45052449679375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.34307897734347,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2394.0,2337.0,12590.779591511999,0.0,0.0,0.0,43486.59007
t6,62.1,0.0,0.0,0.0,1931.0169562639876,586.8000000000001,0.0,0.0,4179.6,671.4,0.0,3626.1000000000004,0.0,927.9,7250.4,478.80000000000007,0.0,0.0,235.98,6732.9,63.251707307867676,0.0,245.45052449679375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.34307897734347,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2394.0,2337.0,12013.443252954,0.0,0.0,0.0,44265.31952
t7,62.1,0.0,0.0,0.0,4016.8178935039923,586.8000000000001,0.0,0.0,4179.6,671.4,0.0,3626.1000000000004,0.0,927.9,7250.4,478.80000000000007,0.0,0.0,235.98,6732.9,63.251707307867676,0.0,245.45052449679375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.34307897734347,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2394.0,2337.0,10952.611035714,0.0,0.0,0.0,45290.288239999994
t8,62.1,0.0,0.0,0.0,4893.257940703183,586.8000000000001,0.0,0.0,4179.6,671.4,0.0,3626.1000000000004,0.0,927.9,7250.4,478.80000000000007,0.0,0.0,235.98,6732.9,106.60400108067586,0.0,245.45052449679375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.34307897734347,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2394.0,2337.0,10690.354904742,0.0,0.0,0.0,45947.82445
t9,62.1,0.0,0.0,0.0,4893.257940703183,586.8000000000001,0.0,0.0,4179.6,671.4,0.0,3626.1000000000004,0.0,927.9,7250.4,478.80000000000007,0.0,0.0,892.62,6732.9,106.60400108067586,0.0,245.45052449679375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.34307897734347,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,193.28295021999685,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2394.0,2337.0,9959.207222952,0.0,60.67026157,0.0,46090.64297999999
t10,62.1,0.0,0.0,0.0,4853.743503937992,586.8000000000001,0.0,0.0,4179.6,671.4,0.0,3626.1000000000004,0.0,927.9,7250.4,478.80000000000007,0.0,0.0,235.98,6732.9,63.251707307867676,0.0,245.45052449679375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.34307897734347,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2394.0,2337.0,9693.22234851,0.0,1310.90693677,0.0,46178.732099999994
t11,62.1,0.0,0.0,0.0,2887.2491698989893,586.8000000000001,0.0,0.0,4179.6,671.4,0.0,3626.1000000000004,0.0,927.9,7250.4,478.80000000000007,0.0,0.0,235.98,6732.9,63.251707307867676,0.0,245.45052449679375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.34307897734347,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2394.0,2337.0,10486.205302482,0.0,2327.896406837,0.0,46022.21018999999
