Resource,Zone,AnnualSum,Capacity,CapacityFactor
biomass,1,46202.400000000154,69.0,0.9000000000000029
conventional_hydroelectric,1,17659.137599998565,468.0,0.050716666666662545
conventional_steam_coal,1,937678.9047018407,6722.0,0.187491982813183
conventional_steam_coal_1,1,0.0,698.0,0.0
conventional_steam_coal_2,1,2.040599162550063e6,6335.0,0.4329504040851014
conventional_steam_coal_3,1,270045.53020863794,652.0,0.5566938992690769
natural_gas_fired_combined_cycle,1,289467.93212121224,780.0,0.498807437484857
natural_gas_fired_combined_cycle_1,1,1.208909619360737e6,2121.0,0.766090768810067
natural_gas_fired_combined_cycle_2,1,3.0388816021045055e6,4644.0,0.8795259006026117
natural_gas_fired_combined_cycle_3,1,438964.6066926954,746.0,0.79089301848694
natural_gas_fired_combined_cycle_4,1,38604.37732049853,704.0,0.0737039828485813
natural_gas_fired_combined_cycle_5,1,2.5820626433432344e6,4029.0,0.8613835456859924
natural_gas_fired_combined_cycle_6,1,437711.6420648321,1740.0,0.33811614916638244
natural_gas_fired_combined_cycle_7,1,637773.795321603,1031.0,0.8314479565220151
natural_gas_fired_combined_cycle_8,1,5.369849697924841e6,8056.0,0.8959210422747824
natural_gas_fired_combined_cycle_9,1,331365.3668264963,532.0,0.8371871382753666
natural_gas_fired_combined_cycle_10,1,113839.81678937435,237.0,0.6456139512123675
natural_gas_fired_combined_cycle_11,1,639680.1034376245,1188.0,0.7237248192471586
natural_gas_fired_combined_cycle_12,1,539072.6321204805,1026.0,0.7061988200869864
natural_gas_fired_combined_cycle_13,1,4.61766313641306e6,7481.0,0.8296399510324112
natural_gas_fired_combined_cycle_14,1,492629.0042754987,824.0,0.8035628136344782
natural_gas_fired_combustion_turbine,1,3618.9684940017223,741.0,0.006564379170116165
natural_gas_fired_combustion_turbine_1,1,568358.5188966919,1073.0,0.7119503638886698
natural_gas_fired_combustion_turbine_2,1,0.0,81.0,0.0
natural_gas_fired_combustion_turbine_3,1,6902.514061462553,180.0,0.051542070351422886
natural_gas_fired_combustion_turbine_4,1,22338.224999999977,91.0,0.3299395161290319
natural_gas_fired_combustion_turbine_5,1,0.0,13.0,0.0
natural_gas_fired_combustion_turbine_6,1,18463.3874776922,354.0,0.07010277123842795
natural_gas_fired_combustion_turbine_7,1,263700.0500363675,557.0,0.6363295352318669
natural_gas_fired_combustion_turbine_8,1,43015.93014442474,1539.0,0.037567972975421075
natural_gas_fired_combustion_turbine_9,1,0.0,846.0,0.0
natural_gas_fired_combustion_turbine_10,1,131504.83408245267,336.0,0.5260530037220489
natural_gas_fired_combustion_turbine_11,1,669.6594445527361,208.0,0.004327307204771092
natural_gas_fired_combustion_turbine_12,1,28368.27201206156,547.0,0.06970639463560172
natural_gas_fired_combustion_turbine_13,1,0.0,41.0,0.0
natural_gas_fired_combustion_turbine_14,1,135747.2406860925,276.0,0.6610723502322566
natural_gas_fired_combustion_turbine_15,1,2816.0462001934743,84.0,0.045059623018968806
natural_gas_steam_turbine,1,272890.5160098089,825.0,0.4445919126911192
natural_gas_steam_turbine_1,1,174567.9784419161,521.0,0.4503538956357606
natural_gas_steam_turbine_2,1,0.0,18.0,0.0
natural_gas_steam_turbine_3,1,495454.63753736235,1326.0,0.5022124076953104
natural_gas_steam_turbine_4,1,11270.468793559075,167.0,0.09070945845051089
natural_gas_steam_turbine_5,1,11949.383999692007,171.0,0.09392397660576626
natural_gas_steam_turbine_6,1,922499.9157321497,2160.0,0.5740366859145695
natural_gas_steam_turbine_7,1,222674.61260799493,1265.0,0.2365959163245303
natural_gas_steam_turbine_8,1,288911.7825280972,844.0,0.4600974980381714
natural_gas_steam_turbine_9,1,186256.47235520146,421.0,0.594643042535698
natural_gas_steam_turbine_10,1,53285.41232020574,248.0,0.28879103971668907
natural_gas_steam_turbine_11,1,70350.54179309474,392.0,0.24121729548323578
natural_gas_steam_turbine_12,1,5266.895177300006,61.0,0.11605180630398391
natural_gas_steam_turbine_13,1,559436.0678521377,1461.0,0.5146681716125884
natural_gas_steam_turbine_14,1,175145.4274826858,430.0,0.5474663274652595
natural_gas_steam_turbine_15,1,64449.33758551427,169.0,0.5125766493726083
natural_gas_steam_turbine_16,1,27163.355852252214,169.0,0.21603483371709148
natural_gas_steam_turbine_17,1,10977.706552276984,122.0,0.12094247479593011
nuclear,1,1.781136e6,2520.0,0.95
nuclear_1,1,1.738728e6,2460.0,0.95
onshore_wind_turbine,1,5.364155062744291e6,34182.0,0.21092638924059143
small_hydroelectric,1,0.0,16.0,0.0
solar_photovoltaic,1,1.8266327364667745e6,9323.0,0.2633435082601207
Battery,1,75872.85571257512,726.0,0.0
