Region,Resource,Zone,Cluster,AnnualSum
TX,biomass,1,1,2.1335071835059553e7
TX,conventional_hydroelectric,1,1,2.414377753269388e7
TX,conventional_steam_coal,1,1,2.7962050008898324e8
TX,conventional_steam_coal_1,1,2,5.025713585397476e6
TX,conventional_steam_coal_2,1,3,6.017590049672693e8
TX,conventional_steam_coal_3,1,4,1.0801767997321914e8
TX,natural_gas_fired_combined_cycle,1,1,6.605897946025537e7
TX,natural_gas_fired_combined_cycle_1,1,2,3.0142219349633116e8
TX,natural_gas_fired_combined_cycle_2,1,3,1.3485066440221581e9
TX,natural_gas_fired_combined_cycle_3,1,4,1.441009569723848e8
TX,natural_gas_fired_combined_cycle_4,1,5,1.2301132775062341e7
TX,natural_gas_fired_combined_cycle_5,1,6,1.1056690983166187e9
TX,natural_gas_fired_combined_cycle_6,1,7,1.0328829333481368e8
TX,natural_gas_fired_combined_cycle_7,1,8,2.3799040662618852e8
TX,natural_gas_fired_combined_cycle_8,1,9,2.436604808408652e9
TX,natural_gas_fired_combined_cycle_9,1,10,1.1691600932503393e8
TX,natural_gas_fired_combined_cycle_10,1,11,2.7621680394964844e7
TX,natural_gas_fired_combined_cycle_11,1,12,1.5930011237234995e8
TX,natural_gas_fired_combined_cycle_12,1,13,1.7492747692278057e8
TX,natural_gas_fired_combined_cycle_13,1,14,1.932140585019049e9
TX,natural_gas_fired_combined_cycle_14,1,15,1.508704844221395e8
TX,natural_gas_fired_combustion_turbine,1,1,1.7142448258463293e6
TX,natural_gas_fired_combustion_turbine_1,1,2,1.6490564315094516e8
TX,natural_gas_fired_combustion_turbine_2,1,3,20153.433505094854
TX,natural_gas_fired_combustion_turbine_3,1,4,1.4546599758249966e6
TX,natural_gas_fired_combustion_turbine_4,1,5,5.924673865148075e6
TX,natural_gas_fired_combustion_turbine_5,1,6,3234.501673657198
TX,natural_gas_fired_combustion_turbine_6,1,7,6.936335873095727e6
TX,natural_gas_fired_combustion_turbine_7,1,8,6.196305305104106e7
TX,natural_gas_fired_combustion_turbine_8,1,9,1.3094199814334016e7
TX,natural_gas_fired_combustion_turbine_9,1,10,436665.47800171655
TX,natural_gas_fired_combustion_turbine_10,1,11,2.986786091531704e7
TX,natural_gas_fired_combustion_turbine_11,1,12,270406.63358660776
TX,natural_gas_fired_combustion_turbine_12,1,13,6.271980901712273e6
TX,natural_gas_fired_combustion_turbine_13,1,14,10201.120663072703
TX,natural_gas_fired_combustion_turbine_14,1,15,3.177622447383771e7
TX,natural_gas_fired_combustion_turbine_15,1,16,337494.6140544729
TX,natural_gas_steam_turbine,1,1,7.222629395293748e7
TX,natural_gas_steam_turbine_1,1,2,3.742556061184644e7
TX,natural_gas_steam_turbine_2,1,3,0.0
TX,natural_gas_steam_turbine_3,1,4,1.2336719161931348e8
TX,natural_gas_steam_turbine_4,1,5,3.2894531900898064e6
TX,natural_gas_steam_turbine_5,1,6,2.844916790122484e6
TX,natural_gas_steam_turbine_6,1,7,2.883372770789575e8
TX,natural_gas_steam_turbine_7,1,8,5.59648240305028e7
TX,natural_gas_steam_turbine_8,1,9,7.446517952900936e7
TX,natural_gas_steam_turbine_9,1,10,6.418321185684872e7
TX,natural_gas_steam_turbine_10,1,11,1.3463513619285388e7
TX,natural_gas_steam_turbine_11,1,12,1.9784965667169143e7
TX,natural_gas_steam_turbine_12,1,13,1.2472810078677116e6
TX,natural_gas_steam_turbine_13,1,14,1.8287901496460328e8
TX,natural_gas_steam_turbine_14,1,15,4.368175207484558e7
TX,natural_gas_steam_turbine_15,1,16,1.6859996774234496e7
TX,natural_gas_steam_turbine_16,1,17,7.227690528205128e6
TX,natural_gas_steam_turbine_17,1,18,3.6155139082805864e6
TX,nuclear,1,1,8.225845561841773e8
TX,nuclear_1,1,2,8.029992096083646e8
TX,onshore_wind_turbine,1,1,3.3293750619370527e9
TX,small_hydroelectric,1,1,0.0
TX,solar_photovoltaic,1,1,7.327563881053642e8
TX,Battery,1,1,5.0731977717525885e7
