region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
TX,biomass,1,1,1,0.0,0.0,1.0958785620000001e7,0.0,2.7427929373797406e6,0.0,0.0,0.0,0.0,2.1335071835059553e7,0.0,0.0,0.0,0.0,0.0,2.1335071835059553e7,1.3701578557379741e7,7.633493277679812e6
TX,conventional_hydroelectric,1,1,2,0.0,0.0,2.264505984e7,0.0,0.0,0.0,0.0,0.0,0.0,2.414377753269388e7,0.0,0.0,0.0,0.0,0.0,2.414377753269388e7,2.264505984e7,1.4987176926938817e6
TX,conventional_steam_coal,1,1,3,0.0,0.0,4.4570500460428e8,0.0,1.1630510504850516e7,2.4350030768479398e8,0.0,6.762879996275188e6,0.0,2.7962050008898324e8,0.0,0.0,0.0,0.0,0.0,2.7962050008898324e8,7.075987027901996e8,-4.279782027012164e8
TX,conventional_steam_coal_1,1,2,4,0.0,0.0,5.3519364816479996e7,0.0,269892.597091472,4.0096495564130316e6,0.0,111951.360694992,0.0,5.025713585397476e6,0.0,0.0,0.0,0.0,0.0,5.025713585397476e6,5.791085833067949e7,-5.288514474528202e7
TX,conventional_steam_coal_2,1,3,5,0.0,0.0,3.7001646089519995e8,0.0,2.7377085239731714e7,5.406174451255087e8,0.0,1.2544165952629335e7,0.0,6.017590049672693e8,0.0,0.0,0.0,0.0,0.0,6.017590049672693e8,9.505551572130697e8,-3.487961522458004e8
TX,conventional_steam_coal_3,1,4,6,0.0,0.0,4.1499941118879996e7,0.0,4.714672348189978e6,8.632901993499818e7,0.0,266344.816410822,0.0,1.0801767997321914e8,0.0,0.0,0.0,0.0,0.0,1.0801767997321914e8,1.32809978218479e8,-2.479229824525985e7
TX,natural_gas_fired_combined_cycle,1,1,7,0.0,0.0,1.32296268e7,0.0,5.112168609648759e6,5.1910707126246996e7,0.0,4.474682131704536e6,0.0,6.605897946025537e7,0.0,0.0,0.0,0.0,0.0,6.605897946025537e7,7.47271846676003e7,-8.668205207344934e6
TX,natural_gas_fired_combined_cycle_1,1,2,8,0.0,0.0,2.1349476960000005e7,0.0,2.0915300680935044e7,2.388300726410611e8,0.0,1.0002181399200296e7,0.0,3.0142219349633116e8,0.0,0.0,0.0,0.0,0.0,3.0142219349633116e8,2.9109703168119645e8,1.0325161815134704e7
TX,natural_gas_fired_combined_cycle_2,1,3,9,0.0,0.0,4.6745389440000005e7,0.0,1.2246228941610053e8,8.858984246110146e8,0.0,0.0,0.0,1.3485066440221581e9,0.0,0.0,0.0,0.0,0.0,1.3485066440221581e9,1.0551061034671152e9,2.93400540555043e8
TX,natural_gas_fired_combined_cycle_3,1,4,10,0.0,0.0,1.265295076e7,0.0,1.3394276196593966e7,1.035187677239002e8,0.0,3.1184618615029026e6,0.0,1.441009569723848e8,0.0,0.0,0.0,0.0,0.0,1.441009569723848e8,1.3268445654199706e8,1.141650043038775e7
TX,natural_gas_fired_combined_cycle_4,1,5,11,0.0,0.0,1.194058624e7,0.0,688726.5923625801,8.306927153154078e6,0.0,2.478709222405249e6,0.0,1.2301132775062341e7,0.0,0.0,0.0,0.0,0.0,1.2301132775062341e7,2.3414949207921907e7,-1.1113816432859566e7
TX,natural_gas_fired_combined_cycle_5,1,6,12,0.0,0.0,5.10994041e7,0.0,9.645256884486347e7,7.563758875003227e8,0.0,4.94055070009954e6,0.0,1.1056690983166187e9,0.0,0.0,0.0,0.0,0.0,1.1056690983166187e9,9.088684111452857e8,1.9680068717133296e8
