Resource,biomass,conventional_hydroelectric,conventional_steam_coal,conventional_steam_coal_5,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,conventional_steam_coal_4,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,small_hydroelectric,solar_photovoltaic,Battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,518477.90858340415,382203.7072055374,3.110475797885523e6,3.234157871736634e6,201252.13578947348,2.775168e7,5.16827503343855e6,2.2279159217680013e6,875549.0376401596,4.953684871974801e6,3.1753927676347025e7,2.4610308308687825e6,124732.60883508058,2.3758365587641355e7,1.309736376860766e6,4.462828263597093e6,5.9323517573965915e7,2.119871982985952e6,426365.3432015463,2.523809884703951e6,2.942233345354664e6,3.9201420924749665e7,2.570551330762142e6,10255.411780524084,2.6571902949631633e6,72.9,18653.71094848735,78091.24343747065,5.1274110499999495,89950.18131396172,1.0193341395199614e6,136873.1538279513,3802.4421114347783,383422.57409441826,1652.5022352288834,77172.8480351592,73.79999999999983,473500.960643462,4032.0000000000014,1.05542227294736e6,540597.1871476407,0.0,1.9111141761495871e6,36409.9200697343,36431.17131863706,4.408547298062985e6,741998.6575348134,1.112875332992169e6,1.1017945416547316e6,190645.47262004812,271104.23557659204,14331.186650765801,3.0131258933796827e6,680531.9350439162,259849.41639176506,107949.17491212922,45780.61260763771,2.0159747008558914e7,1.9679753032164637e7,9.502291842820202e7,0.0,1.5711188615109138e7,770191.5988019423,3.932284544741152e8
t1,62.1,12.729599999999998,0.0,0.0,0.0,3168.0,0.0,0.0,0.0,0.0,4179.6,0.0,0.0,3626.1000000000004,0.0,175.4133908129623,7250.4,0.0,0.0,0.0,0.0,6492.180494354347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,13984.762023,0.0,0.0005118327000000001,0.0,44433.12002000001
t2,62.1,12.682799999999999,0.0,0.0,0.0,3168.0,0.0,0.0,0.0,0.0,4179.6,0.0,0.0,3626.1000000000004,0.0,175.4133908129623,7250.4,0.0,0.0,0.0,0.0,5789.091593032041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,14289.144768594,0.0,0.000997561,0.0,44034.36755000001
t3,62.1,12.636,0.0,0.0,0.0,3168.0,0.0,0.0,0.0,0.0,4179.6,0.0,0.0,3626.1000000000004,0.0,175.4133908129623,7250.4,0.0,0.0,0.0,0.0,5599.237333208046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,14221.109189249999,0.0,0.001146729,0.0,43776.43106000001
t4,62.1,12.636,0.0,0.0,0.0,3168.0,0.0,0.0,0.0,0.0,4179.6,0.0,0.0,3626.1000000000004,0.0,175.4133908129623,7250.4,0.0,0.0,0.0,0.0,6601.226128306545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,13246.113238037999,0.0,0.0004428425,0.0,43803.42320000001
t5,62.1,12.589199999999998,0.0,0.0,0.0,3168.0,0.0,68.74000106082235,0.0,0.0,4179.6,0.0,0.0,3626.1000000000004,0.0,517.8837815091822,7250.4,138.32,0.0,0.0,0.0,6732.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,12231.338873057999,0.0,4.195014372,0.0,43474.00087000001
t6,62.1,12.542399999999999,0.0,0.0,0.0,3168.0,0.0,440.38000106082234,0.0,0.0,4179.6,477.44000000000005,0.0,3626.1000000000004,0.0,927.9,7250.4,478.80000000000007,0.0,0.0,0.0,6732.9,46.444364537179894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,11368.335049181998,0.0,0.0013052200000000002,0.0,44252.777120000006
t7,62.1,12.542399999999999,0.0,0.0,0.0,3168.0,0.0,586.8000000000001,0.0,0.0,4179.6,671.4,0.0,3626.1000000000004,0.0,927.9,7250.4,478.80000000000007,0.0,0.0,0.0,6732.9,65.31238763040922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1365.6622228195918,0.0,0.0,276.597,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,10737.304326108,0.0,0.000503442,0.0,45277.74584
t8,62.1,12.4956,0.0,0.0,0.0,3168.0,0.0,586.8000000000001,0.0,0.0,4179.6,671.4,0.0,3626.1000000000004,0.0,927.9,7250.4,478.80000000000007,0.0,0.0,0.0,6732.9,65.31238763040922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1944.0,0.0,0.0,378.9,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,10332.768901608,0.0,7.033289846000001,374.4916709155893,45935.32884999999
