BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,3.924582628753121e8,770191.598801943,-910244.144139471,0.0,0.0,0.0,0.0,0.0,0.0,-3.9270041403718e8
t1,44433.12002000001,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-43719.84962
t2,44034.36755000001,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-43321.05035
t3,43776.43106000001,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-43063.06706
t4,43803.42320000001,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-43090.0592
t5,43474.00087000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43486.59007
t6,44252.777120000006,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44265.31952
t7,45277.74584,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45290.28824
t8,45560.8371790844,374.4916709155893,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45947.82445
t9,45787.260079187414,290.93410081258816,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46090.64298
t10,46166.2833,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46178.7321
t11,46024.35517444371,0.0,-14.54698444370782,0.0,0.0,0.0,0.0,0.0,0.0,-46022.21019
t12,46059.869985119716,0.0,-581.9469251197091,0.0,0.0,0.0,0.0,0.0,0.0,-45490.27826
t13,44894.264803106715,0.0,-306.0104531067057,0.0,0.0,0.0,0.0,0.0,0.0,-44600.60955
t14,43750.36661061972,0.0,-136.81160061970658,0.0,0.0,0.0,0.0,0.0,0.0,-43625.86341
t15,42745.52898,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42757.79058
t16,42405.250759999995,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42417.51236
t17,42748.207519999996,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42760.42232
t18,44631.75234,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44643.92034
t19,45563.194709999996,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46301.36271
t20,45579.89456,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46318.01576
t21,45570.98876742858,441.1224725714245,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46024.18564
t22,45295.03788221957,157.57955778042117,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45464.69184
t23,44224.64608,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44236.67368
t24,42907.915209999985,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42919.89601
t25,41704.44320999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41716.42401
t26,40861.403880000005,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40873.33788
t27,40481.976890000005,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40493.86409
t28,40451.91606,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40463.80326
t29,41031.14817,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41042.98857
t30,42183.38757999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42195.18118
t31,43812.84484,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43824.63844
t32,44688.216993161994,620.5078368379982,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45320.47163
t33,45834.19056,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45845.89056
t34,45209.64728,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45221.34728
t35,43758.19432,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43769.84752
t36,42055.60411,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42067.21051
t37,40247.4158,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40259.0222
t38,38624.25946000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38635.81906
t39,37470.20060000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37481.7134
t40,36860.71194000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36872.22474
t41,37095.119529999996,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37106.58553
