Region,Resource,Zone,Cluster,AnnualSum
TX,biomass,1,1,3.1044731363259093e6
TX,conventional_hydroelectric,1,1,348564.218098377
TX,conventional_steam_coal,1,1,9.404951219385256e7
TX,conventional_steam_coal_5,1,1,9.82292376358029e7
TX,conventional_steam_coal_1,1,2,561661.9707558957
TX,conventional_steam_coal_2,1,3,1.5930587029834902e8
TX,conventional_steam_coal_3,1,3,1.0457264189988427e8
TX,conventional_steam_coal_4,1,4,2.2441446567072123e7
TX,natural_gas_fired_combined_cycle,1,1,36562.188868587604
TX,natural_gas_fired_combined_cycle_1,1,2,2.7054692321342914e6
TX,natural_gas_fired_combined_cycle_2,1,3,1.7111412592728293e8
TX,natural_gas_fired_combined_cycle_3,1,4,2.1579880609113276e7
TX,natural_gas_fired_combined_cycle_4,1,5,0.0
TX,natural_gas_fired_combined_cycle_5,1,6,1.6309183459035188e8
TX,natural_gas_fired_combined_cycle_6,1,7,55708.6547028905
TX,natural_gas_fired_combined_cycle_7,1,8,3.555606920151836e7
TX,natural_gas_fired_combined_cycle_8,1,9,3.265660659693534e8
TX,natural_gas_fired_combined_cycle_9,1,10,8.526851148008462e6
TX,natural_gas_fired_combined_cycle_10,1,11,125713.41175588046
TX,natural_gas_fired_combined_cycle_11,1,12,822157.3575035059
TX,natural_gas_fired_combined_cycle_12,1,13,2.767649930549182e7
TX,natural_gas_fired_combined_cycle_13,1,14,2.5696320583164495e8
TX,natural_gas_fired_combined_cycle_14,1,15,2.2948354079989623e7
TX,natural_gas_fired_combustion_turbine,1,1,0.0
TX,natural_gas_fired_combustion_turbine_1,1,2,1.8841135919277586e7
TX,natural_gas_fired_combustion_turbine_2,1,3,0.0
TX,natural_gas_fired_combustion_turbine_3,1,4,0.0
TX,natural_gas_fired_combustion_turbine_4,1,5,0.0
TX,natural_gas_fired_combustion_turbine_5,1,6,0.0
TX,natural_gas_fired_combustion_turbine_6,1,7,0.0
TX,natural_gas_fired_combustion_turbine_7,1,8,18600.56300543548
TX,natural_gas_fired_combustion_turbine_8,1,9,0.0
TX,natural_gas_fired_combustion_turbine_9,1,10,0.0
TX,natural_gas_fired_combustion_turbine_10,1,11,0.0
TX,natural_gas_fired_combustion_turbine_11,1,12,0.0
TX,natural_gas_fired_combustion_turbine_12,1,13,0.0
TX,natural_gas_fired_combustion_turbine_13,1,14,0.0
TX,natural_gas_fired_combustion_turbine_14,1,15,0.0
TX,natural_gas_fired_combustion_turbine_15,1,16,0.0
TX,natural_gas_steam_turbine,1,1,0.0
TX,natural_gas_steam_turbine_1,1,2,0.0
TX,natural_gas_steam_turbine_2,1,3,0.0
TX,natural_gas_steam_turbine_3,1,4,459945.42188429914
TX,natural_gas_steam_turbine_4,1,5,0.0
TX,natural_gas_steam_turbine_5,1,6,0.0
TX,natural_gas_steam_turbine_6,1,7,3.83251605586053e7
TX,natural_gas_steam_turbine_7,1,8,0.0
TX,natural_gas_steam_turbine_8,1,9,29168.191310770417
TX,natural_gas_steam_turbine_9,1,10,0.0
TX,natural_gas_steam_turbine_10,1,11,0.0
TX,natural_gas_steam_turbine_11,1,12,0.0
TX,natural_gas_steam_turbine_12,1,13,0.0
TX,natural_gas_steam_turbine_13,1,14,4.030744329648107e7
TX,natural_gas_steam_turbine_14,1,15,229832.70392091633
TX,natural_gas_steam_turbine_15,1,16,2.8664996179376394e6
TX,natural_gas_steam_turbine_16,1,17,0.0
TX,natural_gas_steam_turbine_17,1,18,0.0
TX,nuclear,1,1,1.2672057864641415e8
TX,nuclear_1,1,2,1.2370342201197562e8
TX,onshore_wind_turbine,1,1,3.458229116297425e8
TX,small_hydroelectric,1,1,0.0
TX,solar_photovoltaic,1,1,2.7124882804906063e7
TX,Battery,1,1,2.1196563205588248e7
