region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
TX,biomass,1,1,1,0.0,0.0,1.0958785620000001e7,0.0,284188.49693387933,0.0,0.0,0.0,0.0,3.1044731363259093e6,0.0,0.0,0.0,0.0,0.0,3.1044731363259093e6,1.124297411693388e7,-8.138500980607972e6
TX,conventional_hydroelectric,1,1,2,0.0,0.0,2.264505984e7,0.0,0.0,0.0,0.0,0.0,0.0,348564.218098377,0.0,0.0,0.0,0.0,0.0,348564.218098377,2.264505984e7,-2.2296495621901624e7
TX,conventional_steam_coal,1,1,3,0.0,0.0,2.2285250230214e8,0.0,2.0858576448012576e6,2.793565569876604e7,0.0,535952.4643680333,0.0,9.404951219385256e7,0.0,0.0,0.0,0.0,0.0,9.404951219385256e7,2.5340996811007535e8,-1.593604559162228e8
TX,conventional_steam_coal_5,1,1,4,0.0,0.0,2.2285250230214e8,0.0,2.34207613078412e6,3.1372985999557782e7,0.0,427819.73001402844,0.0,9.82292376358029e7,0.0,0.0,0.0,0.0,0.0,9.82292376358029e7,2.5699538416249594e8,-1.5876614652669305e8
TX,conventional_steam_coal_1,1,2,5,0.0,0.0,5.3519364816479996e7,0.0,33024.61592244028,508888.281711079,0.0,74772.5405308381,0.0,561661.9707558957,0.0,0.0,0.0,0.0,0.0,561661.9707558957,5.413605025464436e7,-5.357438828388846e7
TX,conventional_steam_coal_2,1,3,6,0.0,0.0,2.055971495424e8,0.0,5.7238641504e6,7.477802139160225e7,0.0,0.0,0.0,1.5930587029834902e8,0.0,0.0,0.0,0.0,0.0,1.5930587029834902e8,2.8609903508440226e8,-1.2679316478605324e8
TX,conventional_steam_coal_3,1,3,7,0.0,0.0,1.644193113528e8,0.0,2.5887072552064313e6,3.3844167509447604e7,0.0,674211.1197316424,0.0,1.0457264189988427e8,0.0,0.0,0.0,0.0,0.0,1.0457264189988427e8,2.015263972371857e8,-9.695375533730142e7
TX,conventional_steam_coal_4,1,4,8,0.0,0.0,4.1499941118879996e7,0.0,636295.2931596856,7.407099569553967e6,0.0,0.0,0.0,2.2441446567072123e7,0.0,0.0,0.0,0.0,0.0,2.2441446567072123e7,4.9543335981593646e7,-2.7101889414521523e7
TX,natural_gas_fired_combined_cycle,1,1,9,0.0,0.0,1.32296268e7,0.0,5013.745159204,32946.8804847568,0.0,24552.315860000002,0.0,36562.188868587604,0.0,0.0,0.0,0.0,0.0,36562.188868587604,1.329213974150396e7,-1.3255577552635372e7
TX,natural_gas_fired_combined_cycle_1,1,2,10,0.0,0.0,2.134947696e7,0.0,312027.3740254758,2.3726166320351358e6,0.0,400646.29500000004,0.0,2.7054692321342914e6,0.0,0.0,0.0,0.0,0.0,2.7054692321342914e6,2.4434767261060614e7,-2.1729298028926324e7
TX,natural_gas_fired_combined_cycle_2,1,3,11,0.0,0.0,4.674538944e7,0.0,1.066207270834221e7,5.64685857284331e7,0.0,252156.09431999997,0.0,1.7111412592728293e8,0.0,0.0,0.0,0.0,0.0,1.7111412592728293e8,1.1412820397109531e8,5.698592195618762e7
TX,natural_gas_fired_combined_cycle_3,1,4,12,0.0,0.0,1.2652950760000002e7,0.0,545418.7870955967,2.829894462956565e6,0.0,421987.22456,0.0,2.1579880609113276e7,0.0,0.0,0.0,0.0,0.0,2.1579880609113276e7,1.6450251234612163e7,5.129629374501113e6
TX,natural_gas_fired_combined_cycle_4,1,5,13,0.0,0.0,1.194058624e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.194058624e7,-1.194058624e7
TX,natural_gas_fired_combined_cycle_5,1,6,14,0.0,0.0,5.10994041e7,0.0,8.954445577624466e6,5.0766680136277385e7,0.0,1.91280804e6,0.0,1.6309183459035188e8,0.0,0.0,0.0,0.0,0.0,1.6309183459035188e8,1.1273333785390185e8,5.035849673645003e7
TX,natural_gas_fired_combined_cycle_6,1,7,15,0.0,0.0,1.7514422400000002e7,0.0,6076.876575845805,52749.361292724694,0.0,41079.7815,0.0,55708.6547028905,0.0,0.0,0.0,0.0,0.0,55708.6547028905,1.7614328419368573e7,-1.7558619764665682e7
TX,natural_gas_fired_combined_cycle_7,1,8,16,0.0,0.0,1.7486852860000003e7,0.0,1.7666380565309976e6,7.961223082964679e6,0.0,583504.76,0.0,3.555606920151836e7,0.0,0.0,0.0,0.0,0.0,3.555606920151836e7,2.779821875949568e7,7.7578504420226775e6
TX,natural_gas_fired_combined_cycle_8,1,9,17,0.0,0.0,1.0217344239999999e8,0.0,2.106887252654995e7,1.1346788672447346e8,0.0,0.0,0.0,3.265660659693534e8,0.0,0.0,0.0,0.0,0.0,3.265660659693534e8,2.367102016510234e8,8.985586431832999e7
TX,natural_gas_fired_combined_cycle_9,1,10,18,0.0,0.0,5.35498432e6,0.0,274090.8027332161,1.6702359730529955e6,0.0,150612.6,0.0,8.526851148008462e6,0.0,0.0,0.0,0.0,0.0,8.526851148008462e6,7.449923695786212e6,1.0769274522222504e6
TX,natural_gas_fired_combined_cycle_10,1,11,19,0.0,0.0,4.01977122e6,0.0,17619.7392618,111332.32857642003,0.0,22405.980000000003,0.0,125713.41175588046,0.0,0.0,0.0,0.0,0.0,125713.41175588046,4.17112926783822e6,-4.04541585608234e6
TX,natural_gas_fired_combined_cycle_11,1,12,20,0.0,0.0,1.50672852e7,0.0,90148.07533037107,727783.4233845861,0.0,224745.84000000003,0.0,822157.3575035059,0.0,0.0,0.0,0.0,0.0,822157.3575035059,1.6109962538714956e7,-1.5287805181211451e7
