region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
TX,biomass,1,1,1,0.0,0.0,1.0958785620000001e7,0.0,323995.3231367017,0.0,0.0,0.0,0.0,2.061169252695882e6,0.0,0.0,0.0,0.0,0.0,2.061169252695882e6,1.1282780943136703e7,-9.22161169044082e6
TX,conventional_hydroelectric,1,1,2,0.0,0.0,2.264505984e7,0.0,0.0,0.0,0.0,0.0,0.0,2.9616023527249596e6,0.0,0.0,0.0,0.0,0.0,2.9616023527249596e6,2.264505984e7,-1.968345748727504e7
TX,conventional_steam_coal,1,1,3,0.0,0.0,2.2285250230214e8,0.0,413867.5716792214,5.416661561230645e6,0.0,540663.671714568,0.0,6.202729760535708e6,0.0,0.0,0.0,0.0,0.0,6.202729760535708e6,2.2922369510676447e8,-2.2302096534622875e8
TX,conventional_steam_coal_5,1,1,4,0.0,0.0,2.2285250230214e8,0.0,452355.26352687296,5.915510073334087e6,0.0,540663.671714568,0.0,6.754508452205444e6,0.0,0.0,0.0,0.0,0.0,6.754508452205444e6,2.2976103131071556e8,-2.230065228585101e8
TX,conventional_steam_coal_1,1,2,5,0.0,0.0,5.3519364816479996e7,0.0,22417.108724955597,332473.51574348484,0.0,74413.23835483327,0.0,423482.5912450792,0.0,0.0,0.0,0.0,0.0,423482.5912450792,5.394866867930327e7,-5.3525186088058196e7
TX,conventional_steam_coal_2,1,3,6,0.0,0.0,2.055971495424e8,0.0,6.75844494336e6,8.806794304084028e7,0.0,0.0,0.0,1.0601148287853043e8,0.0,0.0,0.0,0.0,0.0,1.0601148287853043e8,3.004235375266003e8,-1.9441205464806986e8
TX,conventional_steam_coal_3,1,3,7,0.0,0.0,1.644193113528e8,0.0,686370.5233422327,8.738869411775956e6,0.0,452831.96544972,0.0,9.528124958947502e6,0.0,0.0,0.0,0.0,0.0,9.528124958947502e6,1.742973832533679e8,-1.647692582944204e8
TX,conventional_steam_coal_4,1,4,8,0.0,0.0,4.1499941118879996e7,0.0,490482.94099041075,5.643743839813997e6,0.0,0.0,0.0,1.0988536642471608e7,0.0,0.0,0.0,0.0,0.0,1.0988536642471608e7,4.763416789968441e7,-3.66456312572128e7
TX,natural_gas_fired_combined_cycle,1,1,9,0.0,0.0,1.32296268e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32296268e7,-1.32296268e7
TX,natural_gas_fired_combined_cycle_1,1,2,10,0.0,0.0,2.134947696e7,0.0,8626.3038288,64057.199093999996,0.0,50002.575,0.0,71279.85996634499,0.0,0.0,0.0,0.0,0.0,71279.85996634499,2.14721630379228e7,-2.1400883177956454e7
TX,natural_gas_fired_combined_cycle_2,1,3,11,0.0,0.0,4.674538944e7,0.0,1.1280467753171332e7,5.8206230643330164e7,0.0,0.0,0.0,1.0281322321510226e8,0.0,0.0,0.0,0.0,0.0,1.0281322321510226e8,1.162320878365015e8,-1.3418864621399239e7
TX,natural_gas_fired_combined_cycle_3,1,4,12,0.0,0.0,1.2652950760000002e7,0.0,169982.83547546068,819539.9411907719,0.0,421092.88049400004,0.0,1.0928003961466225e6,0.0,0.0,0.0,0.0,0.0,1.0928003961466225e6,1.4063566417160235e7,-1.2970766021013614e7
TX,natural_gas_fired_combined_cycle_4,1,5,13,0.0,0.0,1.194058624e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.194058624e7,-1.194058624e7
TX,natural_gas_fired_combined_cycle_5,1,6,14,0.0,0.0,5.10994041e7,0.0,6.532709203950761e6,3.560640982420739e7,0.0,3.075410639399999e6,0.0,7.606905178441408e7,0.0,0.0,0.0,0.0,0.0,7.606905178441408e7,9.631393376755816e7,-2.0244881983144075e7
TX,natural_gas_fired_combined_cycle_6,1,7,15,0.0,0.0,1.7514422400000002e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7514422400000002e7,-1.7514422400000002e7
TX,natural_gas_fired_combined_cycle_7,1,8,16,0.0,0.0,1.7486852860000003e7,0.0,461223.9161712404,1.9886602042445575e6,0.0,776557.448,0.0,1.1122881850177936e7,0.0,0.0,0.0,0.0,0.0,1.1122881850177936e7,2.07132944284158e7,-9.590412578237865e6
TX,natural_gas_fired_combined_cycle_8,1,9,17,0.0,0.0,1.0217344239999999e8,0.0,2.3205094021420766e7,1.2169995866276012e8,0.0,0.0,0.0,2.069079791662355e8,0.0,0.0,0.0,0.0,0.0,2.069079791662355e8,2.470784950841809e8,-4.0170515917945385e7
TX,natural_gas_fired_combined_cycle_9,1,10,18,0.0,0.0,5.35498432e6,0.0,68704.80587769601,401337.6379569523,0.0,150245.9142,0.0,538656.9541137529,0.0,0.0,0.0,0.0,0.0,538656.9541137529,5.975272678034648e6,-5.436615723920896e6
TX,natural_gas_fired_combined_cycle_10,1,11,19,0.0,0.0,4.01977122e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01977122e6,-4.01977122e6
TX,natural_gas_fired_combined_cycle_11,1,12,20,0.0,0.0,1.50672852e7,0.0,35250.21734580401,267243.7659578711,0.0,223819.19999999998,0.0,325307.40939305455,0.0,0.0,0.0,0.0,0.0,325307.40939305455,1.5593598383303674e7,-1.5268290973910619e7
TX,natural_gas_fired_combined_cycle_12,1,13,21,0.0,0.0,1.7402047560000002e7,0.0,181697.85324336775,967107.9233551803,0.0,386802.0,0.0,9.370507645195952e6,0.0,0.0,0.0,0.0,0.0,9.370507645195952e6,1.893765533659855e7,-9.567147691402597e6
TX,natural_gas_fired_combined_cycle_13,1,14,22,0.0,0.0,7.530195056e7,0.0,1.038860834120796e7,5.675809440054568e7,0.0,3.4617760851060003e6,0.0,1.2208604540534379e8,0.0,0.0,0.0,0.0,0.0,1.2208604540534379e8,1.4591042938685966e8,-2.382438398151587e7
TX,natural_gas_fired_combined_cycle_14,1,15,23,0.0,0.0,8.29418624e6,0.0,70810.80256428405,459443.8426941614,0.0,310367.83999999997,0.0,619816.5547679192,0.0,0.0,0.0,0.0,0.0,619816.5547679192,9.134808725258445e6,-8.514992170490526e6
TX,natural_gas_fired_combustion_turbine,1,1,24,0.0,0.0,7.4068878e6,0.0,325.889113176,2186.609572224,0.0,8408.37448,0.0,2792.4466284,0.0,0.0,0.0,0.0,0.0,2792.4466284,7.4178086731654e6,-7.415016226536999e6
TX,natural_gas_fired_combustion_turbine_1,1,2,25,0.0,0.0,1.2671550579999998e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2671550579999998e7,-1.2671550579999998e7
