Resource,Zone,AnnualSum,Capacity,CapacityFactor
biomass,1,62289.78300862105,69.0,0.8177087666538155
conventional_hydroelectric,1,93462.18419654807,468.0,0.18089268277852888
conventional_steam_coal,1,214175.04407995395,3361.0,0.057720658771316
conventional_steam_coal_5,1,234092.29216141388,3361.0,0.0630884021753721
conventional_steam_coal_1,1,11600.776619999999,698.0,0.015054369393920516
conventional_steam_coal_2,1,3.497472e6,3520.0,0.9
conventional_steam_coal_3,1,355194.3837869532,2815.0,0.11429273296102442
conventional_steam_coal_4,1,253823.23403803122,652.0,0.35262630317811305
natural_gas_fired_combined_cycle,1,0.0,780.0,0.0
natural_gas_fired_combined_cycle_1,1,2322.495,2121.0,0.0009918478260869566
natural_gas_fired_combined_cycle_2,1,3.0370863899940047e6,4644.0,0.5923738262074963
natural_gas_fired_combined_cycle_3,1,36321.89480020101,746.0,0.044102234623549036
natural_gas_fired_combined_cycle_4,1,0.0,704.0,0.0
natural_gas_fired_combined_cycle_5,1,1.7853224829879208e6,4029.0,0.40137501371126383
natural_gas_fired_combined_cycle_6,1,0.0,1740.0,0.0
natural_gas_fired_combined_cycle_7,1,98554.22469951076,1031.0,0.0865859661187172
natural_gas_fired_combined_cycle_8,1,6.341714407130885e6,8056.0,0.7130469871149783
natural_gas_fired_combined_cycle_9,1,18497.6754,532.0,0.03149462549035633
natural_gas_fired_combined_cycle_10,1,0.0,237.0,0.0
natural_gas_fired_combined_cycle_11,1,9633.523182023004,1188.0,0.00734513247055626
natural_gas_fired_combined_cycle_12,1,38825.157213480576,1026.0,0.03427652521177693
natural_gas_fired_combined_cycle_13,1,2.7969674391552405e6,7481.0,0.33865592824954144
natural_gas_fired_combined_cycle_14,1,19064.681486464,824.0,0.02095720052244266
natural_gas_fired_combustion_turbine,1,60.62760000000001,741.0,7.41110719943672e-5
natural_gas_fired_combustion_turbine_1,1,0.0,1073.0,0.0
natural_gas_fired_combustion_turbine_2,1,0.0,81.0,0.0
natural_gas_fired_combustion_turbine_3,1,0.0,180.0,0.0
natural_gas_fired_combustion_turbine_4,1,0.0,91.0,0.0
natural_gas_fired_combustion_turbine_5,1,0.0,13.0,0.0
natural_gas_fired_combustion_turbine_6,1,326.680267834995,354.0,0.0008358927675299756
natural_gas_fired_combustion_turbine_7,1,125.3259,557.0,0.00020380581141206776
natural_gas_fired_combustion_turbine_8,1,268.90837074899173,1539.0,0.00015826928055872894
natural_gas_fired_combustion_turbine_9,1,39.346780114005014,846.0,4.212789524660489e-5
natural_gas_fired_combustion_turbine_10,1,0.0,336.0,0.0
natural_gas_fired_combustion_turbine_11,1,428.3780653959964,208.0,0.0018654981248083734
natural_gas_fired_combustion_turbine_12,1,257.2486362009947,547.0,0.0004259873291090313
natural_gas_fired_combustion_turbine_13,1,0.0,41.0,0.0
natural_gas_fired_combustion_turbine_14,1,0.0,276.0,0.0
natural_gas_fired_combustion_turbine_15,1,0.0,84.0,0.0
natural_gas_steam_turbine,1,0.0,825.0,0.0
natural_gas_steam_turbine_1,1,0.0,521.0,0.0
natural_gas_steam_turbine_2,1,0.0,18.0,0.0
natural_gas_steam_turbine_3,1,0.0,1326.0,0.0
natural_gas_steam_turbine_4,1,0.0,167.0,0.0
natural_gas_steam_turbine_5,1,0.0,171.0,0.0
natural_gas_steam_turbine_6,1,64341.892266490344,2160.0,0.02698180533182801
natural_gas_steam_turbine_7,1,0.0,1265.0,0.0
natural_gas_steam_turbine_8,1,0.0,844.0,0.0
natural_gas_steam_turbine_9,1,0.0,421.0,0.0
natural_gas_steam_turbine_10,1,0.0,248.0,0.0
natural_gas_steam_turbine_11,1,0.0,392.0,0.0
natural_gas_steam_turbine_12,1,0.0,61.0,0.0
natural_gas_steam_turbine_13,1,136414.821560028,1461.0,0.08457505130992025
natural_gas_steam_turbine_14,1,0.0,430.0,0.0
natural_gas_steam_turbine_15,1,0.0,169.0,0.0
natural_gas_steam_turbine_16,1,0.0,169.0,0.0
natural_gas_steam_turbine_17,1,0.0,122.0,0.0
nuclear,1,2.4583860000000014e6,2520.0,0.8836503623188411
nuclear_1,1,2.399853000000002e6,2460.0,0.8836503623188413
onshore_wind_turbine,1,1.5004623474064386e7,34182.0,0.3976111535646035
small_hydroelectric,1,0.0,16.0,0.0
solar_photovoltaic,1,1.5010984277667264e6,9323.0,0.14584260483333317
Battery,1,75921.01914155649,726.0,0.0
