Resource,biomass,conventional_hydroelectric,conventional_steam_coal,conventional_steam_coal_5,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,conventional_steam_coal_4,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,small_hydroelectric,solar_photovoltaic,Battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,62289.78300862105,93462.18419654807,214175.04407995395,234092.29216141388,11600.776619999999,3.497472e6,355194.3837869532,253823.23403803122,0.0,2322.495,3.0370863899940047e6,36321.89480020101,0.0,1.7853224829879208e6,0.0,98554.22469951076,6.341714407130885e6,18497.6754,0.0,9633.523182023004,38825.157213480576,2.7969674391552405e6,19064.681486464,60.62760000000001,0.0,0.0,0.0,0.0,0.0,326.680267834995,125.3259,268.90837074899173,39.346780114005014,0.0,428.3780653959964,257.2486362009947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64341.892266490344,0.0,0.0,0.0,0.0,0.0,0.0,136414.821560028,0.0,0.0,0.0,0.0,2.4583860000000014e6,2.399853000000002e6,1.5004623474064386e7,0.0,1.5010984277667264e6,75921.01914155649,4.054856521936074e7
t1,61.7364,3.2284824,2957.6800000000003,2957.6800000000003,418.80060000000003,3168.0,2533.5,499.068,0.0,0.0,1819.122318,0.0,0.0,188.5572,0.0,0.0,3339.03834,0.0,0.0,0.0,0.0,1811.762424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.08175,0.0,0.0,0.0,0.0,2520.0,2460.0,6552.249306750001,0.0,0.0,0.0,31329.504821150003
t2,61.7364,3.2284824,3024.9,3024.9,418.80060000000003,3168.0,2533.5,499.068,0.0,0.0,1819.122318,0.0,0.0,188.5572,0.0,0.0,4038.367937494,0.0,0.0,0.0,0.0,1811.762424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.08175,0.0,0.0,0.0,0.0,2520.0,2460.0,4743.688505706,0.0,0.0,0.0,30354.713617600002
t3,61.7364,3.2284824,3024.9,3024.9,418.80060000000003,3168.0,2533.5,499.068,0.0,0.0,1819.122318,0.0,0.0,188.5572,0.0,0.0,5190.431296405999,0.0,0.0,0.0,0.0,1811.762424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.08175,0.0,0.0,0.0,0.0,2520.0,2460.0,3325.7844167939998,0.0,0.0,0.0,30088.8728876
t4,61.7364,3.2284824,3024.9,3024.9,418.80060000000003,3168.0,2533.5,499.068,0.0,0.0,1819.122318,0.0,0.0,188.5572,0.0,0.0,5850.621358195998,0.0,0.0,0.0,0.0,1811.762424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.08175,0.0,0.0,0.0,0.0,2520.0,2460.0,2970.126005004,0.0,0.0,0.0,30393.4045376
t5,61.7364,3.2284824,3024.9,3024.9,418.80060000000003,3168.0,2533.5,499.068,0.0,0.0,1819.122318,0.0,0.0,188.5572,0.0,0.0,6383.366329642,0.0,0.0,0.0,0.0,1811.762424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.08175,0.0,0.0,0.0,0.0,2520.0,2460.0,3231.825003558,0.0,0.0,0.0,31187.8485076
t6,61.7364,3.2284824,3024.9,3024.9,418.80060000000003,3168.0,2533.5,499.068,0.0,0.0,1819.122318,0.0,0.0,188.5572,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,1811.762424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.08175,0.0,0.0,0.0,0.0,2520.0,2460.0,4386.453585894,0.0,0.0,127.23690730599992,32705.5866676
t7,61.7364,3.2284824,3024.9,3024.9,418.80060000000003,3168.0,2533.5,499.068,0.0,0.0,2861.120807816085,0.0,0.0,188.5572,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,1811.762424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.08175,0.0,0.0,0.0,0.0,2520.0,2460.0,5530.677304158001,0.0,0.0,617.5686792259098,35382.14064759999
t8,61.7364,3.2284824,3024.9,3024.9,418.80060000000003,3168.0,2533.5,499.068,0.0,0.0,3582.5166,0.0,0.0,362.61,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,3672.4914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.31360362799751,0.0,0.0,0.0,0.0,2520.0,2460.0,6274.470001572,0.0,0.0,726.0,39044.774087599995
