BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,4.0472644200219184e7,75921.01914155649,-89732.98494577107,0.0,0.0,0.0,122.67291847699744,0.0,0.0,-4.0552417091529995e7
t1,31329.504821150003,0.0,-147.26960354999937,0.0,0.0,0.0,0.0,0.0,0.0,-31185.4637
t2,30354.713617600002,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30357.9421
t3,30088.8728876,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30092.10137
t4,30393.4045376,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30396.63302
t5,31187.8485076,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31191.07699
t6,32578.349760294,127.23690730599992,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32708.81515
t7,34764.57196837408,617.5686792259098,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35385.36913
t8,38318.774087599995,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39048.00257
t9,40071.6803776,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40800.90886
t10,39664.218849599994,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39667.68128
t11,37992.292411999995,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37996.03558
t12,36634.564414399996,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36638.58832
t13,35688.2304964,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35692.48835
t14,35068.6139288,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35073.15252
t15,34728.340020799995,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34733.11256
t16,34847.84997899044,0.0,-395.4216357904353,0.0,0.0,0.0,0.0,0.0,0.0,-34457.48162
t17,35035.41153559999,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-34314.74555
t18,35224.1092076,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-34503.67717
t19,35485.75352,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-34765.60222
