Unnamed: 0,Time_Index,NG,None,coal,uranium,Year
0,0,0.05306,0,0.095487528,0.0,1970
1920,1920,2.53,0,2.465802736,0.705536,1970
1921,1921,2.53,0,2.465802736,0.705536,1970
1922,1922,2.53,0,2.465802736,0.705536,1970
1923,1923,2.53,0,2.465802736,0.705536,1970
1924,1924,2.53,0,2.465802736,0.705536,1970
1925,1925,2.53,0,2.465802736,0.705536,1970
1926,1926,2.53,0,2.465802736,0.705536,1970
1927,1927,2.53,0,2.465802736,0.705536,1970
1928,1928,2.53,0,2.465802736,0.705536,1970
1929,1929,2.53,0,2.465802736,0.705536,1970
1930,1930,2.53,0,2.465802736,0.705536,1970
1931,1931,2.53,0,2.465802736,0.705536,1970
1932,1932,2.53,0,2.465802736,0.705536,1970
1933,1933,2.53,0,2.465802736,0.705536,1970
1934,1934,2.53,0,2.465802736,0.705536,1970
1935,1935,2.53,0,2.465802736,0.705536,1970
1936,1936,2.53,0,2.465802736,0.705536,1970
1937,1937,2.53,0,2.465802736,0.705536,1970
1938,1938,2.53,0,2.465802736,0.705536,1970
1939,1939,2.53,0,2.465802736,0.705536,1970
1940,1940,2.53,0,2.465802736,0.705536,1970
1941,1941,2.53,0,2.465802736,0.705536,1970
1942,1942,2.53,0,2.465802736,0.705536,1970
1943,1943,2.53,0,2.465802736,0.705536,1970
1944,1944,2.55,0,2.465802736,0.705536,1970
1945,1945,2.55,0,2.465802736,0.705536,1970
1946,1946,2.55,0,2.465802736,0.705536,1970
1947,1947,2.55,0,2.465802736,0.705536,1970
1948,1948,2.55,0,2.465802736,0.705536,1970
1949,1949,2.55,0,2.465802736,0.705536,1970
1950,1950,2.55,0,2.465802736,0.705536,1970
1951,1951,2.55,0,2.465802736,0.705536,1970
1952,1952,2.55,0,2.465802736,0.705536,1970
1953,1953,2.55,0,2.465802736,0.705536,1970
1954,1954,2.55,0,2.465802736,0.705536,1970
1955,1955,2.55,0,2.465802736,0.705536,1970
1956,1956,2.55,0,2.465802736,0.705536,1970
1957,1957,2.55,0,2.465802736,0.705536,1970
1958,1958,2.55,0,2.465802736,0.705536,1970
1959,1959,2.55,0,2.465802736,0.705536,1970
1960,1960,2.55,0,2.465802736,0.705536,1970
1961,1961,2.55,0,2.465802736,0.705536,1970
1962,1962,2.55,0,2.465802736,0.705536,1970
1963,1963,2.55,0,2.465802736,0.705536,1970
1964,1964,2.55,0,2.465802736,0.705536,1970
1965,1965,2.55,0,2.465802736,0.705536,1970
1966,1966,2.55,0,2.465802736,0.705536,1970
1967,1967,2.55,0,2.465802736,0.705536,1970
1968,1968,2.56,0,2.465802736,0.705536,1970
1969,1969,2.56,0,2.465802736,0.705536,1970
1970,1970,2.56,0,2.465802736,0.705536,1970
1971,1971,2.56,0,2.465802736,0.705536,1970
