Unnamed: 0.1.1.1.1.1,Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Year
1919,9000.0,1.0,1.0,10000000000.0,1.0,1152.0,1.0,1920,31965.3732,1970
1920,,,,,,,,1921,30894.13923,1970
1921,,,,,,,,1922,30284.41587,1970
1922,,,,,,,,1923,30322.32656,1970
1923,,,,,,,,1924,30996.80895,1970
1924,,,,,,,,1925,32679.41546,1970
1925,,,,,,,,1926,35426.02996,1970
1926,,,,,,,,1927,37276.36177,1970
1927,,,,,,,,1928,37989.95458,1970
1928,,,,,,,,1929,38624.2639,1970
1929,,,,,,,,1930,39336.75463,1970
1930,,,,,,,,1931,39791.73941,1970
1931,,,,,,,,1932,40005.59749,1970
1932,,,,,,,,1933,40006.83337,1970
1933,,,,,,,,1934,39927.50027,1970
1934,,,,,,,,1935,39773.5309,1970
1935,,,,,,,,1936,39618.06984,1970
1936,,,,,,,,1937,39529.78193,1970
1937,,,,,,,,1938,39700.86396,1970
1938,,,,,,,,1939,40043.75828,1970
1939,,,,,,,,1940,40316.31427,1970
1940,,,,,,,,1941,39267.94485,1970
1941,,,,,,,,1942,37200.46602,1970
1942,,,,,,,,1943,35004.72418,1970
1943,,,,,,,,1944,33298.88204,1970
1944,,,,,,,,1945,32169.2053,1970
1945,,,,,,,,1946,31544.88428,1970
1946,,,,,,,,1947,31321.49949,1970
1947,,,,,,,,1948,31892.83839,1970
1948,,,,,,,,1949,33536.82711,1970
1949,,,,,,,,1950,36478.91603,1970
1950,,,,,,,,1951,38438.8128,1970
1951,,,,,,,,1952,38573.99902,1970
1952,,,,,,,,1953,38652.75314,1970
1953,,,,,,,,1954,38845.56216,1970
1954,,,,,,,,1955,39201.10008,1970
1955,,,,,,,,1956,39492.23268,1970
1956,,,,,,,,1957,39940.92473,1970
1957,,,,,,,,1958,40580.60017,1970
1958,,,,,,,,1959,41304.82533,1970
1959,,,,,,,,1960,41987.07209,1970
1960,,,,,,,,1961,42442.45546,1970
1961,,,,,,,,1962,42010.26022,1970
1962,,,,,,,,1963,41160.96918,1970
1963,,,,,,,,1964,41342.47527,1970
1964,,,,,,,,1965,39807.4937,1970
1965,,,,,,,,1966,37332.47902,1970
1966,,,,,,,,1967,34586.96119,1970
1967,,,,,,,,1968,32684.67113,1970
1968,,,,,,,,1969,31560.86222,1970
1969,,,,,,,,1970,30950.73096,1970
1970,,,,,,,,1971,30912.99041,1970
1971,,,,,,,,1972,31571.4812,1970
1972,,,,,,,,1973,33359.84,1970
1973,,,,,,,,1974,36258.17701,1970
1974,,,,,,,,1975,38086.81284,1970
1975,,,,,,,,1976,38380.65648,1970
1976,,,,,,,,1977,38754.71454,1970
1977,,,,,,,,1978,39031.96018,1970
1978,,,,,,,,1979,39031.50574,1970
1979,,,,,,,,1980,39080.3152,1970
1980,,,,,,,,1981,39306.30961,1970
1981,,,,,,,,1982,39557.56577,1970
1982,,,,,,,,1983,39772.53192,1970
1983,,,,,,,,1984,40121.54685,1970
1984,,,,,,,,1985,40288.32252,1970
1985,,,,,,,,1986,40131.83005,1970
1986,,,,,,,,1987,40434.52814,1970
1987,,,,,,,,1988,40946.96689,1970
1988,,,,,,,,1989,39953.54634,1970
1989,,,,,,,,1990,37628.1734,1970
1990,,,,,,,,1991,34939.96111,1970
1991,,,,,,,,1992,32905.39261,1970
1992,,,,,,,,1993,31618.85703,1970
1993,,,,,,,,1994,31026.31486,1970
1994,,,,,,,,1995,30649.84343,1970
1995,,,,,,,,1996,30968.39962,1970
1996,,,,,,,,1997,32507.80716,1970
1997,,,,,,,,1998,35277.69047,1970
1998,,,,,,,,1999,37201.34669,1970
1999,,,,,,,,2000,37494.6617,1970
2000,,,,,,,,2001,37934.15698,1970
2001,,,,,,,,2002,38409.47311,1970
2002,,,,,,,,2003,38779.76937,1970
2003,,,,,,,,2004,39215.2602,1970
2004,,,,,,,,2005,39708.07871,1970
2005,,,,,,,,2006,40078.84359,1970
2006,,,,,,,,2007,40505.4002,1970
2007,,,,,,,,2008,40940.32751,1970
2008,,,,,,,,2009,41109.69533,1970
2009,,,,,,,,2010,40660.18625,1970
2010,,,,,,,,2011,40052.45592,1970
2011,,,,,,,,2012,40404.06188,1970
2012,,,,,,,,2013,39048.1138,1970
2013,,,,,,,,2014,36661.22892,1970
2014,,,,,,,,2015,34228.03847,1970
2015,,,,,,,,2016,32417.99232,1970
2016,,,,,,,,2017,31394.31965,1970
2017,,,,,,,,2018,30838.00991,1970
2018,,,,,,,,2019,30777.32143,1970
2019,,,,,,,,2020,31399.8306,1970
2020,,,,,,,,2021,33198.92472,1970
2021,,,,,,,,2022,36277.85063,1970
2022,,,,,,,,2023,38108.05284,1970
2023,,,,,,,,2024,38305.23986,1970
2024,,,,,,,,2025,38370.37716,1970
2025,,,,,,,,2026,38493.57943,1970
2026,,,,,,,,2027,38751.81385,1970
2027,,,,,,,,2028,39125.22582,1970
2028,,,,,,,,2029,39884.36319,1970
2029,,,,,,,,2030,40925.25033,1970
2030,,,,,,,,2031,41997.13638,1970
2031,,,,,,,,2032,43137.80063,1970
