region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
TX,biomass,1,1,1,0.0,0.0,1.0958785620000001e7,0.0,322929.3850675985,0.0,0.0,0.0,0.0,2.1668124404600207e6,0.0,0.0,0.0,0.0,0.0,2.1668124404600207e6,1.12817150050676e7,-9.11490256460758e6
TX,conventional_hydroelectric,1,1,2,0.0,0.0,2.264505984e7,0.0,0.0,0.0,0.0,0.0,0.0,3.8985232129706726e6,0.0,0.0,0.0,0.0,0.0,3.8985232129706726e6,2.264505984e7,-1.8746536627029326e7
TX,conventional_steam_coal,1,1,3,0.0,0.0,2.2285250230214e8,0.0,310121.98743076,4.313603622931201e6,0.0,328330.863392925,0.0,1.517235502368578e7,0.0,0.0,0.0,0.0,0.0,1.517235502368578e7,2.2780455877589488e8,-2.126322037522091e8
TX,conventional_steam_coal_5,1,1,4,0.0,0.0,2.2285250230214e8,0.0,352334.6270196219,5.4055698802469e6,0.0,327931.6085469603,0.0,5.30395606189941e6,0.0,0.0,0.0,0.0,0.0,5.30395606189941e6,2.289383384179535e8,-2.2363438235605407e8
TX,conventional_steam_coal_1,1,2,5,0.0,0.0,5.3519364816479996e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3519364816479996e7,-5.3519364816479996e7
TX,conventional_steam_coal_2,1,3,6,0.0,0.0,2.055971495424e8,0.0,7.05229037568e6,9.789859806713818e7,0.0,0.0,0.0,1.1127229203841086e8,0.0,0.0,0.0,0.0,0.0,1.1127229203841086e8,3.1054803798521817e8,-1.9927574594680732e8
TX,conventional_steam_coal_3,1,3,7,0.0,0.0,1.644193113528e8,0.0,1.2872967465670716e6,1.8077769383862082e7,0.0,910596.2608279274,0.0,4.101912835252954e7,0.0,0.0,0.0,0.0,0.0,4.101912835252954e7,1.846949737440571e8,-1.4367584539152753e8
TX,conventional_steam_coal_4,1,4,8,0.0,0.0,4.1499941118879996e7,0.0,442720.62207330664,5.514042273993467e6,0.0,0.0,0.0,1.0913299313341115e7,0.0,0.0,0.0,0.0,0.0,1.0913299313341115e7,4.745670401494677e7,-3.654340470160566e7
TX,natural_gas_fired_combined_cycle,1,1,9,0.0,0.0,1.32296268e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32296268e7,-1.32296268e7
TX,natural_gas_fired_combined_cycle_1,1,2,10,0.0,0.0,2.134947696e7,0.0,184687.589394,1.3657535141472602e6,0.0,700108.164,0.0,1.8754751836534385e7,0.0,0.0,0.0,0.0,0.0,1.8754751836534385e7,2.360002622754126e7,-4.845274391006876e6
TX,natural_gas_fired_combined_cycle_2,1,3,11,0.0,0.0,4.674538944e7,0.0,1.2795836792218149e7,6.6077685656951636e7,0.0,0.0,0.0,1.1639389563215986e8,0.0,0.0,0.0,0.0,0.0,1.1639389563215986e8,1.2561891188916978e8,-9.225016257009923e6
TX,natural_gas_fired_combined_cycle_3,1,4,12,0.0,0.0,1.2652950760000002e7,0.0,325636.4155360063,1.6467623067549877e6,0.0,563041.042916,0.0,8.176544056928622e6,0.0,0.0,0.0,0.0,0.0,8.176544056928622e6,1.5188390525206996e7,-7.0118464682783745e6
TX,natural_gas_fired_combined_cycle_4,1,5,13,0.0,0.0,1.194058624e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.194058624e7,-1.194058624e7
TX,natural_gas_fired_combined_cycle_5,1,6,14,0.0,0.0,5.10994041e7,0.0,9.769975796917353e6,5.48856378086366e7,0.0,2.1233120087999995e6,0.0,1.0093823838082588e8,0.0,0.0,0.0,0.0,0.0,1.0093823838082588e8,1.1787832971435395e8,-1.694009133352807e7
TX,natural_gas_fired_combined_cycle_6,1,7,15,0.0,0.0,1.7514422400000002e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7514422400000002e7,-1.7514422400000002e7
TX,natural_gas_fired_combined_cycle_7,1,8,16,0.0,0.0,1.7486852860000003e7,0.0,1.5546872460887781e6,7.161502831111998e6,0.0,1.11830508e6,0.0,1.776546888129977e7,0.0,0.0,0.0,0.0,0.0,1.776546888129977e7,2.7321348017200775e7,-9.555879135901004e6
TX,natural_gas_fired_combined_cycle_8,1,9,17,0.0,0.0,1.0217344239999999e8,0.0,2.507000787338707e7,1.3126029427846938e8,0.0,0.0,0.0,2.2614418255857337e8,0.0,0.0,0.0,0.0,0.0,2.2614418255857337e8,2.5850374455185646e8,-3.2359561993283093e7
TX,natural_gas_fired_combined_cycle_9,1,10,18,0.0,0.0,5.35498432e6,0.0,192339.77762676709,1.1942173649421532e6,0.0,326663.8278,0.0,3.7246416201003776e6,0.0,0.0,0.0,0.0,0.0,3.7246416201003776e6,7.06820529036892e6,-3.3435636702685426e6
TX,natural_gas_fired_combined_cycle_10,1,11,19,0.0,0.0,4.01977122e6,0.0,11315.4085326,73300.69613727,0.0,67277.19,0.0,84479.92599956231,0.0,0.0,0.0,0.0,0.0,84479.92599956231,4.17166451466987e6,-4.087184588670308e6
TX,natural_gas_fired_combined_cycle_11,1,12,20,0.0,0.0,1.50672852e7,0.0,57482.23129802029,463349.97709646786,0.0,336802.75200000004,0.0,528622.092446901,0.0,0.0,0.0,0.0,0.0,528622.092446901,1.5924920160394488e7,-1.5396298067947587e7
