Unnamed: 0,Time_Index,NG,None,coal,uranium,Year
0,0,0.05306,0,0.095487528,0.0,1970
3384,3384,2.862,0,3.066954644,0.705536,1970
3385,3385,2.862,0,3.066954644,0.705536,1970
3386,3386,2.862,0,3.066954644,0.705536,1970
3387,3387,2.862,0,3.066954644,0.705536,1970
3388,3388,2.862,0,3.066954644,0.705536,1970
3389,3389,2.862,0,3.066954644,0.705536,1970
3390,3390,2.862,0,3.066954644,0.705536,1970
3391,3391,2.862,0,3.066954644,0.705536,1970
3392,3392,2.862,0,3.066954644,0.705536,1970
3393,3393,2.862,0,3.066954644,0.705536,1970
3394,3394,2.862,0,3.066954644,0.705536,1970
3395,3395,2.862,0,3.066954644,0.705536,1970
3396,3396,2.862,0,3.066954644,0.705536,1970
3397,3397,2.862,0,3.066954644,0.705536,1970
3398,3398,2.862,0,3.066954644,0.705536,1970
3399,3399,2.862,0,3.066954644,0.705536,1970
3400,3400,2.862,0,3.066954644,0.705536,1970
3401,3401,2.862,0,3.066954644,0.705536,1970
3402,3402,2.862,0,3.066954644,0.705536,1970
3403,3403,2.862,0,3.066954644,0.705536,1970
3404,3404,2.862,0,3.066954644,0.705536,1970
3405,3405,2.862,0,3.066954644,0.705536,1970
3406,3406,2.862,0,3.066954644,0.705536,1970
3407,3407,2.862,0,3.066954644,0.705536,1970
3408,3408,2.862,0,3.066954644,0.705536,1970
3409,3409,2.862,0,3.066954644,0.705536,1970
3410,3410,2.862,0,3.066954644,0.705536,1970
3411,3411,2.862,0,3.066954644,0.705536,1970
3412,3412,2.862,0,3.066954644,0.705536,1970
3413,3413,2.862,0,3.066954644,0.705536,1970
3414,3414,2.862,0,3.066954644,0.705536,1970
3415,3415,2.862,0,3.066954644,0.705536,1970
3416,3416,2.862,0,3.066954644,0.705536,1970
3417,3417,2.862,0,3.066954644,0.705536,1970
3418,3418,2.862,0,3.066954644,0.705536,1970
3419,3419,2.862,0,3.066954644,0.705536,1970
3420,3420,2.862,0,3.066954644,0.705536,1970
3421,3421,2.862,0,3.066954644,0.705536,1970
3422,3422,2.862,0,3.066954644,0.705536,1970
3423,3423,2.862,0,3.066954644,0.705536,1970
3424,3424,2.862,0,3.066954644,0.705536,1970
3425,3425,2.862,0,3.066954644,0.705536,1970
3426,3426,2.862,0,3.066954644,0.705536,1970
3427,3427,2.862,0,3.066954644,0.705536,1970
3428,3428,2.862,0,3.066954644,0.705536,1970
3429,3429,2.862,0,3.066954644,0.705536,1970
3430,3430,2.862,0,3.066954644,0.705536,1970
3431,3431,2.862,0,3.066954644,0.705536,1970
3432,3432,2.835,0,3.07775378,0.705536,1970
3433,3433,2.835,0,3.07775378,0.705536,1970
3434,3434,2.835,0,3.07775378,0.705536,1970
3435,3435,2.835,0,3.07775378,0.705536,1970
3436,3436,2.835,0,3.07775378,0.705536,1970
3437,3437,2.835,0,3.07775378,0.705536,1970
3438,3438,2.835,0,3.07775378,0.705536,1970
3439,3439,2.835,0,3.07775378,0.705536,1970
3440,3440,2.835,0,3.07775378,0.705536,1970
3441,3441,2.835,0,3.07775378,0.705536,1970
3442,3442,2.835,0,3.07775378,0.705536,1970
