region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
TX,biomass,1,1,1,0.0,0.0,1.0958785620000001e7,0.0,364866.34511743457,0.0,0.0,0.0,0.0,6.454074563451237e6,0.0,0.0,0.0,0.0,0.0,6.454074563451237e6,1.1323651965117436e7,-4.869577401666199e6
TX,conventional_hydroelectric,1,1,2,0.0,0.0,2.264505984e7,0.0,0.0,0.0,0.0,0.0,0.0,4.938697801841609e6,0.0,0.0,0.0,0.0,0.0,4.938697801841609e6,2.264505984e7,-1.770636203815839e7
TX,conventional_steam_coal,1,1,3,0.0,0.0,2.2285250230214e8,0.0,1.5755913056892115e6,3.499197186303091e7,0.0,619516.506460054,0.0,2.2440658442515454e8,0.0,0.0,0.0,0.0,0.0,2.2440658442515454e8,2.6003958197732016e8,-3.563299755216563e7
TX,conventional_steam_coal_5,1,1,4,0.0,0.0,2.2285250230214e8,0.0,1.7097665895390867e6,3.876905227855614e7,0.0,1.0047411873605632e6,0.0,2.1256883953615966e8,0.0,0.0,0.0,0.0,0.0,2.1256883953615966e8,2.6433606235759577e8,-5.176722282143611e7
TX,conventional_steam_coal_1,1,2,5,0.0,0.0,5.3519364816479996e7,0.0,52036.82639042041,1.3182085029599213e6,0.0,175456.29528494444,0.0,2.374489578861037e7,0.0,0.0,0.0,0.0,0.0,2.374489578861037e7,5.506506644111528e7,-3.1320170652504914e7
TX,conventional_steam_coal_2,1,3,6,0.0,0.0,2.055971495424e8,0.0,7.05229037568e6,1.442478221352049e8,0.0,0.0,0.0,3.31396865653792e8,0.0,0.0,0.0,0.0,0.0,3.31396865653792e8,3.568972620532849e8,-2.550039639949286e7
TX,conventional_steam_coal_3,1,3,7,0.0,0.0,1.644193113528e8,0.0,1.8154572768434596e6,3.9943809538471274e7,0.0,1.0277599959492038e6,0.0,1.9998960936229104e8,0.0,0.0,0.0,0.0,0.0,1.9998960936229104e8,2.0720633816406396e8,-7.216728801772922e6
TX,conventional_steam_coal_4,1,4,8,0.0,0.0,4.1499941118879996e7,0.0,644819.9754500348,1.1937943096889883e7,0.0,0.0,0.0,4.520243567158972e7,0.0,0.0,0.0,0.0,0.0,4.520243567158972e7,5.408270419121991e7,-8.880268519630194e6
TX,natural_gas_fired_combined_cycle,1,1,9,0.0,0.0,1.32296268e7,0.0,608245.1712313931,5.010694797496638e6,0.0,422048.12084800005,0.0,3.5204079986272275e7,0.0,0.0,0.0,0.0,0.0,3.5204079986272275e7,1.9270614889576033e7,1.5933465096696243e7
TX,natural_gas_fired_combined_cycle_1,1,2,10,0.0,0.0,2.134947696e7,0.0,5.316280711434809e6,4.970876664781326e7,0.0,1.008024339e6,0.0,1.7773372731437367e8,0.0,0.0,0.0,0.0,0.0,1.7773372731437367e8,7.738254865824807e7,1.003511786561256e8
TX,natural_gas_fired_combined_cycle_2,1,3,11,0.0,0.0,4.674538944e7,0.0,1.4328143597731693e7,8.965639025942656e7,0.0,126487.85182554355,0.0,3.6850972404934394e8,0.0,0.0,0.0,0.0,0.0,3.6850972404934394e8,1.5085641114898378e8,2.1765331290036017e8
TX,natural_gas_fired_combined_cycle_3,1,4,12,0.0,0.0,1.2652950760000002e7,0.0,2.7200126828033384e6,1.7148302517362356e7,0.0,235524.19237600005,0.0,6.5147892657543615e7,0.0,0.0,0.0,0.0,0.0,6.5147892657543615e7,3.2756790152541693e7,3.239110250500192e7
TX,natural_gas_fired_combined_cycle_4,1,5,13,0.0,0.0,1.194058624e7,0.0,195285.1754801993,1.855549755104804e6,0.0,538323.18456,0.0,3.61516033611632e7,0.0,0.0,0.0,0.0,0.0,3.61516033611632e7,1.4529744355145004e7,2.1621859006018195e7
TX,natural_gas_fired_combined_cycle_5,1,6,14,0.0,0.0,5.10994041e7,0.0,1.38792297063013e7,9.397942079462563e7,0.0,0.0,0.0,3.6997838328014976e8,0.0,0.0,0.0,0.0,0.0,3.6997838328014976e8,1.5895805460092694e8,2.1102032867922282e8
TX,natural_gas_fired_combined_cycle_6,1,7,15,0.0,0.0,1.7514422400000002e7,0.0,1.1853674569683182e6,1.2663177375497006e7,0.0,1.0800554143499997e6,0.0,8.423586329392293e7,0.0,0.0,0.0,0.0,0.0,8.423586329392293e7,3.2443022646815326e7,5.17928406471076e7
TX,natural_gas_fired_combined_cycle_7,1,8,16,0.0,0.0,1.7486852860000003e7,0.0,4.263186787136529e6,2.348389226930018e7,0.0,122098.23700000001,0.0,9.301323290153085e7,0.0,0.0,0.0,0.0,0.0,9.301323290153085e7,4.535603015343672e7,4.765720274809413e7
TX,natural_gas_fired_combined_cycle_8,1,9,17,0.0,0.0,1.0217344239999999e8,0.0,2.7101052952393387e7,1.717360992302371e8,0.0,0.0,0.0,6.879530622676543e8,0.0,0.0,0.0,0.0,0.0,6.879530622676543e8,3.0101059458263046e8,3.8694246768502384e8
TX,natural_gas_fired_combined_cycle_9,1,10,18,0.0,0.0,5.35498432e6,0.0,854091.6621950049,6.453841707165771e6,0.0,75678.84000000001,0.0,2.3879329760906853e7,0.0,0.0,0.0,0.0,0.0,2.3879329760906853e7,1.2738596529360775e7,1.1140733231546078e7
TX,natural_gas_fired_combined_cycle_10,1,11,19,0.0,0.0,4.01977122e6,0.0,526817.5597739986,4.0806530017478e6,0.0,123929.433,0.0,1.8174523427528787e7,0.0,0.0,0.0,0.0,0.0,1.8174523427528787e7,8.7511712145218e6,9.423352213006988e6
TX,natural_gas_fired_combined_cycle_11,1,12,20,0.0,0.0,1.50672852e7,0.0,2.723700353821229e6,2.6514392075378194e7,0.0,338187.96,0.0,9.763938865657029e7,0.0,0.0,0.0,0.0,0.0,9.763938865657029e7,4.4643565589199424e7,5.299582306737086e7
TX,natural_gas_fired_combined_cycle_12,1,13,21,0.0,0.0,1.7402047560000002e7,0.0,3.2601251699235556e6,2.2314261589736294e7,0.0,97014.45599999999,0.0,8.649463736661488e7,0.0,0.0,0.0,0.0,0.0,8.649463736661488e7,4.307344877565985e7,4.342118859095503e7
TX,natural_gas_fired_combined_cycle_13,1,14,22,0.0,0.0,7.530195056e7,0.0,2.2367044747524455e7,1.5042991121920052e8,0.0,130019.88525034078,0.0,6.251016029511201e8,0.0,0.0,0.0,0.0,0.0,6.251016029511201e8,2.4822892641197532e8,3.768726765391448e8
TX,natural_gas_fired_combined_cycle_14,1,15,23,0.0,0.0,8.29418624e6,0.0,2.431035027296954e6,2.0222931914624013e7,0.0,234251.664,0.0,7.227725107625821e7,0.0,0.0,0.0,0.0,0.0,7.227725107625821e7,3.118240484592097e7,4.109484623033725e7
TX,natural_gas_fired_combustion_turbine,1,1,24,0.0,0.0,7.4068878e6,0.0,116187.9431651809,1.0148334632175813e6,0.0,360438.087856,0.0,3.3662384681799725e7,0.0,0.0,0.0,0.0,0.0,3.3662384681799725e7,8.898347294238763e6,2.4764037387560964e7
TX,natural_gas_fired_combustion_turbine_1,1,2,25,0.0,0.0,1.2671550579999998e7,0.0,3.812918416581399e6,2.2569343590848297e7,0.0,129754.433718,0.0,8.705052614612181e7,0.0,0.0,0.0,0.0,0.0,8.705052614612181e7,3.91835670211477e7,4.786695912497412e7
TX,natural_gas_fired_combustion_turbine_2,1,3,26,0.0,0.0,1.16323128e6,0.0,2940.836579883395,38695.092813211755,0.0,41257.65942524266,0.0,3.944051523888125e6,0.0,0.0,0.0,0.0,0.0,3.944051523888125e6,1.2461248688183378e6,2.697926655069787e6
TX,natural_gas_fired_combustion_turbine_3,1,4,27,0.0,0.0,2.1257028e6,0.0,57332.72003548514,484723.21999287745,0.0,57461.76,0.0,9.206274546244947e6,0.0,0.0,0.0,0.0,0.0,9.206274546244947e6,2.725220500028362e6,6.481054046216585e6
TX,natural_gas_fired_combustion_turbine_4,1,5,28,0.0,0.0,1.3068400799999998e6,0.0,69871.41273093766,505671.3638948096,0.0,69342.4163,0.0,5.707621078447725e6,0.0,0.0,0.0,0.0,0.0,5.707621078447725e6,1.9517252729257469e6,3.755895805521978e6
TX,natural_gas_fired_combustion_turbine_5,1,6,29,0.0,0.0,186691.44,0.0,458.0197217738475,8084.795213148757,0.0,6649.208310457279,0.0,737463.0072953934,0.0,0.0,0.0,0.0,0.0,737463.0072953934,201883.46324537988,535579.5440500135
TX,natural_gas_fired_combustion_turbine_6,1,7,30,0.0,0.0,5.08375152e6,0.0,129864.65209989666,1.0490440475942665e6,0.0,175322.47877899997,0.0,1.8250386759912033e7,0.0,0.0,0.0,0.0,0.0,1.8250386759912033e7,6.437982698473162e6,1.181240406143887e7
TX,natural_gas_fired_combustion_turbine_7,1,8,31,0.0,0.0,6.57786922e6,0.0,1.3815884889155077e6,9.298444069358278e6,0.0,193421.727765,0.0,3.967620966600907e7,0.0,0.0,0.0,0.0,0.0,3.967620966600907e7,1.7451323506038785e7,2.2224886159970284e7
TX,natural_gas_fired_combustion_turbine_8,1,9,32,0.0,0.0,1.53835362e7,0.0,481492.8633151112,3.876999325535294e6,0.0,1.3298366475e6,0.0,7.891752993317503e7,0.0,0.0,0.0,0.0,0.0,7.891752993317503e7,2.1071865036350407e7,5.784566489682462e7
TX,natural_gas_fired_combustion_turbine_9,1,10,33,0.0,0.0,8.456446799999999e6,0.0,53965.49894500589,503886.2390264239,0.0,422821.66353102523,0.0,3.8305971337811306e7,0.0,0.0,0.0,0.0,0.0,3.8305971337811306e7,9.437120201502454e6,2.8868851136308853e7
TX,natural_gas_fired_combustion_turbine_10,1,11,34,0.0,0.0,3.3585888e6,0.0,563092.490167723,3.9586064748443854e6,0.0,234905.07627756015,0.0,2.3522703498654705e7,0.0,0.0,0.0,0.0,0.0,2.3522703498654705e7,8.115192841289668e6,1.5407510657365035e7
