Resource,Zone,AnnualSum,Capacity,CapacityFactor
biomass,1,70147.44918069192,69.0,0.8824910575268208
conventional_hydroelectric,1,53942.185783199944,468.0,0.1000530214699073
conventional_steam_coal,1,815363.0785296947,3361.0,0.2105862690010658
conventional_steam_coal_5,1,884798.3261776083,3361.0,0.22851951876963092
conventional_steam_coal_1,1,26928.878580000004,698.0,0.03348963131267909
conventional_steam_coal_2,1,3.649536e6,3520.0,0.8999999999999999
conventional_steam_coal_3,1,939492.8931387509,2815.0,0.2897094228398063
conventional_steam_coal_4,1,333692.1182428067,652.0,0.4442688605609965
natural_gas_fired_combined_cycle,1,129969.69405999982,780.0,0.14464219869569067
natural_gas_fired_combined_cycle_1,1,1.4313239616812074e6,2121.0,0.5857938315592452
natural_gas_fired_combined_cycle_2,1,3.8576246009228514e6,4644.0,0.7210664224976021
natural_gas_fired_combined_cycle_3,1,581211.7102509324,746.0,0.6763057024628254
natural_gas_fired_combined_cycle_4,1,41728.49323280397,704.0,0.05145262837457087
natural_gas_fired_combined_cycle_5,1,3.793051254482307e6,4029.0,0.8172199587888647
natural_gas_fired_combined_cycle_6,1,319141.32015387213,1740.0,0.15921402067063384
natural_gas_fired_combined_cycle_7,1,910956.812567903,1031.0,0.766984599438166
natural_gas_fired_combined_cycle_8,1,7.406440060012622e6,8056.0,0.7980637339850023
natural_gas_fired_combined_cycle_9,1,229950.58536739813,532.0,0.375206547239515
natural_gas_fired_combined_cycle_10,1,112570.2599999997,237.0,0.4123090277777767
natural_gas_fired_combined_cycle_11,1,744359.396199422,1188.0,0.5438933579132047
natural_gas_fired_combined_cycle_12,1,696622.8273945075,1026.0,0.5893833483885196
natural_gas_fired_combined_cycle_13,1,6.021970779358484e6,7481.0,0.6987575445014503
natural_gas_fired_combined_cycle_14,1,654517.486025931,824.0,0.6895115776129431
natural_gas_fired_combustion_turbine,1,21615.315941029996,741.0,0.02532158581335985
natural_gas_fired_combustion_turbine_1,1,709345.8579829439,1073.0,0.5738598442054208
natural_gas_fired_combustion_turbine_2,1,547.1059222964834,81.0,0.005863189325022327
natural_gas_fired_combustion_turbine_3,1,10666.036626225548,180.0,0.05143729082863401
natural_gas_fired_combustion_turbine_4,1,12998.703826594001,91.0,0.12399557221644154
natural_gas_fired_combustion_turbine_5,1,85.20884976240173,13.0,0.0056896934937501155
natural_gas_fired_combustion_turbine_6,1,24159.696851853987,354.0,0.05924282223951955
natural_gas_fired_combustion_turbine_7,1,257027.2859202174,557.0,0.4005636687116893
natural_gas_fired_combustion_turbine_8,1,89575.73462774103,1539.0,0.05052418069303492
natural_gas_fired_combustion_turbine_9,1,10039.607190164921,846.0,0.010301343731699953
natural_gas_fired_combustion_turbine_10,1,104756.32623681889,336.0,0.2706378302662525
natural_gas_fired_combustion_turbine_11,1,5730.678991056894,208.0,0.02391609488121367
natural_gas_fired_combustion_turbine_12,1,40834.30004331236,547.0,0.0648015374951001
natural_gas_fired_combustion_turbine_13,1,484.4400980732579,41.0,0.010256607767472432
natural_gas_fired_combustion_turbine_14,1,105484.44167640981,276.0,0.3317621580503026
natural_gas_fired_combustion_turbine_15,1,4284.000000000003,84.0,0.04427083333333336
natural_gas_steam_turbine,1,331841.78777885577,825.0,0.3491601302386951
natural_gas_steam_turbine_1,1,119034.89538042847,521.0,0.1983280273319679
natural_gas_steam_turbine_2,1,777.0865014380938,18.0,0.03747523637336486
natural_gas_steam_turbine_3,1,627449.2466595765,1326.0,0.410754754443434
natural_gas_steam_turbine_4,1,16470.77501000093,167.0,0.08561405839363424
natural_gas_steam_turbine_5,1,12518.66043440329,171.0,0.06354908034033509
natural_gas_steam_turbine_6,1,1.2309215808826308e6,2160.0,0.4946797762677753
natural_gas_steam_turbine_7,1,134365.40758416045,1265.0,0.0922028763066538
natural_gas_steam_turbine_8,1,298832.118596293,844.0,0.3073493847463848
natural_gas_steam_turbine_9,1,0.0,421.0,0.0
natural_gas_steam_turbine_10,1,27577.778395306043,248.0,0.09652840220131204
natural_gas_steam_turbine_11,1,88147.81977219284,392.0,0.19519695067184145
natural_gas_steam_turbine_12,1,5510.796200554973,61.0,0.07842093864633101
natural_gas_steam_turbine_13,1,718773.9162976319,1461.0,0.427060705838866
natural_gas_steam_turbine_14,1,228083.361321801,430.0,0.46043960215156854
natural_gas_steam_turbine_15,1,81420.54382230002,169.0,0.4182103869899533
natural_gas_steam_turbine_16,1,32278.01167643285,169.0,0.16579353466280844
natural_gas_steam_turbine_17,1,16185.103937069875,122.0,0.11516040483457049
nuclear,1,2.655752400000001e6,2520.0,0.9148177083333336
nuclear_1,1,2.5925201999999937e6,2460.0,0.9148177083333311
onshore_wind_turbine,1,1.083367844256093e7,34182.0,0.27512242581380475
small_hydroelectric,1,0.0,16.0,0.0
solar_photovoltaic,1,2.485170717522919e6,9323.0,0.23139185325000067
Battery,1,118141.45969094361,726.0,0.0
