Delivery Date,Hour Ending,Price,Time_Index,Year
6/22/2021,1:00,28.72,4128,1970
6/22/2021,2:00,25.0,4129,1970
6/22/2021,3:00,25.0,4130,1970
6/22/2021,4:00,23.51,4131,1970
6/22/2021,5:00,23.86,4132,1970
6/22/2021,6:00,24.99,4133,1970
6/22/2021,7:00,26.43,4134,1970
6/22/2021,8:00,25.99,4135,1970
6/22/2021,9:00,26.94,4136,1970
6/22/2021,10:00,26.9,4137,1970
6/22/2021,11:00,26.73,4138,1970
6/22/2021,12:00,27.01,4139,1970
6/22/2021,13:00,31.13,4140,1970
6/22/2021,14:00,34.09,4141,1970
6/22/2021,15:00,39.16,4142,1970
6/22/2021,16:00,42.86,4143,1970
6/22/2021,17:00,43.56,4144,1970
6/22/2021,18:00,35.89,4145,1970
6/22/2021,19:00,34.21,4146,1970
6/22/2021,20:00,33.92,4147,1970
6/22/2021,21:00,32.65,4148,1970
6/22/2021,22:00,28.7,4149,1970
6/22/2021,23:00,26.89,4150,1970
6/22/2021,24:00:00,23.71,4151,1970
6/23/2021,1:00,21.23,4152,1970
6/23/2021,2:00,18.99,4153,1970
6/23/2021,3:00,17.92,4154,1970
6/23/2021,4:00,16.64,4155,1970
6/23/2021,5:00,17.03,4156,1970
6/23/2021,6:00,18.33,4157,1970
6/23/2021,7:00,19.72,4158,1970
6/23/2021,8:00,20.3,4159,1970
6/23/2021,9:00,19.51,4160,1970
6/23/2021,10:00,21.33,4161,1970
6/23/2021,11:00,22.3,4162,1970
6/23/2021,12:00,26.84,4163,1970
6/23/2021,13:00,24.05,4164,1970
6/23/2021,14:00,34.27,4165,1970
6/23/2021,15:00,39.69,4166,1970
6/23/2021,16:00,53.63,4167,1970
6/23/2021,17:00,49.88,4168,1970
6/23/2021,18:00,33.63,4169,1970
6/23/2021,19:00,30.61,4170,1970
6/23/2021,20:00,31.87,4171,1970
6/23/2021,21:00,28.4,4172,1970
6/23/2021,22:00,25.33,4173,1970
6/23/2021,23:00,22.59,4174,1970
6/23/2021,24:00:00,19.47,4175,1970
6/24/2021,1:00,20.5,4176,1970
6/24/2021,2:00,19.87,4177,1970
6/24/2021,3:00,17.13,4178,1970
6/24/2021,4:00,16.58,4179,1970
6/24/2021,5:00,17.1,4180,1970
6/24/2021,6:00,18.11,4181,1970
6/24/2021,7:00,19.84,4182,1970
6/24/2021,8:00,21.01,4183,1970
6/24/2021,9:00,21.76,4184,1970
6/24/2021,10:00,22.82,4185,1970
6/24/2021,11:00,24.05,4186,1970
6/24/2021,12:00,26.85,4187,1970
6/24/2021,13:00,27.67,4188,1970
6/24/2021,14:00,36.5,4189,1970
6/24/2021,15:00,46.99,4190,1970
6/24/2021,16:00,60.69,4191,1970
6/24/2021,17:00,61.24,4192,1970
6/24/2021,18:00,37.54,4193,1970
6/24/2021,19:00,29.19,4194,1970
6/24/2021,20:00,32.11,4195,1970
6/24/2021,21:00,33.66,4196,1970
6/24/2021,22:00,27.7,4197,1970
6/24/2021,23:00,26.25,4198,1970
6/24/2021,24:00:00,23.44,4199,1970
6/25/2021,1:00,22.22,4200,1970
6/25/2021,2:00,20.17,4201,1970
6/25/2021,3:00,17.45,4202,1970
6/25/2021,4:00,17.03,4203,1970
6/25/2021,5:00,17.52,4204,1970
6/25/2021,6:00,19.02,4205,1970
6/25/2021,7:00,21.58,4206,1970
6/25/2021,8:00,21.7,4207,1970
6/25/2021,9:00,19.79,4208,1970
6/25/2021,10:00,20.75,4209,1970
