region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
TX,biomass,1,1,1,0.0,0.0,1.0958785620000001e7,0.0,369926.7214325757,0.0,0.0,0.0,0.0,1.644628734135007e7,0.0,0.0,0.0,0.0,0.0,1.644628734135007e7,1.1328712341432577e7,5.117574999917492e6
TX,conventional_hydroelectric,1,1,2,0.0,0.0,2.264505984e7,0.0,0.0,0.0,0.0,0.0,0.0,6.663532896989119e6,0.0,0.0,0.0,0.0,0.0,6.663532896989119e6,2.264505984e7,-1.5981526943010882e7
TX,conventional_steam_coal,1,1,3,0.0,0.0,2.2285250230214e8,0.0,1.8989309737129968e6,4.937405088667581e7,0.0,1.0544084919110688e6,0.0,6.995045763198876e8,0.0,0.0,0.0,0.0,0.0,6.995045763198876e8,2.7517989265443987e8,4.243246836654478e8
TX,conventional_steam_coal_5,1,1,4,0.0,0.0,2.2285250230214e8,0.0,2.7595087351028966e6,7.063986820031722e7,0.0,796899.996247348,0.0,7.202769308535451e8,0.0,0.0,0.0,0.0,0.0,7.202769308535451e8,2.9704877923380744e8,4.232281516197376e8
TX,conventional_steam_coal_1,1,2,5,0.0,0.0,5.3519364816479996e7,0.0,68511.12499176475,2.049254273204829e6,0.0,138636.4193030728,0.0,9.366298446101594e7,0.0,0.0,0.0,0.0,0.0,9.366298446101594e7,5.577576663397966e7,3.788721782703628e7
TX,conventional_steam_coal_2,1,3,6,0.0,0.0,2.055971495424e8,0.0,7.05229037568e6,1.7517801346232522e8,0.0,0.0,0.0,8.439403382347689e8,0.0,0.0,0.0,0.0,0.0,8.439403382347689e8,3.878274533804052e8,4.561128848543637e8
TX,conventional_steam_coal_3,1,3,7,0.0,0.0,1.644193113528e8,0.0,2.680626668260015e6,6.720101857443592e7,0.0,1.4996372907953043e6,0.0,6.129717176696042e8,0.0,0.0,0.0,0.0,0.0,6.129717176696042e8,2.3580059388629124e8,3.771711237833129e8
TX,conventional_steam_coal_4,1,4,8,0.0,0.0,4.1499941118879996e7,0.0,677265.4583467537,1.5013719939098846e7,0.0,0.0,0.0,1.2477212522261037e8,0.0,0.0,0.0,0.0,0.0,1.2477212522261037e8,5.719092651632559e7,6.758119870628478e7
TX,natural_gas_fired_combined_cycle,1,1,9,0.0,0.0,1.32296268e7,0.0,1.1761931241244983e6,1.0915090963316089e7,0.0,652592.3385159998,0.0,1.1313421002032286e8,0.0,0.0,0.0,0.0,0.0,1.1313421002032286e8,2.597350322595659e7,8.716070679436627e7
TX,natural_gas_fired_combined_cycle_1,1,2,10,0.0,0.0,2.134947696e7,0.0,6.750189565688299e6,7.12578221968474e7,0.0,617580.054,0.0,4.942424591890535e8,0.0,0.0,0.0,0.0,0.0,4.942424591890535e8,9.99750687765357e7,3.942673904125178e8
TX,natural_gas_fired_combined_cycle_2,1,3,11,0.0,0.0,4.674538944e7,0.0,1.477413121189145e7,1.0831684511047794e8,0.0,128939.50035750648,0.0,9.711199466364343e8,0.0,0.0,0.0,0.0,0.0,9.711199466364343e8,1.699653052627269e8,8.011546413737074e8
TX,natural_gas_fired_combined_cycle_3,1,4,12,0.0,0.0,1.2652950760000002e7,0.0,3.1257727308168467e6,2.279997746456437e7,0.0,0.0,0.0,1.753750885886768e8,0.0,0.0,0.0,0.0,0.0,1.753750885886768e8,3.857870095538122e7,1.367963876332956e8
TX,natural_gas_fired_combined_cycle_4,1,5,13,0.0,0.0,1.194058624e7,0.0,343458.8509911279,3.920603171862175e6,0.0,885394.195224,0.0,1.4019769088044733e8,0.0,0.0,0.0,0.0,0.0,1.4019769088044733e8,1.7090042458077304e7,1.2310764842237002e8
