Resource,Zone,AnnualSum,Capacity,CapacityFactor
biomass,1,71120.33279999995,69.0,0.894730434782608
conventional_hydroelectric,1,32640.61211839988,468.0,0.0605424459104936
conventional_steam_coal,1,982690.2440063532,3361.0,0.253802358137447
conventional_steam_coal_5,1,1.4280362739745271e6,3361.0,0.3688232136740386
conventional_steam_coal_1,1,35454.271412333364,698.0,0.04409208777600357
conventional_steam_coal_2,1,3.649536e6,3520.0,0.8999999999999999
conventional_steam_coal_3,1,1.3872150758443035e6,2815.0,0.427772558911925
conventional_steam_coal_4,1,350482.54398552753,652.0,0.46662318931270175
natural_gas_fired_combined_cycle,1,251328.68739171742,780.0,0.2797016196934177
natural_gas_fired_combined_cycle_1,1,1.8173810969911204e6,2121.0,0.7437943223973559
natural_gas_fired_combined_cycle_2,1,3.9776996671974477e6,4644.0,0.7435108299832535
natural_gas_fired_combined_cycle_3,1,667914.4278332543,746.0,0.7771941417109471
natural_gas_fired_combined_cycle_4,1,73390.2115410859,704.0,0.09049258643698446
natural_gas_fired_combined_cycle_5,1,3.9452003494957723e6,4029.0,0.8500007647454765
natural_gas_fired_combined_cycle_6,1,443666.62920642487,1740.0,0.22133751856163436
natural_gas_fired_combined_cycle_7,1,972090.844359203,1031.0,0.8184567002431592
natural_gas_fired_combined_cycle_8,1,7.540296541963651e6,8056.0,0.8124871280769478
natural_gas_fired_combined_cycle_9,1,253750.7642864231,532.0,0.41404090350619893
natural_gas_fired_combined_cycle_10,1,172083.83233530898,237.0,0.6302882982276612
natural_gas_fired_combined_cycle_11,1,929280.0165672938,1188.0,0.6790123577845102
natural_gas_fired_combined_cycle_12,1,813451.1393351883,1026.0,0.6882268817474722
natural_gas_fired_combined_cycle_13,1,6.377969650974134e6,7481.0,0.7400657650972897
natural_gas_fired_combined_cycle_14,1,753923.6972398309,824.0,0.7942325896286648
natural_gas_fired_combustion_turbine,1,24942.940743136485,741.0,0.029219781759747154
natural_gas_fired_combustion_turbine_1,1,824652.9997839198,1073.0,0.6671431666989617
natural_gas_fired_combustion_turbine_2,1,1868.9496619969536,81.0,0.020029038730248562
natural_gas_fired_combustion_turbine_3,1,16731.55678832799,180.0,0.08068844901778545
natural_gas_fired_combustion_turbine_4,1,30144.51853203056,91.0,0.28755073386018165
natural_gas_fired_combustion_turbine_5,1,317.23941145590334,13.0,0.021183187196574742
natural_gas_fired_combustion_turbine_6,1,49585.12760710363,354.0,0.12158939404598151
natural_gas_fired_combustion_turbine_7,1,372239.86435441213,557.0,0.5801164851922691
natural_gas_fired_combustion_turbine_8,1,102321.61843868764,1539.0,0.0577133523971011
natural_gas_fired_combustion_turbine_9,1,21500.732428668267,846.0,0.022061265051086267
natural_gas_fired_combustion_turbine_10,1,181748.582293523,336.0,0.46954722194713905
natural_gas_fired_combustion_turbine_11,1,9939.28,208.0,0.041480034722222225
natural_gas_fired_combustion_turbine_12,1,65820.99684245922,547.0,0.10445389758921647
natural_gas_fired_combustion_turbine_13,1,1087.4403551699022,41.0,0.02302338150342781
natural_gas_fired_combustion_turbine_14,1,173138.51906254282,276.0,0.5445429469308034
natural_gas_fired_combustion_turbine_15,1,5065.2000000000035,84.0,0.052343750000000036
natural_gas_steam_turbine,1,415850.7180925381,825.0,0.43755336499635744
natural_gas_steam_turbine_1,1,172205.25296028302,521.0,0.286916941512521
natural_gas_steam_turbine_2,1,703.185,18.0,0.033911313657407405
natural_gas_steam_turbine_3,1,758367.4956283587,1326.0,0.49645936480614655
natural_gas_steam_turbine_4,1,27469.94749505163,167.0,0.1427870690652634
natural_gas_steam_turbine_5,1,21273.946180149607,171.0,0.1079939600600512
natural_gas_steam_turbine_6,1,1.4137628895458807e6,2160.0,0.5681595974576745
natural_gas_steam_turbine_7,1,207149.72321540996,1265.0,0.14214819610192275
natural_gas_steam_turbine_8,1,368327.16229202965,844.0,0.3788251652720487
natural_gas_steam_turbine_9,1,0.0,421.0,0.0
natural_gas_steam_turbine_10,1,56791.96172842636,248.0,0.19878458826314108
natural_gas_steam_turbine_11,1,117909.89907260187,392.0,0.26110291567593596
natural_gas_steam_turbine_12,1,8229.519984577142,61.0,0.11710951708471572
natural_gas_steam_turbine_13,1,860182.7290256274,1461.0,0.511078984752659
natural_gas_steam_turbine_14,1,271291.07110630977,430.0,0.547664468480115
natural_gas_steam_turbine_15,1,98560.60471829466,169.0,0.506248996950478
natural_gas_steam_turbine_16,1,48483.06544806281,169.0,0.24902955214529301
natural_gas_steam_turbine_17,1,23988.94683170602,122.0,0.17068638171466602
nuclear,1,2.8329588e6,2520.0,0.9758593749999999
nuclear_1,1,2.7655074000000004e6,2460.0,0.9758593750000001
onshore_wind_turbine,1,9.332339887132648e6,34182.0,0.23699577220052082
small_hydroelectric,1,0.0,16.0,0.0
solar_photovoltaic,1,2.694379875023646e6,9323.0,0.25087111651736127
Battery,1,121146.92365515497,726.0,0.0
