region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
TX,biomass,1,1,1,0.0,0.0,1.0958785620000001e7,0.0,377312.41118339985,0.0,0.0,0.0,0.0,2.568076788526064e7,0.0,0.0,0.0,0.0,0.0,2.568076788526064e7,1.1336098031183401e7,1.434466985407724e7
TX,conventional_hydroelectric,1,1,2,0.0,0.0,2.264505984e7,0.0,0.0,0.0,0.0,0.0,0.0,1.1013661604643717e7,0.0,0.0,0.0,0.0,0.0,1.1013661604643717e7,2.264505984e7,-1.1631398235356282e7
TX,conventional_steam_coal,1,1,3,0.0,0.0,2.2285250230214e8,0.0,2.9577158003540873e6,8.574037804140499e7,0.0,840877.918996075,0.0,1.1653867565027528e9,0.0,0.0,0.0,0.0,0.0,1.1653867565027528e9,3.123914740628952e8,8.529952824398576e8
TX,conventional_steam_coal_5,1,1,4,0.0,0.0,2.2285250230214e8,0.0,3.113052262488485e6,9.028387151492636e7,0.0,1.398076186326404e6,0.0,1.170038242485441e9,0.0,0.0,0.0,0.0,0.0,1.170038242485441e9,3.1764750226588124e8,8.523907402195597e8
TX,conventional_steam_coal_1,1,2,5,0.0,0.0,5.3519364816479996e7,0.0,137836.64771741797,4.478168926316746e6,0.0,438193.4949479513,0.0,1.5256266099583626e8,0.0,0.0,0.0,0.0,0.0,1.5256266099583626e8,5.8573563885462105e7,9.398909711037415e7
TX,conventional_steam_coal_2,1,3,6,0.0,0.0,2.055971495424e8,0.0,7.19921309184e6,2.041551367563236e8,0.0,0.0,0.0,1.3178072038619943e9,0.0,0.0,0.0,0.0,0.0,1.3178072038619943e9,4.169514993905636e8,9.008557044714307e8
TX,conventional_steam_coal_3,1,3,7,0.0,0.0,1.644193113528e8,0.0,2.929305615289348e6,8.304404934088072e7,0.0,1.1734727254504573e6,0.0,9.890705604699706e8,0.0,0.0,0.0,0.0,0.0,9.890705604699706e8,2.5156613903442055e8,7.3750442143555e8
TX,conventional_steam_coal_4,1,4,8,0.0,0.0,4.1499941118879996e7,0.0,647982.8960779273,1.6339863438895207e7,0.0,0.0,0.0,1.9752940422518736e8,0.0,0.0,0.0,0.0,0.0,1.9752940422518736e8,5.848778745385313e7,1.3904161677133423e8
TX,natural_gas_fired_combined_cycle,1,1,9,0.0,0.0,1.32296268e7,0.0,1.4510722098759126e6,1.4623472461414607e7,0.0,861228.2558679997,0.0,1.8456781274437758e8,0.0,0.0,0.0,0.0,0.0,1.8456781274437758e8,3.016539972715852e7,1.5440241301721907e8
TX,natural_gas_fired_combined_cycle_1,1,2,10,0.0,0.0,2.134947696e7,0.0,6.944810337928354e6,8.08599845082509e7,0.0,723153.8895,0.0,7.795566143370984e8,0.0,0.0,0.0,0.0,0.0,7.795566143370984e8,1.0987742569567926e8,6.69679188641419e8
TX,natural_gas_fired_combined_cycle_2,1,3,11,0.0,0.0,4.674538944e7,0.0,1.4931410996281352e7,1.2026738758185676e8,0.0,0.0,0.0,1.4838051248097458e9,0.0,0.0,0.0,0.0,0.0,1.4838051248097458e9,1.819441880181381e8,1.3018609367916076e9
TX,natural_gas_fired_combined_cycle_3,1,4,12,0.0,0.0,1.2652950760000002e7,0.0,3.1520150290486934e6,2.5237219455518804e7,0.0,0.0,0.0,2.751205228121271e8,0.0,0.0,0.0,0.0,0.0,2.751205228121271e8,4.10421852445675e7,2.340783375675596e8
TX,natural_gas_fired_combined_cycle_4,1,5,13,0.0,0.0,1.194058624e7,0.0,674570.9198940911,8.054735388037517e6,0.0,1.438854492360433e6,0.0,2.3515362570449793e8,0.0,0.0,0.0,0.0,0.0,2.3515362570449793e8,2.210874704029204e7,2.130448786642059e8
TX,natural_gas_fired_combined_cycle_5,1,6,14,0.0,0.0,5.10994041e7,0.0,1.448169215763332e7,1.2601812759376186e8,0.0,0.0,0.0,1.4980102859295332e9,0.0,0.0,0.0,0.0,0.0,1.4980102859295332e9,1.915992238513952e8,1.306411062078138e9
TX,natural_gas_fired_combined_cycle_6,1,7,15,0.0,0.0,1.7514422400000002e7,0.0,2.488510136957718e6,3.327743161537597e7,0.0,2.3724370003500003e6,0.0,4.579148029909356e8,0.0,0.0,0.0,0.0,0.0,4.579148029909356e8,5.565280115268369e7,4.0226200183825195e8
TX,natural_gas_fired_combined_cycle_7,1,8,16,0.0,0.0,1.7486852860000003e7,0.0,4.5984932296171095e6,3.246662946184705e7,0.0,0.0,0.0,3.822067649772014e8,0.0,0.0,0.0,0.0,0.0,3.822067649772014e8,5.4551975551464155e7,3.2765478942573726e8
TX,natural_gas_fired_combined_cycle_8,1,9,17,0.0,0.0,1.0217344239999999e8,0.0,2.8049836474579163e7,2.292930336392983e8,0.0,0.0,0.0,2.7496059008894043e9,0.0,0.0,0.0,0.0,0.0,2.7496059008894043e9,3.5951631251387745e8,2.390089588375527e9
TX,natural_gas_fired_combined_cycle_9,1,10,18,0.0,0.0,5.35498432e6,0.0,954344.8259352399,9.210865143830968e6,0.0,0.0,0.0,9.876082097519408e7,0.0,0.0,0.0,0.0,0.0,9.876082097519408e7,1.5520194289766207e7,8.324062668542787e7
TX,natural_gas_fired_combined_cycle_10,1,11,19,0.0,0.0,4.01977122e6,0.0,839591.1118181681,8.03315544443445e6,0.0,46115.46,0.0,8.58514737717406e7,0.0,0.0,0.0,0.0,0.0,8.58514737717406e7,1.2938633236252619e7,7.291284053548798e7
TX,natural_gas_fired_combined_cycle_11,1,12,20,0.0,0.0,1.50672852e7,0.0,3.652209302422478e6,4.439208954488492e7,0.0,0.0,0.0,4.349094709947641e8,0.0,0.0,0.0,0.0,0.0,4.349094709947641e8,6.31115840473074e7,3.717978869474567e8
TX,natural_gas_fired_combined_cycle_12,1,13,21,0.0,0.0,1.7402047560000002e7,0.0,3.8093188617490213e6,3.305341169782397e7,0.0,0.0,0.0,3.743237255746483e8,0.0,0.0,0.0,0.0,0.0,3.743237255746483e8,5.4264778119573e7,3.200589474550753e8
TX,natural_gas_fired_combined_cycle_13,1,14,22,0.0,0.0,7.530195056e7,0.0,2.3771592712222446e7,2.049904403970042e8,0.0,330264.0492678253,0.0,2.546156113326818e9,0.0,0.0,0.0,0.0,0.0,2.546156113326818e9,3.043942477184945e8,2.2417618656083236e9
TX,natural_gas_fired_combined_cycle_14,1,15,23,0.0,0.0,8.29418624e6,0.0,2.8283524857440186e6,2.988365694984446e7,0.0,0.0,0.0,3.045824974244487e8,0.0,0.0,0.0,0.0,0.0,3.045824974244487e8,4.100619567558848e7,2.6357630174886024e8
TX,natural_gas_fired_combustion_turbine,1,1,24,0.0,0.0,7.4068878e6,0.0,228852.97404421965,2.537767322126804e6,0.0,1.1777050069840003e6,0.0,2.19437276344976e8,0.0,0.0,0.0,0.0,0.0,2.19437276344976e8,1.1351213103155024e7,2.08086063241821e8
TX,natural_gas_fired_combustion_turbine_1,1,2,25,0.0,0.0,1.2671550579999998e7,0.0,4.4545749206061205e6,3.344962181689448e7,0.0,0.0,0.0,3.766965718185453e8,0.0,0.0,0.0,0.0,0.0,3.766965718185453e8,5.05757473175006e7,3.261208245010447e8
TX,natural_gas_fired_combustion_turbine_2,1,3,26,0.0,0.0,1.16323128e6,0.0,15804.876978,261299.35775699996,0.0,106014.7035,0.0,2.6245721369085718e7,0.0,0.0,0.0,0.0,0.0,2.6245721369085718e7,1.546350218235e6,2.4699371150850717e7
TX,natural_gas_fired_combustion_turbine_3,1,4,27,0.0,0.0,2.1257028e6,0.0,182505.73008909659,1.951257767947553e6,0.0,217542.8925,0.0,5.9830705599381275e7,0.0,0.0,0.0,0.0,0.0,5.9830705599381275e7,4.477009190536649e6,5.535369640884463e7
TX,natural_gas_fired_combustion_turbine_4,1,5,28,0.0,0.0,1.3068400799999998e6,0.0,284760.20019336644,2.567778707785158e6,0.0,35489.09548350842,0.0,3.2047588158739876e7,0.0,0.0,0.0,0.0,0.0,3.2047588158739876e7,4.1948680834620325e6,2.7852720075277843e7
TX,natural_gas_fired_combustion_turbine_5,1,6,29,0.0,0.0,186691.44,0.0,2699.50970976395,59287.734526129425,0.0,27145.469,0.0,4.215709311544735e6,0.0,0.0,0.0,0.0,0.0,4.215709311544735e6,275824.15323589335,3.9398851583088418e6
TX,natural_gas_fired_combustion_turbine_6,1,7,30,0.0,0.0,5.08375152e6,0.0,599907.2914871732,6.074831199562034e6,0.0,306802.99016290565,0.0,1.2005048264451978e8,0.0,0.0,0.0,0.0,0.0,1.2005048264451978e8,1.2065293001212113e7,1.0798518964330766e8
TX,natural_gas_fired_combustion_turbine_7,1,8,31,0.0,0.0,6.57786922e6,0.0,2.0894933080296745e6,1.741829881350971e7,0.0,0.0,0.0,1.8515268624760082e8,0.0,0.0,0.0,0.0,0.0,1.8515268624760082e8,2.6085661341539383e7,1.5906702490606144e8
TX,natural_gas_fired_combustion_turbine_8,1,9,32,0.0,0.0,1.53835362e7,0.0,1.1606528882666258e6,1.1700793653582102e7,0.0,3.7500902774999994e6,0.0,5.086027510384693e8,0.0,0.0,0.0,0.0,0.0,5.086027510384693e8,3.199507301934873e7,4.766076780191206e8
TX,natural_gas_fired_combustion_turbine_9,1,10,33,0.0,0.0,8.456446799999999e6,0.0,207961.22109438333,2.4713894421922513e6,0.0,1.1315420210570002e6,0.0,2.5368316449881902e8,0.0,0.0,0.0,0.0,0.0,2.5368316449881902e8,1.2267339484343633e7,2.414158250144754e8
TX,natural_gas_fired_combustion_turbine_10,1,11,34,0.0,0.0,3.3585888e6,0.0,1.2878340346751844e6,1.1211498122229803e7,0.0,87701.04,0.0,1.2098692751292436e8,0.0,0.0,0.0,0.0,0.0,1.2098692751292436e8,1.5945621996904988e7,1.0504130551601937e8
TX,natural_gas_fired_combustion_turbine_11,1,12,35,0.0,0.0,2.4563676799999997e6,0.0,87615.94367669907,1.0290710335450029e6,0.0,163136.168,0.0,6.788012210106798e7,0.0,0.0,0.0,0.0,0.0,6.788012210106798e7,3.7361908252217015e6,6.414393127584627e7
TX,natural_gas_fired_combustion_turbine_12,1,13,36,0.0,0.0,6.459774619999999e6,0.0,576094.6623253872,5.751944600970275e6,0.0,798732.4038594998,0.0,1.8215222986719385e8,0.0,0.0,0.0,0.0,0.0,1.8215222986719385e8,1.358654628715516e7,1.685656835800387e8
TX,natural_gas_fired_combustion_turbine_13,1,14,37,0.0,0.0,588796.08,0.0,9464.248510687925,139076.44958212,0.0,74979.32400000002,0.0,1.3304499048194861e7,0.0,0.0,0.0,0.0,0.0,1.3304499048194861e7,812316.1020928079,1.2492182946102053e7
TX,natural_gas_fired_combustion_turbine_14,1,15,38,0.0,0.0,3.96360288e6,0.0,978962.7242767375,8.064808504929501e6,0.0,60057.183615,0.0,8.366565500017954e7,0.0,0.0,0.0,0.0,0.0,8.366565500017954e7,1.3067431292821238e7,7.05982237073583e7
TX,natural_gas_fired_combustion_turbine_15,1,16,39,0.0,0.0,1.20631392e6,0.0,45912.22046478808,517049.72947118606,0.0,98973.31280183094,0.0,2.7521801285743725e7,0.0,0.0,0.0,0.0,0.0,2.7521801285743725e7,1.868249182737805e6,2.565355210300592e7
TX,natural_gas_steam_turbine,1,1,40,0.0,0.0,2.2691526e7,0.0,503821.37237164006,2.4006763630605586e7,0.0,0.0,0.0,2.920276975237364e8,0.0,0.0,0.0,0.0,0.0,2.920276975237364e8,4.720211100297722e7,2.448255865207592e8
TX,natural_gas_steam_turbine_1,1,2,41,0.0,0.0,2.7489293759999998e7,0.0,212752.94106650227,1.0534951198988188e7,0.0,98531.97601799999,0.0,1.227914870264839e8,0.0,0.0,0.0,0.0,0.0,1.227914870264839e8,3.833552987607269e7,8.44559571504112e7
TX,natural_gas_steam_turbine_2,1,3,42,0.0,0.0,949726.08,0.0,3177.1005558476545,240895.54635646552,0.0,7585.24375,0.0,5.224781194469678e6,0.0,0.0,0.0,0.0,0.0,5.224781194469678e6,1.201383970662313e6,4.023397223807365e6
TX,natural_gas_steam_turbine_3,1,4,43,0.0,0.0,4.254770676e7,0.0,872588.1048135512,4.103547406875247e7,0.0,0.0,0.0,4.7199696205503196e8,0.0,0.0,0.0,0.0,0.0,4.7199696205503196e8,8.445576893356602e7,3.875411931214659e8
TX,natural_gas_steam_turbine_4,1,5,44,0.0,0.0,5.35857242e6,0.0,39989.85960481155,2.3778030676976903e6,0.0,0.0,0.0,5.581700039736019e7,0.0,0.0,0.0,0.0,0.0,5.581700039736019e7,7.776365347302502e6,4.804063505005769e7
TX,natural_gas_steam_turbine_5,1,6,45,0.0,0.0,9.02239776e6,0.0,43749.32197421206,2.5820715104289963e6,0.0,12198.8835,0.0,5.731010866392692e7,0.0,0.0,0.0,0.0,0.0,5.731010866392692e7,1.166041747590321e7,4.5649691188023716e7
TX,natural_gas_steam_turbine_6,1,7,46,0.0,0.0,6.93084816e7,0.0,1.5586235606939453e6,6.863629396864356e7,0.0,0.0,0.0,7.757720043320647e8,0.0,0.0,0.0,0.0,0.0,7.757720043320647e8,1.395033991293375e8,6.362686052027273e8
TX,natural_gas_steam_turbine_7,1,8,47,0.0,0.0,3.47936732e7,0.0,407738.12894840917,2.140710229545542e7,0.0,420649.8840611584,0.0,2.994601057206615e8,0.0,0.0,0.0,0.0,0.0,2.994601057206615e8,5.702916350846499e7,2.4243094221219653e8
TX,natural_gas_steam_turbine_8,1,9,48,0.0,0.0,4.453160064e7,0.0,441364.80718725856,2.0997009046672814e7,0.0,0.0,0.0,2.4945223471744466e8,0.0,0.0,0.0,0.0,0.0,2.4945223471744466e8,6.596997449386007e7,1.834822602235846e8
TX,natural_gas_steam_turbine_9,1,10,49,0.0,0.0,1.157955448e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.157955448e7,-1.157955448e7
TX,natural_gas_steam_turbine_10,1,11,50,0.0,0.0,1.3085114879999999e7,0.0,81457.04105771364,4.277785140369473e6,0.0,46816.30610799999,0.0,5.748324982722374e7,0.0,0.0,0.0,0.0,0.0,5.748324982722374e7,1.7491173367535185e7,3.999207645968856e7
TX,natural_gas_steam_turbine_11,1,12,51,0.0,0.0,1.257820592e7,0.0,172483.2760874953,9.109007396366635e6,0.0,0.0,0.0,1.3529614061067104e8,0.0,0.0,0.0,0.0,0.0,1.3529614061067104e8,2.1859696592454128e7,1.1343644401821691e8
