Delivery Date,Hour Ending,Price,Time_Index,Year
8/22/2021,1:00,27.71,5592,1970
8/22/2021,2:00,27.38,5593,1970
8/22/2021,3:00,24.91,5594,1970
8/22/2021,4:00,23.05,5595,1970
8/22/2021,5:00,22.69,5596,1970
8/22/2021,6:00,23.17,5597,1970
8/22/2021,7:00,24.92,5598,1970
8/22/2021,8:00,25.95,5599,1970
8/22/2021,9:00,28.23,5600,1970
8/22/2021,10:00,27.35,5601,1970
8/22/2021,11:00,29.34,5602,1970
8/22/2021,12:00,35.32,5603,1970
8/22/2021,13:00,36.75,5604,1970
8/22/2021,14:00,44.18,5605,1970
8/22/2021,15:00,54.24,5606,1970
8/22/2021,16:00,62.91,5607,1970
8/22/2021,17:00,63.82,5608,1970
8/22/2021,18:00,53.13,5609,1970
8/22/2021,19:00,44.52,5610,1970
8/22/2021,20:00,52.03,5611,1970
8/22/2021,21:00,40.72,5612,1970
8/22/2021,22:00,33.66,5613,1970
8/22/2021,23:00,31.1,5614,1970
8/22/2021,24:00:00,27.94,5615,1970
8/23/2021,1:00,26.64,5616,1970
8/23/2021,2:00,23.78,5617,1970
8/23/2021,3:00,22.46,5618,1970
8/23/2021,4:00,21.19,5619,1970
8/23/2021,5:00,21.75,5620,1970
8/23/2021,6:00,23.95,5621,1970
8/23/2021,7:00,27.09,5622,1970
8/23/2021,8:00,27.66,5623,1970
8/23/2021,9:00,28.72,5624,1970
8/23/2021,10:00,29.52,5625,1970
8/23/2021,11:00,29.49,5626,1970
8/23/2021,12:00,35.25,5627,1970
8/23/2021,13:00,43.7,5628,1970
8/23/2021,14:00,54.04,5629,1970
8/23/2021,15:00,76.19,5630,1970
8/23/2021,16:00,98.01,5631,1970
8/23/2021,17:00,70.11,5632,1970
8/23/2021,18:00,53.02,5633,1970
8/23/2021,19:00,42.55,5634,1970
8/23/2021,20:00,44.32,5635,1970
8/23/2021,21:00,41.17,5636,1970
8/23/2021,22:00,36.67,5637,1970
8/23/2021,23:00,31.81,5638,1970
8/23/2021,24:00:00,27.92,5639,1970
8/24/2021,1:00,25.16,5640,1970
8/24/2021,2:00,23.08,5641,1970
8/24/2021,3:00,21.81,5642,1970
8/24/2021,4:00,21.69,5643,1970
8/24/2021,5:00,21.61,5644,1970
8/24/2021,6:00,22.87,5645,1970
8/24/2021,7:00,25.95,5646,1970
8/24/2021,8:00,27.35,5647,1970
8/24/2021,9:00,28.3,5648,1970
8/24/2021,10:00,26.89,5649,1970
8/24/2021,11:00,30.23,5650,1970
8/24/2021,12:00,37.0,5651,1970
8/24/2021,13:00,45.09,5652,1970
8/24/2021,14:00,52.63,5653,1970
8/24/2021,15:00,75.98,5654,1970
8/24/2021,16:00,111.26,5655,1970
8/24/2021,17:00,101.88,5656,1970
8/24/2021,18:00,59.93,5657,1970
8/24/2021,19:00,50.12,5658,1970
8/24/2021,20:00,48.74,5659,1970
8/24/2021,21:00,45.96,5660,1970
8/24/2021,22:00,39.07,5661,1970
8/24/2021,23:00,33.84,5662,1970
8/24/2021,24:00:00,28.56,5663,1970
8/25/2021,1:00,25.46,5664,1970
8/25/2021,2:00,23.15,5665,1970
8/25/2021,3:00,21.42,5666,1970
8/25/2021,4:00,20.87,5667,1970
8/25/2021,5:00,20.98,5668,1970
8/25/2021,6:00,22.72,5669,1970
8/25/2021,7:00,25.83,5670,1970
8/25/2021,8:00,26.59,5671,1970
