region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
TX,biomass,1,1,1,0.0,0.0,1.0958785620000001e7,0.0,363509.3855509661,0.0,0.0,0.0,0.0,1.4980603219668776e7,0.0,0.0,0.0,0.0,0.0,1.4980603219668776e7,1.1322295005550968e7,3.6583082141178083e6
TX,conventional_hydroelectric,1,1,2,0.0,0.0,2.264505984e7,0.0,0.0,0.0,0.0,0.0,0.0,8.1041788299431605e6,0.0,0.0,0.0,0.0,0.0,8.1041788299431605e6,2.264505984e7,-1.4540881010056838e7
TX,conventional_steam_coal,1,1,3,0.0,0.0,2.2285250230214e8,0.0,1.8237936556537298e6,5.806174143849655e7,0.0,1.1422245982640097e6,0.0,5.4244377371711e8,0.0,0.0,0.0,0.0,0.0,5.4244377371711e8,2.838802619945543e8,2.5856351172255576e8
TX,conventional_steam_coal_5,1,1,4,0.0,0.0,2.2285250230214e8,0.0,1.7911091518192892e6,5.6683755199788235e7,0.0,1.4411557856245728e6,0.0,5.4199502416875e8,0.0,0.0,0.0,0.0,0.0,5.4199502416875e8,2.8276852243937206e8,2.5922650172937799e8
TX,conventional_steam_coal_1,1,2,5,0.0,0.0,5.3519364816479996e7,0.0,19908.3348243288,676042.2929720522,0.0,97007.81716280564,0.0,4.175410284893102e7,0.0,0.0,0.0,0.0,0.0,4.175410284893102e7,5.431232326143918e7,-1.255822041250816e7
TX,conventional_steam_coal_2,1,3,6,0.0,0.0,2.055971495424e8,0.0,7.05229037568e6,2.459887768253436e8,0.0,0.0,0.0,7.68745058811152e8,0.0,0.0,0.0,0.0,0.0,7.68745058811152e8,4.586382167434236e8,3.101068420677284e8
TX,conventional_steam_coal_3,1,3,7,0.0,0.0,1.644193113528e8,0.0,1.7051741965607924e6,5.2959568166734405e7,0.0,1.2079154359989676e6,0.0,4.602436941127737e8,0.0,0.0,0.0,0.0,0.0,4.602436941127737e8,2.202919691520942e8,2.3995172496067953e8
TX,conventional_steam_coal_4,1,4,8,0.0,0.0,4.1499941118879996e7,0.0,520972.25095983245,1.560119131687906e7,0.0,0.0,0.0,1.0653734754178405e8,0.0,0.0,0.0,0.0,0.0,1.0653734754178405e8,5.7622104686718896e7,4.891524285506515e7
TX,natural_gas_fired_combined_cycle,1,1,9,0.0,0.0,1.32296268e7,0.0,1.0062086009409911e6,1.1694169645533346e7,0.0,1.3925978903780004e6,0.0,9.348182959934762e7,0.0,0.0,0.0,0.0,0.0,9.348182959934762e7,2.732260293685234e7,6.6159226662495285e7
TX,natural_gas_fired_combined_cycle_1,1,2,10,0.0,0.0,2.134947696e7,0.0,5.712584606200515e6,7.848550986845987e7,0.0,4.014066735000001e6,0.0,4.3507208860533935e8,0.0,0.0,0.0,0.0,0.0,4.3507208860533935e8,1.0956163816966037e8,3.2551045043567896e8
TX,natural_gas_fired_combined_cycle_2,1,3,11,0.0,0.0,4.674538944e7,0.0,1.4311822417313598e7,1.380058992928268e8,0.0,64389.47495108547,0.0,8.651806142130417e8,0.0,0.0,0.0,0.0,0.0,8.651806142130417e8,1.991275006250915e8,6.660531135879502e8
TX,natural_gas_fired_combined_cycle_3,1,4,12,0.0,0.0,1.2652950760000002e7,0.0,2.8434388906887784e6,2.7187904343950838e7,0.0,445416.155712,0.0,1.5646421351877958e8,0.0,0.0,0.0,0.0,0.0,1.5646421351877958e8,4.312971015035162e7,1.1333450336842796e8
TX,natural_gas_fired_combined_cycle_4,1,5,13,0.0,0.0,1.194058624e7,0.0,405757.6572729232,5.510517576613424e6,0.0,1.4417165464800003e6,0.0,1.1357208530419175e8,0.0,0.0,0.0,0.0,0.0,1.1357208530419175e8,1.929857802036635e7,9.42735072838254e7
TX,natural_gas_fired_combined_cycle_5,1,6,14,0.0,0.0,5.10994041e7,0.0,1.3766200841663186e7,1.433295403752397e8,0.0,199189.731,0.0,8.647495256406108e8,0.0,0.0,0.0,0.0,0.0,8.647495256406108e8,2.0839433504790288e8,6.563551905927079e8
TX,natural_gas_fired_combined_cycle_6,1,7,15,0.0,0.0,1.7514422400000002e7,0.0,1.7066973386137832e6,2.583798507438039e7,0.0,3.4921120845e6,0.0,2.2957729910153836e8,0.0,0.0,0.0,0.0,0.0,2.2957729910153836e8,4.8551216897494175e7,1.810260822040442e8
