Resource,Zone,AnnualSum,Capacity,CapacityFactor
biomass,1,69886.56665890585,69.0,0.8792090209705345
conventional_hydroelectric,1,40400.43333039993,468.0,0.07493551410108011
conventional_steam_coal,1,943806.940484651,3361.0,0.24375985065742128
conventional_steam_coal_5,1,926892.8222292144,3361.0,0.23939139058037412
conventional_steam_coal_1,1,10302.49476,698.0,0.012812518356017192
conventional_steam_coal_2,1,3.649536e6,3520.0,0.8999999999999999
conventional_steam_coal_3,1,882421.7786153823,2815.0,0.27211052478518544
conventional_steam_coal_4,1,269601.3470227556,652.0,0.3589401028655893
natural_gas_fired_combined_cycle,1,215006.43196243318,780.0,0.23927888172457396
natural_gas_fired_combined_cycle_1,1,1.5380224773306288e6,2121.0,0.629462025467313
natural_gas_fired_combined_cycle_2,1,3.85323038288145e6,4644.0,0.7202450561360256
natural_gas_fired_combined_cycle_3,1,607585.3951342504,746.0,0.7069944741564389
natural_gas_fired_combined_cycle_4,1,86702.20672940089,704.0,0.10690672191815725
natural_gas_fired_combined_cycle_5,1,3.7621616240142942e6,4029.0,0.8105647303607643
natural_gas_fired_combined_cycle_6,1,459501.09271715966,1740.0,0.22923705535458558
natural_gas_fired_combined_cycle_7,1,919694.5199428198,1031.0,0.7743413554319732
natural_gas_fired_combined_cycle_8,1,7.388406462409767e6,8056.0,0.7961205655905371
natural_gas_fired_combined_cycle_9,1,231424.80911702412,532.0,0.37761201362296387
natural_gas_fired_combined_cycle_10,1,145505.8894969035,237.0,0.532941754193417
natural_gas_fired_combined_cycle_11,1,833629.8062367287,1188.0,0.6091220408926714
natural_gas_fired_combined_cycle_12,1,741833.4835852686,1026.0,0.6276341878394965
natural_gas_fired_combined_cycle_13,1,6.03360112654319e6,7481.0,0.7001070682932863
natural_gas_fired_combined_cycle_14,1,680828.3930535984,824.0,0.7172292099152153
natural_gas_fired_combustion_turbine,1,22676.809539176753,741.0,0.026565088397783532
natural_gas_fired_combustion_turbine_1,1,760470.8743129624,1073.0,0.6152199135932503
natural_gas_fired_combustion_turbine_2,1,1148.2999772339588,81.0,0.012306026847929084
natural_gas_fired_combustion_turbine_3,1,15313.43759162324,180.0,0.07384952542256579
natural_gas_fired_combustion_turbine_4,1,33949.34237121004,91.0,0.32384522255809334
natural_gas_fired_combustion_turbine_5,1,146.406,13.0,0.009776041666666667
natural_gas_fired_combustion_turbine_6,1,77827.42965925489,354.0,0.1908433126845351
natural_gas_fired_combustion_turbine_7,1,334394.6911637756,557.0,0.5211367493949726
natural_gas_fired_combustion_turbine_8,1,126327.75693479711,1539.0,0.0712537434880588
natural_gas_fired_combustion_turbine_9,1,16110.84969756442,846.0,0.01653086593935146
natural_gas_fired_combustion_turbine_10,1,161605.30692645573,336.0,0.4175070966808649
natural_gas_fired_combustion_turbine_11,1,4265.695767236962,208.0,0.017802215908941647
natural_gas_fired_combustion_turbine_12,1,60124.25683345772,547.0,0.095413519502618
natural_gas_fired_combustion_turbine_13,1,668.382,41.0,0.014151041666666666
natural_gas_fired_combustion_turbine_14,1,151972.20406902302,276.0,0.47797215953673206
natural_gas_fired_combustion_turbine_15,1,2877.2906181709877,84.0,0.029733906024419103
natural_gas_steam_turbine,1,370960.5713253509,825.0,0.39032046646185914
natural_gas_steam_turbine_1,1,142567.41171583932,521.0,0.2375363412305384
natural_gas_steam_turbine_2,1,373.1,18.0,0.017992862654320988
natural_gas_steam_turbine_3,1,683184.1334647316,1326.0,0.44724116328919183
natural_gas_steam_turbine_4,1,25677.877286516697,167.0,0.13347200020020739
natural_gas_steam_turbine_5,1,24578.6985778653,171.0,0.12477003420375092
natural_gas_steam_turbine_6,1,1.2491857529142222e6,2160.0,0.5020197373787223
natural_gas_steam_turbine_7,1,231369.14756664424,1265.0,0.15876780547776972
natural_gas_steam_turbine_8,1,334730.3735818213,844.0,0.3442708061621878
natural_gas_steam_turbine_9,1,0.0,421.0,0.0
natural_gas_steam_turbine_10,1,54621.191026860804,248.0,0.19118640452390234
natural_gas_steam_turbine_11,1,134636.03846041998,392.0,0.2981417376621403
natural_gas_steam_turbine_12,1,9268.887291440016,61.0,0.13190014929758676
natural_gas_steam_turbine_13,1,760957.4245184241,1461.0,0.45212410670394615
natural_gas_steam_turbine_14,1,247634.16052516445,430.0,0.49990746230047733
natural_gas_steam_turbine_15,1,88978.81502422139,169.0,0.45703286809778404
natural_gas_steam_turbine_16,1,51469.95865171172,169.0,0.2643715003067047
natural_gas_steam_turbine_17,1,25206.730985375947,122.0,0.17935117105942586
nuclear,1,2.825827200000003e6,2520.0,0.9734027777777788
nuclear_1,1,2.758545599999994e6,2460.0,0.9734027777777757
onshore_wind_turbine,1,1.0115504974429691e7,34182.0,0.2568843335762551
small_hydroelectric,1,0.0,16.0,0.0
solar_photovoltaic,1,2.749869766557616e6,9323.0,0.2560377269027778
Battery,1,128625.43459702632,726.0,0.0
