Delivery Date,Hour Ending,Price,Time_Index,Year
9/22/2021,1:00,35.09,6336,1970
9/22/2021,2:00,32.47,6337,1970
9/22/2021,3:00,31.0,6338,1970
9/22/2021,4:00,29.88,6339,1970
9/22/2021,5:00,30.45,6340,1970
9/22/2021,6:00,32.57,6341,1970
9/22/2021,7:00,34.64,6342,1970
9/22/2021,8:00,34.37,6343,1970
9/22/2021,9:00,30.88,6344,1970
9/22/2021,10:00,30.44,6345,1970
9/22/2021,11:00,31.17,6346,1970
9/22/2021,12:00,32.95,6347,1970
9/22/2021,13:00,34.82,6348,1970
9/22/2021,14:00,39.62,6349,1970
9/22/2021,15:00,42.79,6350,1970
9/22/2021,16:00,46.94,6351,1970
9/22/2021,17:00,52.14,6352,1970
9/22/2021,18:00,50.62,6353,1970
9/22/2021,19:00,64.44,6354,1970
9/22/2021,20:00,73.33,6355,1970
9/22/2021,21:00,48.3,6356,1970
9/22/2021,22:00,39.63,6357,1970
9/22/2021,23:00,34.22,6358,1970
9/22/2021,24:00:00,33.56,6359,1970
9/23/2021,1:00,32.19,6360,1970
9/23/2021,2:00,27.3,6361,1970
9/23/2021,3:00,25.41,6362,1970
9/23/2021,4:00,24.76,6363,1970
9/23/2021,5:00,24.88,6364,1970
9/23/2021,6:00,26.59,6365,1970
9/23/2021,7:00,33.81,6366,1970
9/23/2021,8:00,33.72,6367,1970
9/23/2021,9:00,30.57,6368,1970
9/23/2021,10:00,30.06,6369,1970
9/23/2021,11:00,30.58,6370,1970
9/23/2021,12:00,31.52,6371,1970
9/23/2021,13:00,34.81,6372,1970
9/23/2021,14:00,36.68,6373,1970
9/23/2021,15:00,41.65,6374,1970
9/23/2021,16:00,48.16,6375,1970
9/23/2021,17:00,55.38,6376,1970
9/23/2021,18:00,50.99,6377,1970
9/23/2021,19:00,52.74,6378,1970
9/23/2021,20:00,49.55,6379,1970
9/23/2021,21:00,35.07,6380,1970
9/23/2021,22:00,34.15,6381,1970
9/23/2021,23:00,28.45,6382,1970
9/23/2021,24:00:00,26.78,6383,1970
9/24/2021,1:00,21.22,6384,1970
9/24/2021,2:00,14.8,6385,1970
9/24/2021,3:00,12.48,6386,1970
9/24/2021,4:00,11.82,6387,1970
9/24/2021,5:00,16.14,6388,1970
9/24/2021,6:00,22.6,6389,1970
9/24/2021,7:00,34.24,6390,1970
9/24/2021,8:00,31.91,6391,1970
9/24/2021,9:00,32.13,6392,1970
9/24/2021,10:00,35.92,6393,1970
9/24/2021,11:00,34.91,6394,1970
9/24/2021,12:00,35.98,6395,1970
9/24/2021,13:00,35.82,6396,1970
9/24/2021,14:00,41.12,6397,1970
9/24/2021,15:00,46.59,6398,1970
9/24/2021,16:00,51.48,6399,1970
9/24/2021,17:00,59.12,6400,1970
9/24/2021,18:00,54.4,6401,1970
9/24/2021,19:00,54.16,6402,1970
9/24/2021,20:00,48.27,6403,1970
9/24/2021,21:00,39.01,6404,1970
9/24/2021,22:00,35.63,6405,1970
9/24/2021,23:00,35.03,6406,1970
9/24/2021,24:00:00,30.46,6407,1970
9/25/2021,1:00,31.41,6408,1970
9/25/2021,2:00,26.96,6409,1970
9/25/2021,3:00,20.52,6410,1970
9/25/2021,4:00,21.71,6411,1970
9/25/2021,5:00,25.48,6412,1970
9/25/2021,6:00,27.95,6413,1970
9/25/2021,7:00,33.18,6414,1970
9/25/2021,8:00,35.08,6415,1970
9/25/2021,9:00,34.41,6416,1970
9/25/2021,10:00,36.92,6417,1970
9/25/2021,11:00,37.31,6418,1970
9/25/2021,12:00,38.79,6419,1970
9/25/2021,13:00,41.88,6420,1970
9/25/2021,14:00,43.1,6421,1970
9/25/2021,15:00,47.07,6422,1970
9/25/2021,16:00,54.0,6423,1970
9/25/2021,17:00,63.55,6424,1970
9/25/2021,18:00,58.96,6425,1970
9/25/2021,19:00,54.77,6426,1970
9/25/2021,20:00,51.22,6427,1970
9/25/2021,21:00,40.46,6428,1970
9/25/2021,22:00,38.38,6429,1970
9/25/2021,23:00,34.59,6430,1970
9/25/2021,24:00:00,30.7,6431,1970
9/26/2021,1:00,29.51,6432,1970
9/26/2021,2:00,23.53,6433,1970
9/26/2021,3:00,19.44,6434,1970
9/26/2021,4:00,17.89,6435,1970
9/26/2021,5:00,18.79,6436,1970
9/26/2021,6:00,18.95,6437,1970
9/26/2021,7:00,28.41,6438,1970
9/26/2021,8:00,29.17,6439,1970
9/26/2021,9:00,33.47,6440,1970
9/26/2021,10:00,36.83,6441,1970
9/26/2021,11:00,32.62,6442,1970
9/26/2021,12:00,34.72,6443,1970
9/26/2021,13:00,37.02,6444,1970
9/26/2021,14:00,41.05,6445,1970
9/26/2021,15:00,45.37,6446,1970
9/26/2021,16:00,55.97,6447,1970
9/26/2021,17:00,64.99,6448,1970
9/26/2021,18:00,58.64,6449,1970
9/26/2021,19:00,58.3,6450,1970
9/26/2021,20:00,52.23,6451,1970
9/26/2021,21:00,39.99,6452,1970
9/26/2021,22:00,36.4,6453,1970
9/26/2021,23:00,32.71,6454,1970
9/26/2021,24:00:00,28.44,6455,1970
9/27/2021,1:00,22.53,6456,1970
9/27/2021,2:00,19.07,6457,1970
9/27/2021,3:00,17.53,6458,1970
9/27/2021,4:00,18.1,6459,1970
9/27/2021,5:00,21.48,6460,1970
9/27/2021,6:00,27.17,6461,1970
9/27/2021,7:00,33.84,6462,1970
9/27/2021,8:00,35.02,6463,1970
9/27/2021,9:00,32.72,6464,1970
9/27/2021,10:00,35.66,6465,1970
9/27/2021,11:00,36.71,6466,1970
9/27/2021,12:00,37.37,6467,1970
9/27/2021,13:00,42.44,6468,1970
9/27/2021,14:00,54.46,6469,1970
9/27/2021,15:00,59.08,6470,1970
9/27/2021,16:00,76.26,6471,1970
9/27/2021,17:00,100.18,6472,1970
9/27/2021,18:00,77.9,6473,1970
9/27/2021,19:00,58.79,6474,1970
9/27/2021,20:00,56.7,6475,1970
9/27/2021,21:00,47.97,6476,1970
9/27/2021,22:00,39.87,6477,1970
9/27/2021,23:00,36.92,6478,1970
9/27/2021,24:00:00,33.83,6479,1970
9/28/2021,1:00,35.38,6480,1970
9/28/2021,2:00,31.62,6481,1970
9/28/2021,3:00,29.17,6482,1970
9/28/2021,4:00,27.24,6483,1970
9/28/2021,5:00,27.93,6484,1970
9/28/2021,6:00,34.9,6485,1970
9/28/2021,7:00,37.66,6486,1970
9/28/2021,8:00,39.8,6487,1970
9/28/2021,9:00,39.12,6488,1970
9/28/2021,10:00,38.32,6489,1970
9/28/2021,11:00,42.88,6490,1970
9/28/2021,12:00,44.31,6491,1970
9/28/2021,13:00,48.89,6492,1970
9/28/2021,14:00,57.34,6493,1970
9/28/2021,15:00,60.2,6494,1970
9/28/2021,16:00,70.04,6495,1970
9/28/2021,17:00,71.97,6496,1970
9/28/2021,18:00,60.24,6497,1970
9/28/2021,19:00,52.1,6498,1970
9/28/2021,20:00,51.65,6499,1970
9/28/2021,21:00,44.27,6500,1970
9/28/2021,22:00,40.65,6501,1970
9/28/2021,23:00,37.44,6502,1970
9/28/2021,24:00:00,35.23,6503,1970
9/29/2021,1:00,36.32,6504,1970
9/29/2021,2:00,33.02,6505,1970
9/29/2021,3:00,31.65,6506,1970
9/29/2021,4:00,31.54,6507,1970
9/29/2021,5:00,32.94,6508,1970
9/29/2021,6:00,37.84,6509,1970
9/29/2021,7:00,55.9,6510,1970
9/29/2021,8:00,48.91,6511,1970
9/29/2021,9:00,41.44,6512,1970
9/29/2021,10:00,38.68,6513,1970
9/29/2021,11:00,38.77,6514,1970
9/29/2021,12:00,42.54,6515,1970
9/29/2021,13:00,48.45,6516,1970
9/29/2021,14:00,53.68,6517,1970
9/29/2021,15:00,57.65,6518,1970
9/29/2021,16:00,62.34,6519,1970
9/29/2021,17:00,67.26,6520,1970
9/29/2021,18:00,65.43,6521,1970
9/29/2021,19:00,66.6,6522,1970
9/29/2021,20:00,58.6,6523,1970
9/29/2021,21:00,47.44,6524,1970
9/29/2021,22:00,41.74,6525,1970
9/29/2021,23:00,39.37,6526,1970
9/29/2021,24:00:00,36.48,6527,1970
9/30/2021,1:00,37.48,6528,1970
9/30/2021,2:00,32.03,6529,1970
9/30/2021,3:00,30.58,6530,1970
9/30/2021,4:00,32.28,6531,1970
9/30/2021,5:00,35.01,6532,1970
9/30/2021,6:00,41.39,6533,1970
9/30/2021,7:00,46.09,6534,1970
9/30/2021,8:00,52.36,6535,1970
9/30/2021,9:00,45.97,6536,1970
9/30/2021,10:00,41.45,6537,1970
9/30/2021,11:00,40.97,6538,1970
9/30/2021,12:00,46.11,6539,1970
9/30/2021,13:00,54.76,6540,1970
9/30/2021,14:00,64.89,6541,1970
9/30/2021,15:00,69.22,6542,1970
9/30/2021,16:00,70.38,6543,1970
9/30/2021,17:00,63.1,6544,1970
9/30/2021,18:00,57.38,6545,1970
9/30/2021,19:00,52.0,6546,1970
9/30/2021,20:00,54.49,6547,1970
9/30/2021,21:00,51.77,6548,1970
9/30/2021,22:00,43.43,6549,1970
9/30/2021,23:00,42.42,6550,1970
9/30/2021,24:00:00,41.4,6551,1970
10/1/2021,1:00,40.13,6552,1970
10/1/2021,2:00,36.12,6553,1970
10/1/2021,3:00,35.25,6554,1970
10/1/2021,4:00,35.44,6555,1970
10/1/2021,5:00,37.0,6556,1970
10/1/2021,6:00,41.72,6557,1970
10/1/2021,7:00,47.23,6558,1970
10/1/2021,8:00,46.45,6559,1970
10/1/2021,9:00,45.33,6560,1970
10/1/2021,10:00,46.72,6561,1970
10/1/2021,11:00,46.52,6562,1970
10/1/2021,12:00,45.66,6563,1970
10/1/2021,13:00,54.48,6564,1970
10/1/2021,14:00,57.8,6565,1970
10/1/2021,15:00,62.26,6566,1970
10/1/2021,16:00,67.09,6567,1970
10/1/2021,17:00,68.47,6568,1970
10/1/2021,18:00,64.36,6569,1970
10/1/2021,19:00,67.45,6570,1970
10/1/2021,20:00,61.68,6571,1970
10/1/2021,21:00,53.57,6572,1970
10/1/2021,22:00,47.48,6573,1970
10/1/2021,23:00,46.93,6574,1970
10/1/2021,24:00:00,42.2,6575,1970
10/2/2021,1:00,50.52,6576,1970
10/2/2021,2:00,42.52,6577,1970
10/2/2021,3:00,38.01,6578,1970
10/2/2021,4:00,36.79,6579,1970
10/2/2021,5:00,36.81,6580,1970
10/2/2021,6:00,37.56,6581,1970
10/2/2021,7:00,41.64,6582,1970
10/2/2021,8:00,42.03,6583,1970
10/2/2021,9:00,44.89,6584,1970
10/2/2021,10:00,45.17,6585,1970
10/2/2021,11:00,44.92,6586,1970
10/2/2021,12:00,46.35,6587,1970
10/2/2021,13:00,52.62,6588,1970
10/2/2021,14:00,56.73,6589,1970
10/2/2021,15:00,56.99,6590,1970
10/2/2021,16:00,64.94,6591,1970
10/2/2021,17:00,66.5,6592,1970
10/2/2021,18:00,66.54,6593,1970
10/2/2021,19:00,73.11,6594,1970
10/2/2021,20:00,71.14,6595,1970
10/2/2021,21:00,60.12,6596,1970
10/2/2021,22:00,51.86,6597,1970
10/2/2021,23:00,48.48,6598,1970
10/2/2021,24:00:00,46.25,6599,1970
10/3/2021,1:00,44.67,6600,1970
10/3/2021,2:00,39.65,6601,1970
10/3/2021,3:00,37.24,6602,1970
10/3/2021,4:00,36.0,6603,1970
10/3/2021,5:00,35.75,6604,1970
10/3/2021,6:00,35.99,6605,1970
10/3/2021,7:00,36.06,6606,1970
10/3/2021,8:00,35.46,6607,1970
10/3/2021,9:00,38.04,6608,1970
10/3/2021,10:00,39.11,6609,1970
10/3/2021,11:00,41.03,6610,1970
10/3/2021,12:00,47.0,6611,1970
10/3/2021,13:00,54.21,6612,1970
10/3/2021,14:00,59.14,6613,1970
10/3/2021,15:00,64.54,6614,1970
10/3/2021,16:00,73.89,6615,1970
10/3/2021,17:00,84.82,6616,1970
10/3/2021,18:00,82.41,6617,1970
10/3/2021,19:00,96.2,6618,1970
10/3/2021,20:00,88.45,6619,1970
10/3/2021,21:00,63.41,6620,1970
10/3/2021,22:00,55.31,6621,1970
10/3/2021,23:00,48.64,6622,1970
10/3/2021,24:00:00,45.41,6623,1970
10/4/2021,1:00,46.19,6624,1970
10/4/2021,2:00,38.6,6625,1970
10/4/2021,3:00,36.38,6626,1970
10/4/2021,4:00,36.09,6627,1970
10/4/2021,5:00,36.68,6628,1970
10/4/2021,6:00,40.06,6629,1970
10/4/2021,7:00,49.42,6630,1970
10/4/2021,8:00,48.55,6631,1970
10/4/2021,9:00,50.35,6632,1970
10/4/2021,10:00,45.0,6633,1970
10/4/2021,11:00,49.71,6634,1970
10/4/2021,12:00,53.85,6635,1970
10/4/2021,13:00,68.8,6636,1970
10/4/2021,14:00,70.0,6637,1970
10/4/2021,15:00,82.26,6638,1970
10/4/2021,16:00,96.84,6639,1970
10/4/2021,17:00,115.07,6640,1970
10/4/2021,18:00,104.09,6641,1970
10/4/2021,19:00,138.94,6642,1970
10/4/2021,20:00,108.75,6643,1970
10/4/2021,21:00,75.0,6644,1970
10/4/2021,22:00,56.9,6645,1970
10/4/2021,23:00,46.81,6646,1970
10/4/2021,24:00:00,42.58,6647,1970
10/5/2021,1:00,36.89,6648,1970
10/5/2021,2:00,34.78,6649,1970
10/5/2021,3:00,33.61,6650,1970
10/5/2021,4:00,33.85,6651,1970
10/5/2021,5:00,34.78,6652,1970
10/5/2021,6:00,37.97,6653,1970
10/5/2021,7:00,44.3,6654,1970
10/5/2021,8:00,43.69,6655,1970
10/5/2021,9:00,43.89,6656,1970
10/5/2021,10:00,40.77,6657,1970
10/5/2021,11:00,42.64,6658,1970
10/5/2021,12:00,47.06,6659,1970
10/5/2021,13:00,56.18,6660,1970
10/5/2021,14:00,59.5,6661,1970
10/5/2021,15:00,66.13,6662,1970
10/5/2021,16:00,85.02,6663,1970
10/5/2021,17:00,106.13,6664,1970
10/5/2021,18:00,89.72,6665,1970
10/5/2021,19:00,99.5,6666,1970
10/5/2021,20:00,80.46,6667,1970
10/5/2021,21:00,57.3,6668,1970
10/5/2021,22:00,47.93,6669,1970
10/5/2021,23:00,45.17,6670,1970
10/5/2021,24:00:00,40.36,6671,1970
10/6/2021,1:00,36.99,6672,1970
10/6/2021,2:00,34.29,6673,1970
10/6/2021,3:00,33.94,6674,1970
10/6/2021,4:00,34.1,6675,1970
10/6/2021,5:00,34.54,6676,1970
10/6/2021,6:00,38.81,6677,1970
10/6/2021,7:00,39.64,6678,1970
