Region,Resource,Zone,Cluster,AnnualSum
TX,biomass,1,1,4.403731602647064e6
TX,conventional_hydroelectric,1,1,4.279039451067206e6
TX,conventional_steam_coal,1,1,1.989430050500387e6
TX,conventional_steam_coal_5,1,1,8.526038845717197e6
TX,conventional_steam_coal_1,1,2,0.0
TX,conventional_steam_coal_2,1,3,2.2652869642303106e8
TX,conventional_steam_coal_3,1,3,1.5455810520066e7
TX,conventional_steam_coal_4,1,4,1.2552345463171322e7
TX,natural_gas_fired_combined_cycle,1,1,1.1737118720352817e7
TX,natural_gas_fired_combined_cycle_1,1,2,6.778052732672513e7
TX,natural_gas_fired_combined_cycle_2,1,3,2.4180627268364516e8
TX,natural_gas_fired_combined_cycle_3,1,4,3.357125436936564e7
TX,natural_gas_fired_combined_cycle_4,1,5,8.921429411315598e6
TX,natural_gas_fired_combined_cycle_5,1,6,2.3324174701344892e8
TX,natural_gas_fired_combined_cycle_6,1,7,2.3432896733729538e7
TX,natural_gas_fired_combined_cycle_7,1,8,5.360676272957989e7
TX,natural_gas_fired_combined_cycle_8,1,9,4.6347365806945914e8
TX,natural_gas_fired_combined_cycle_9,1,10,1.3081209185452374e7
TX,natural_gas_fired_combined_cycle_10,1,11,7.0928129741394e6
TX,natural_gas_fired_combined_cycle_11,1,12,3.631626514285302e7
TX,natural_gas_fired_combined_cycle_12,1,13,4.228381961943682e7
TX,natural_gas_fired_combined_cycle_13,1,14,3.7817683964929205e8
TX,natural_gas_fired_combined_cycle_14,1,15,3.449844837618446e7
TX,natural_gas_fired_combustion_turbine,1,1,6.642156730992789e6
TX,natural_gas_fired_combustion_turbine_1,1,2,4.1583791856083825e7
TX,natural_gas_fired_combustion_turbine_2,1,3,656100.0
TX,natural_gas_fired_combustion_turbine_3,1,4,1.7473986128334694e6
TX,natural_gas_fired_combustion_turbine_4,1,5,1.5098195038396502e6
TX,natural_gas_fired_combustion_turbine_5,1,6,105949.95180831531
TX,natural_gas_fired_combustion_turbine_6,1,7,4.547487979956422e6
TX,natural_gas_fired_combustion_turbine_7,1,8,1.4117740837379325e7
TX,natural_gas_fired_combustion_turbine_8,1,9,1.6973717957748346e7
TX,natural_gas_fired_combustion_turbine_9,1,10,635862.5198085158
TX,natural_gas_fired_combustion_turbine_10,1,11,7.779084671153435e6
TX,natural_gas_fired_combustion_turbine_11,1,12,31356.90232501376
TX,natural_gas_fired_combustion_turbine_12,1,13,5.816001750387329e6
TX,natural_gas_fired_combustion_turbine_13,1,14,335340.28101832315
TX,natural_gas_fired_combustion_turbine_14,1,15,6.383693811048164e6
TX,natural_gas_fired_combustion_turbine_15,1,16,687105.6218712002
TX,natural_gas_steam_turbine,1,1,1.9157667496922545e7
TX,natural_gas_steam_turbine_1,1,2,6.351429279775853e6
TX,natural_gas_steam_turbine_2,1,3,0.0
TX,natural_gas_steam_turbine_3,1,4,3.418887341543576e7
TX,natural_gas_steam_turbine_4,1,5,2.166632778961197e6
TX,natural_gas_steam_turbine_5,1,6,2.16901709876002e6
TX,natural_gas_steam_turbine_6,1,7,6.851497607342179e7
TX,natural_gas_steam_turbine_7,1,8,1.2037260575968586e7
TX,natural_gas_steam_turbine_8,1,9,1.677564392813519e7
TX,natural_gas_steam_turbine_9,1,10,0.0
TX,natural_gas_steam_turbine_10,1,11,2.7667957313124384e6
TX,natural_gas_steam_turbine_11,1,12,6.701670981444165e6
TX,natural_gas_steam_turbine_12,1,13,662204.554324856
TX,natural_gas_steam_turbine_13,1,14,4.529144855501002e7
TX,natural_gas_steam_turbine_14,1,15,1.084522744238305e7
TX,natural_gas_steam_turbine_15,1,16,4.565717405235751e6
TX,natural_gas_steam_turbine_16,1,17,2.5788084801286976e6
TX,natural_gas_steam_turbine_17,1,18,1.4851419112989733e6
TX,nuclear,1,1,1.2200988092945205e8
TX,nuclear_1,1,2,1.19104883764465e8
TX,onshore_wind_turbine,1,1,6.37182215281496e8
TX,small_hydroelectric,1,1,0.0
TX,solar_photovoltaic,1,1,1.4389013989623627e8
TX,Battery,1,1,1.5602556314908443e7
