Unnamed: 0.1.1.1.1.1,Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Year
6335,9000.0,1.0,1.0,1e+16,1.0,1152.0,1.0,6336,42931.65245,1970
6336,,,,,,,,6337,40429.16664,1970
6337,,,,,,,,6338,38577.75061,1970
6338,,,,,,,,6339,37405.25641,1970
6339,,,,,,,,6340,37011.69285,1970
6340,,,,,,,,6341,37777.35988,1970
6341,,,,,,,,6342,39623.89031,1970
6342,,,,,,,,6343,40161.26083,1970
6343,,,,,,,,6344,40614.15143,1970
6344,,,,,,,,6345,41973.13181,1970
6345,,,,,,,,6346,43403.31637,1970
6346,,,,,,,,6347,45079.86749,1970
6347,,,,,,,,6348,46728.37811,1970
6348,,,,,,,,6349,48613.78148,1970
6349,,,,,,,,6350,50403.56526,1970
6350,,,,,,,,6351,51964.33778,1970
6351,,,,,,,,6352,53339.16398,1970
6352,,,,,,,,6353,53620.62434,1970
6353,,,,,,,,6354,52077.61822,1970
6354,,,,,,,,6355,50020.99894,1970
6355,,,,,,,,6356,48371.5148,1970
6356,,,,,,,,6357,45392.44654,1970
6357,,,,,,,,6358,41738.75574,1970
6358,,,,,,,,6359,38252.51064,1970
6359,,,,,,,,6360,35766.8128,1970
6360,,,,,,,,6361,34100.83707,1970
6361,,,,,,,,6362,33042.81569,1970
6362,,,,,,,,6363,32536.48844,1970
6363,,,,,,,,6364,32839.22152,1970
6364,,,,,,,,6365,34103.22094,1970
6365,,,,,,,,6366,36530.44736,1970
6366,,,,,,,,6367,37427.99226,1970
6367,,,,,,,,6368,38367.01714,1970
6368,,,,,,,,6369,39980.98033,1970
6369,,,,,,,,6370,41849.94564,1970
6370,,,,,,,,6371,43875.94905,1970
6371,,,,,,,,6372,45888.58197,1970
6372,,,,,,,,6373,48162.602,1970
6373,,,,,,,,6374,50566.39148,1970
6374,,,,,,,,6375,52790.56555,1970
6375,,,,,,,,6376,54425.30879,1970
