Resource,Zone,AnnualSum,Capacity,CapacityFactor
biomass,1,68360.75403650466,69.0,0.8600135119326774
conventional_hydroelectric,1,66327.82464360002,468.0,0.12302614673032412
conventional_steam_coal,1,34611.403280855986,3361.0,0.008939190985873497
conventional_steam_coal_5,1,150452.1686766275,3361.0,0.038857733075015784
conventional_steam_coal_1,1,0.0,698.0,0.0
conventional_steam_coal_2,1,3.649536e6,3520.0,0.8999999999999999
conventional_steam_coal_3,1,277814.1205024039,2815.0,0.08566894874383385
conventional_steam_coal_4,1,126421.12206604044,652.0,0.16831373826532736
natural_gas_fired_combined_cycle,1,104292.03372099587,780.0,0.11606574265602282
natural_gas_fired_combined_cycle_1,1,746728.4975850461,2121.0,0.30561141952869053
natural_gas_fired_combined_cycle_2,1,3.7113130019154763e6,4644.0,0.6937178875362393
natural_gas_fired_combined_cycle_3,1,435045.514787304,746.0,0.5062247667971124
natural_gas_fired_combined_cycle_4,1,39117.94812911411,704.0,0.04823373891393687
natural_gas_fired_combined_cycle_5,1,3.48021164296504e6,4029.0,0.7498180817038795
natural_gas_fired_combined_cycle_6,1,166655.98025449552,1740.0,0.08314175260142058
natural_gas_fired_combined_cycle_7,1,755488.2379754393,1031.0,0.6360870631730919
natural_gas_fired_combined_cycle_8,1,7.240010342153024e6,8056.0,0.7801304865672307
natural_gas_fired_combined_cycle_9,1,177015.8002470999,532.0,0.2888337383939991
natural_gas_fired_combined_cycle_10,1,75152.61895872394,237.0,0.2752601198382704
natural_gas_fired_combined_cycle_11,1,392371.77371522237,1188.0,0.28670075590630145
natural_gas_fired_combined_cycle_12,1,526711.8148448119,1026.0,0.44562876905729837
natural_gas_fired_combined_cycle_13,1,5.563677192532137e6,7481.0,0.6455795877951154
natural_gas_fired_combined_cycle_14,1,432034.23537045106,824.0,0.45513315315960745
natural_gas_fired_combustion_turbine,1,16606.409709838972,741.0,0.01945382753907887
natural_gas_fired_combustion_turbine_1,1,521590.60574421776,1073.0,0.4219660978954853
natural_gas_fired_combustion_turbine_2,1,72.9,81.0,0.00078125
natural_gas_fired_combustion_turbine_3,1,4119.721121106293,180.0,0.019867482258421554
natural_gas_fired_combustion_turbine_4,1,10436.685290427766,91.0,0.09955629283451395
natural_gas_fired_combustion_turbine_5,1,17.706000000000003,13.0,0.001182291666666667
natural_gas_fired_combustion_turbine_6,1,22787.050800564986,354.0,0.05587690972360764
natural_gas_fired_combustion_turbine_7,1,145480.11987727985,557.0,0.22672320697012743
natural_gas_fired_combustion_turbine_8,1,55284.13455230097,1539.0,0.03118239124899656
natural_gas_fired_combustion_turbine_9,1,8650.178069808628,846.0,0.0088756916430759
natural_gas_fired_combustion_turbine_10,1,71691.89864781218,336.0,0.185215925326069
natural_gas_fired_combustion_turbine_11,1,280.8,208.0,0.0011718750000000002
natural_gas_fired_combustion_turbine_12,1,17998.394150934557,547.0,0.028562351067271223
natural_gas_fired_combustion_turbine_13,1,64.9132288289874,41.0,0.0013743485100988187
natural_gas_fired_combustion_turbine_14,1,65900.84279999994,276.0,0.20726664024758434
natural_gas_fired_combustion_turbine_15,1,151.20000000000002,84.0,0.0015625000000000003
natural_gas_steam_turbine,1,180883.96387100167,825.0,0.1903240360595556
natural_gas_steam_turbine_1,1,48976.471475951024,521.0,0.08160134003110842
natural_gas_steam_turbine_2,1,0.0,18.0,0.0
natural_gas_steam_turbine_3,1,346453.1237395959,1326.0,0.22680283469210596
natural_gas_steam_turbine_4,1,11821.529937829451,167.0,0.06144757327963579
natural_gas_steam_turbine_5,1,10833.455069919983,171.0,0.054994390990090875
natural_gas_steam_turbine_6,1,753065.3509852543,2160.0,0.30264007482367794
natural_gas_steam_turbine_7,1,70446.66488778104,1265.0,0.04834120065312159
natural_gas_steam_turbine_8,1,161743.86737258418,844.0,0.16635386569883015
natural_gas_steam_turbine_9,1,0.0,421.0,0.0
natural_gas_steam_turbine_10,1,19670.205919187985,248.0,0.06885012712529397
natural_gas_steam_turbine_11,1,48739.76961483694,392.0,0.1079306831394313
natural_gas_steam_turbine_12,1,2273.592000000001,61.0,0.032354166666666684
natural_gas_steam_turbine_13,1,493025.59629744175,1461.0,0.29293196981319974
natural_gas_steam_turbine_14,1,107730.91617140018,430.0,0.21748004718063668
natural_gas_steam_turbine_15,1,47160.650037667554,169.0,0.24223706667934108
natural_gas_steam_turbine_16,1,16504.832713958967,169.0,0.08477580905838555
natural_gas_steam_turbine_17,1,6729.446968576458,122.0,0.047881424810567924
nuclear,1,1.899979199999992e6,2520.0,0.654479166666664
nuclear_1,1,1.8547416000000155e6,2460.0,0.6544791666666722
onshore_wind_turbine,1,1.2529468010064855e7,34182.0,0.3181871837309815
small_hydroelectric,1,0.0,16.0,0.0
solar_photovoltaic,1,2.1973012690766817e6,9323.0,0.20458860601215126
Battery,1,121035.13531370256,726.0,0.0
