Unnamed: 0,Time_Index,NG,None,coal,uranium,Year
0,0,0.05306,0,0.095487528,0.0,1970
7056,7056,4.941,0,8.324334053,0.705536,1970
7057,7057,4.941,0,8.324334053,0.705536,1970
7058,7058,4.941,0,8.324334053,0.705536,1970
7059,7059,4.941,0,8.324334053,0.705536,1970
7060,7060,4.941,0,8.324334053,0.705536,1970
7061,7061,4.941,0,8.324334053,0.705536,1970
7062,7062,4.941,0,8.324334053,0.705536,1970
7063,7063,4.941,0,8.324334053,0.705536,1970
7064,7064,4.941,0,8.324334053,0.705536,1970
7065,7065,4.941,0,8.324334053,0.705536,1970
7066,7066,4.941,0,8.324334053,0.705536,1970
7067,7067,4.941,0,8.324334053,0.705536,1970
7068,7068,4.941,0,8.324334053,0.705536,1970
7069,7069,4.941,0,8.324334053,0.705536,1970
7070,7070,4.941,0,8.324334053,0.705536,1970
7071,7071,4.941,0,8.324334053,0.705536,1970
7072,7072,4.941,0,8.324334053,0.705536,1970
7073,7073,4.941,0,8.324334053,0.705536,1970
7074,7074,4.941,0,8.324334053,0.705536,1970
7075,7075,4.941,0,8.324334053,0.705536,1970
7076,7076,4.941,0,8.324334053,0.705536,1970
7077,7077,4.941,0,8.324334053,0.705536,1970
7078,7078,4.941,0,8.324334053,0.705536,1970
7079,7079,4.941,0,8.324334053,0.705536,1970
7080,7080,4.941,0,8.324334053,0.705536,1970
7081,7081,4.941,0,8.324334053,0.705536,1970
7082,7082,4.941,0,8.324334053,0.705536,1970
7083,7083,4.941,0,8.324334053,0.705536,1970
7084,7084,4.941,0,8.324334053,0.705536,1970
7085,7085,4.941,0,8.324334053,0.705536,1970
7086,7086,4.941,0,8.324334053,0.705536,1970
7087,7087,4.941,0,8.324334053,0.705536,1970
7088,7088,4.941,0,8.324334053,0.705536,1970
7089,7089,4.941,0,8.324334053,0.705536,1970
7090,7090,4.941,0,8.324334053,0.705536,1970
7091,7091,4.941,0,8.324334053,0.705536,1970
7092,7092,4.941,0,8.324334053,0.705536,1970
7093,7093,4.941,0,8.324334053,0.705536,1970
7094,7094,4.941,0,8.324334053,0.705536,1970
7095,7095,4.941,0,8.324334053,0.705536,1970
7096,7096,4.941,0,8.324334053,0.705536,1970
7097,7097,4.941,0,8.324334053,0.705536,1970
7098,7098,4.941,0,8.324334053,0.705536,1970
7099,7099,4.941,0,8.324334053,0.705536,1970
7100,7100,4.941,0,8.324334053,0.705536,1970
7101,7101,4.941,0,8.324334053,0.705536,1970
7102,7102,4.941,0,8.324334053,0.705536,1970
7103,7103,4.941,0,8.324334053,0.705536,1970
7104,7104,4.941,0,8.324334053,0.705536,1970
7105,7105,4.941,0,8.324334053,0.705536,1970
7106,7106,4.941,0,8.324334053,0.705536,1970
7107,7107,4.941,0,8.324334053,0.705536,1970
7108,7108,4.941,0,8.324334053,0.705536,1970
7109,7109,4.941,0,8.324334053,0.705536,1970
7110,7110,4.941,0,8.324334053,0.705536,1970
7111,7111,4.941,0,8.324334053,0.705536,1970
7112,7112,4.941,0,8.324334053,0.705536,1970
7113,7113,4.941,0,8.324334053,0.705536,1970
7114,7114,4.941,0,8.324334053,0.705536,1970
7115,7115,4.941,0,8.324334053,0.705536,1970
7116,7116,4.941,0,8.324334053,0.705536,1970
7117,7117,4.941,0,8.324334053,0.705536,1970
7118,7118,4.941,0,8.324334053,0.705536,1970
7119,7119,4.941,0,8.324334053,0.705536,1970
7120,7120,4.941,0,8.324334053,0.705536,1970
7121,7121,4.941,0,8.324334053,0.705536,1970
