Unnamed: 0.1.1.1.1.1,Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Year
7055,9000.0,1.0,1.0,1e+16,1.0,1152.0,1.0,7056,37974.62446,1970
7056,,,,,,,,7057,36141.93885,1970
7057,,,,,,,,7058,34940.28775,1970
7058,,,,,,,,7059,34347.54872,1970
7059,,,,,,,,7060,34446.697,1970
7060,,,,,,,,7061,35679.25004,1970
7061,,,,,,,,7062,38276.87706,1970
7062,,,,,,,,7063,39649.82559,1970
7063,,,,,,,,7064,40282.7336,1970
7064,,,,,,,,7065,42013.86639,1970
7065,,,,,,,,7066,44281.83507,1970
7066,,,,,,,,7067,46727.23197,1970
7067,,,,,,,,7068,49109.1941,1970
7068,,,,,,,,7069,51649.98865,1970
7069,,,,,,,,7070,53688.06551,1970
7070,,,,,,,,7071,55421.90838,1970
7071,,,,,,,,7072,56116.17328,1970
7072,,,,,,,,7073,55281.42061,1970
7073,,,,,,,,7074,52589.17898,1970
7074,,,,,,,,7075,50979.31921,1970
7075,,,,,,,,7076,49194.15272,1970
7076,,,,,,,,7077,47389.00151,1970
7077,,,,,,,,7078,45211.71466,1970
7078,,,,,,,,7079,42767.64948,1970
7079,,,,,,,,7080,40452.33739,1970
7080,,,,,,,,7081,38710.017,1970
7081,,,,,,,,7082,37516.30032,1970
7082,,,,,,,,7083,36688.78744,1970
7083,,,,,,,,7084,36226.46557,1970
7084,,,,,,,,7085,36399.16772,1970
7085,,,,,,,,7086,37176.2546,1970
7086,,,,,,,,7087,38271.68932,1970
7087,,,,,,,,7088,39852.08774,1970
7088,,,,,,,,7089,42478.7733,1970
7089,,,,,,,,7090,45065.81421,1970
7090,,,,,,,,7091,47356.17185,1970
7091,,,,,,,,7092,49504.397,1970
7092,,,,,,,,7093,51288.66962,1970
7093,,,,,,,,7094,52835.4441,1970
7094,,,,,,,,7095,53895.63302,1970
7095,,,,,,,,7096,53937.956,1970
7096,,,,,,,,7097,53085.48925,1970
7097,,,,,,,,7098,51186.07884,1970
7098,,,,,,,,7099,50038.65406,1970
7099,,,,,,,,7100,48512.35188,1970
7100,,,,,,,,7101,46819.17267,1970
7101,,,,,,,,7102,44779.79189,1970
7102,,,,,,,,7103,42627.65461,1970
7103,,,,,,,,7104,40354.68663,1970
7104,,,,,,,,7105,38621.71551,1970
7105,,,,,,,,7106,37282.30795,1970
7106,,,,,,,,7107,36391.53909,1970
7107,,,,,,,,7108,35966.08536,1970
7108,,,,,,,,7109,35860.9474,1970
7109,,,,,,,,7110,36188.33792,1970
7110,,,,,,,,7111,36998.82053,1970
7111,,,,,,,,7112,38442.27246,1970
7112,,,,,,,,7113,41135.32598,1970
7113,,,,,,,,7114,43728.72547,1970
7114,,,,,,,,7115,46388.0745,1970
7115,,,,,,,,7116,48875.60307,1970
7116,,,,,,,,7117,51165.89288,1970
7117,,,,,,,,7118,53211.24562,1970
7118,,,,,,,,7119,54925.26344,1970
7119,,,,,,,,7120,55979.27496,1970
7120,,,,,,,,7121,55777.65223,1970
7121,,,,,,,,7122,53894.32502,1970
7122,,,,,,,,7123,53353.89763,1970
7123,,,,,,,,7124,51798.95528,1970
7124,,,,,,,,7125,49513.70766,1970
7125,,,,,,,,7126,46439.44034,1970
7126,,,,,,,,7127,43069.52433,1970
7127,,,,,,,,7128,40328.93583,1970
7128,,,,,,,,7129,38457.48929,1970
7129,,,,,,,,7130,37286.92689,1970
7130,,,,,,,,7131,36639.18248,1970
7131,,,,,,,,7132,36819.03576,1970
7132,,,,,,,,7133,38283.62587,1970
7133,,,,,,,,7134,40903.96513,1970
7134,,,,,,,,7135,42309.23799,1970
7135,,,,,,,,7136,42691.18407,1970
7136,,,,,,,,7137,44217.68663,1970
7137,,,,,,,,7138,46323.4014,1970
7138,,,,,,,,7139,48948.35472,1970
7139,,,,,,,,7140,51923.52644,1970
7140,,,,,,,,7141,55335.62923,1970
7141,,,,,,,,7142,58319.47966,1970
7142,,,,,,,,7143,60412.03816,1970
7143,,,,,,,,7144,61561.07487,1970
7144,,,,,,,,7145,60819.53091,1970
7145,,,,,,,,7146,58104.52717,1970
7146,,,,,,,,7147,56541.35616,1970
7147,,,,,,,,7148,54380.26614,1970
7148,,,,,,,,7149,51668.04738,1970
7149,,,,,,,,7150,48125.11426,1970
7150,,,,,,,,7151,44690.8163,1970
7151,,,,,,,,7152,41865.94615,1970
7152,,,,,,,,7153,40084.01075,1970
7153,,,,,,,,7154,39041.46878,1970
7154,,,,,,,,7155,38602.78572,1970
7155,,,,,,,,7156,38968.94606,1970
7156,,,,,,,,7157,40486.72101,1970
7157,,,,,,,,7158,43253.10737,1970
7158,,,,,,,,7159,44793.25659,1970
7159,,,,,,,,7160,45214.7833,1970
7160,,,,,,,,7161,46578.08744,1970
7161,,,,,,,,7162,48422.8358,1970
7162,,,,,,,,7163,50374.34811,1970
7163,,,,,,,,7164,52405.29103,1970
7164,,,,,,,,7165,54326.37018,1970
7165,,,,,,,,7166,55678.2985,1970
7166,,,,,,,,7167,56484.099,1970
7167,,,,,,,,7168,56925.3036,1970
7168,,,,,,,,7169,56224.89346,1970
7169,,,,,,,,7170,54931.62655,1970
7170,,,,,,,,7171,54807.35331,1970
7171,,,,,,,,7172,53707.4058,1970
7172,,,,,,,,7173,51815.79531,1970
7173,,,,,,,,7174,48954.24625,1970
7174,,,,,,,,7175,46073.46666,1970
7175,,,,,,,,7176,43428.86639,1970
7176,,,,,,,,7177,41713.15607,1970
7177,,,,,,,,7178,40687.89468,1970
7178,,,,,,,,7179,39734.85791,1970
7179,,,,,,,,7180,39400.81176,1970
7180,,,,,,,,7181,40073.69054,1970
7181,,,,,,,,7182,41984.87978,1970
7182,,,,,,,,7183,43103.97102,1970
7183,,,,,,,,7184,42971.67377,1970
7184,,,,,,,,7185,42854.98121,1970
7185,,,,,,,,7186,42799.68186,1970
7186,,,,,,,,7187,43178.31518,1970
7187,,,,,,,,7188,43975.40771,1970
7188,,,,,,,,7189,44936.30374,1970
7189,,,,,,,,7190,45701.73006,1970
7190,,,,,,,,7191,46369.57124,1970
7191,,,,,,,,7192,46466.33369,1970
7192,,,,,,,,7193,45809.26679,1970
7193,,,,,,,,7194,44596.35029,1970
7194,,,,,,,,7195,44209.69122,1970
7195,,,,,,,,7196,43001.0636,1970
7196,,,,,,,,7197,41122.86596,1970
7197,,,,,,,,7198,38532.32679,1970
7198,,,,,,,,7199,35814.90124,1970
7199,,,,,,,,7200,33753.02376,1970
