Resource,Zone,AnnualSum,Capacity,CapacityFactor
biomass,1,66374.41152745385,69.0,0.8350242996106815
conventional_hydroelectric,1,34383.01003279994,468.0,0.06377427964891963
conventional_steam_coal,1,168663.7232270794,3361.0,0.0435612859172719
conventional_steam_coal_5,1,0.0,3361.0,0.0
conventional_steam_coal_1,1,0.0,698.0,0.0
conventional_steam_coal_2,1,3.649536e6,3520.0,0.8999999999999999
conventional_steam_coal_3,1,324469.796487585,2815.0,0.1000560601957473
conventional_steam_coal_4,1,195886.93284223566,652.0,0.2607986814638661
natural_gas_fired_combined_cycle,1,24728.245867818005,780.0,0.027519860518850164
natural_gas_fired_combined_cycle_1,1,197101.63999161817,2121.0,0.08066721999237869
natural_gas_fired_combined_cycle_2,1,3.5846391626317133e6,4644.0,0.6700400387132802
natural_gas_fired_combined_cycle_3,1,254064.90588215395,746.0,0.29563331504383794
natural_gas_fired_combined_cycle_4,1,6728.063883913885,704.0,0.008295927887164966
natural_gas_fired_combined_cycle_5,1,2.902000096615352e6,4029.0,0.6252413269023865
natural_gas_fired_combined_cycle_6,1,31693.873225811985,1740.0,0.015811518810769868
natural_gas_fired_combined_cycle_7,1,506799.4512908128,1031.0,0.42670230770659284
natural_gas_fired_combined_cycle_8,1,7.082755345762477e6,8056.0,0.7631858399366842
natural_gas_fired_combined_cycle_9,1,116377.93672809226,532.0,0.18989194458818312
natural_gas_fired_combined_cycle_10,1,13034.540838037005,237.0,0.04774137379145058
natural_gas_fired_combined_cycle_11,1,69883.66063541854,1188.0,0.05106304701778969
natural_gas_fired_combined_cycle_12,1,289561.3912960326,1026.0,0.24498574501843778
natural_gas_fired_combined_cycle_13,1,4.671985526311765e6,7481.0,0.5421124170017477
natural_gas_fired_combined_cycle_14,1,233775.01493397003,824.0,0.2462739083295093
natural_gas_fired_combustion_turbine,1,788.1588000000002,741.0,0.0009233004385964914
natural_gas_fired_combustion_turbine_1,1,216235.69340334128,1073.0,0.17493438487248666
natural_gas_fired_combustion_turbine_2,1,48.6,81.0,0.0005208333333333333
natural_gas_fired_combustion_turbine_3,1,1818.117071864991,180.0,0.008767925693793359
natural_gas_fired_combustion_turbine_4,1,1674.2879999999998,91.0,0.015971153846153843
natural_gas_fired_combustion_turbine_5,1,11.700000000000001,13.0,0.0007812500000000002
natural_gas_fired_combustion_turbine_6,1,4865.544921351997,354.0,0.011930969773403162
natural_gas_fired_combustion_turbine_7,1,14896.147336274997,557.0,0.023214871546907722
natural_gas_fired_combustion_turbine_8,1,11143.8135,1539.0,0.006285542052469136
natural_gas_fired_combustion_turbine_9,1,0.0,846.0,0.0
natural_gas_fired_combustion_turbine_10,1,7541.184,336.0,0.01948263888888889
natural_gas_fired_combustion_turbine_11,1,206.79619758798708,208.0,0.0008630316739616181
natural_gas_fired_combustion_turbine_12,1,2481.924297,547.0,0.0039386621105652045
natural_gas_fired_combustion_turbine_13,1,25.994,41.0,0.0005503472222222223
natural_gas_fired_combustion_turbine_14,1,7312.342050000001,276.0,0.022998257755887687
natural_gas_fired_combustion_turbine_15,1,374.15381410998873,84.0,0.003866503535362814
natural_gas_steam_turbine,1,29308.377769768966,825.0,0.030837939572568356
natural_gas_steam_turbine_1,1,5251.601124,521.0,0.008749868582053741
natural_gas_steam_turbine_2,1,0.0,18.0,0.0
natural_gas_steam_turbine_3,1,35497.02000000001,1326.0,0.023237847222222233
natural_gas_steam_turbine_4,1,837.2821805648289,167.0,0.004352140409622572
natural_gas_steam_turbine_5,1,1298.4030000000002,171.0,0.006591145833333335
natural_gas_steam_turbine_6,1,305957.4283232515,2160.0,0.12295742843494868
natural_gas_steam_turbine_7,1,10123.381335999999,1265.0,0.006946764750768554
natural_gas_steam_turbine_8,1,23159.313375005466,844.0,0.023819396490551634
natural_gas_steam_turbine_9,1,0.0,421.0,0.0
natural_gas_steam_turbine_10,1,1913.2450479999998,248.0,0.006696786262320788
natural_gas_steam_turbine_11,1,4166.1759999999995,392.0,0.009225694444444443
natural_gas_steam_turbine_12,1,499.46799999999996,61.0,0.007107638888888888
natural_gas_steam_turbine_13,1,283792.43142287596,1461.0,0.16861574039784155
natural_gas_steam_turbine_14,1,7818.070333634004,430.0,0.015782603225197846
natural_gas_steam_turbine_15,1,7539.620951106995,169.0,0.038726685523026556
natural_gas_steam_turbine_16,1,1535.196,169.0,0.007885416666666666
natural_gas_steam_turbine_17,1,913.902,122.0,0.006502604166666667
nuclear,1,2.2923935999999996e6,2520.0,0.7896527777777776
nuclear_1,1,2.237812800000001e6,2460.0,0.7896527777777782
onshore_wind_turbine,1,1.3859793323738819e7,34182.0,0.3519709377310655
small_hydroelectric,1,0.0,16.0,0.0
solar_photovoltaic,1,1.9210762337392217e6,9323.0,0.1788695588697924
Battery,1,112365.59450994822,726.0,0.0
