BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,3.8575677107976414e7,92310.1864123103,-109095.44784432244,0.0,0.0,0.0,0.0,0.0,0.0,-3.857519385786998e7
t1,35713.255900799995,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35732.06532
t2,34167.56246079999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34186.37188
t3,33229.90298079999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33248.7124
t4,32869.113790799995,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32887.92321
t5,33026.0238308,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33044.83325
t6,33868.57034447006,0.0,-0.37876367007060174,0.0,0.0,0.0,0.0,0.0,0.0,-33887.001
t7,35616.8426208,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35635.65204
t8,37715.378832712,541.5414280879995,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38275.72968
t9,39401.6572108,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40146.46663
t10,40073.453800799994,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40818.26322
t11,41241.725853167896,0.0,-492.6743623678952,0.0,0.0,0.0,0.0,0.0,0.0,-40767.86091
t12,41285.06385913,0.0,-670.4475183300074,0.0,0.0,0.0,0.0,0.0,0.0,-40633.42576
t13,41166.1219008,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-40458.93132
t14,40720.89169429999,0.0,-466.54118350000226,0.0,0.0,0.0,0.0,0.0,0.0,-40273.15993
t15,40404.68441079999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40423.49383
t16,40425.900658496,98.19450230399707,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40542.90458
