Resource,biomass,conventional_hydroelectric,conventional_steam_coal,conventional_steam_coal_5,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,conventional_steam_coal_4,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,small_hydroelectric,solar_photovoltaic,Battery,Total,Date
t1,61.7364,7.252388,0.0,0.0,0.0,3168.0,1032.3030111204152,388.164,0.0,0.0,4179.600007463577,0.0,0.0,2767.1172,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,5125.165776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,7182.246229416,0.0,0.0,0.0,35510.82401199999,2021-01-22 00:00:00
t2,61.7364,7.252388,0.0,0.0,0.0,3168.0,768.4950000000001,72.0876,0.0,0.0,4179.600007463577,0.0,0.0,3385.708105948416,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,2717.643636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,8152.175724588,0.0,0.0,0.0,34111.93786199999,2021-01-22 01:00:00
t3,61.7364,7.252388,0.0,0.0,0.0,3168.0,768.4950000000001,72.0876,0.0,0.0,4078.927871948538,0.0,0.0,1885.572,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,2717.643636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,8838.529433568,0.0,0.0,0.0,33197.48332951654,2021-01-22 02:00:00
t4,61.7364,7.252388,0.0,0.0,0.0,3168.0,768.4950000000001,72.0876,0.0,0.0,4179.600007463577,0.0,0.0,3270.518436797204,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,2717.643636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,6955.762074174,0.0,0.0,0.0,32800.334542434786,2021-01-22 03:00:00
t5,61.7364,7.252388,0.0,0.0,0.0,3168.0,768.4950000000001,72.0876,0.0,0.0,4179.600007463577,0.0,0.0,3626.1,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,2922.0524459724184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,6431.586060564,0.0,0.0,0.0,32836.14890199999,2021-01-22 04:00:00
t6,61.7364,7.252388,0.0,0.0,0.0,3168.0,768.4950000000001,72.0876,0.0,0.0,4179.600007463577,0.0,0.0,3626.1,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,4148.818754358415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,5889.216062178,0.0,0.0,0.0,33520.54521199999,2021-01-22 05:00:00
t7,61.7364,7.252388,0.0,0.0,0.0,3168.0,768.4950000000001,182.9916,0.0,0.0,4179.600007463577,0.0,0.0,3626.1,0.0,302.5985,6619.239,0.0,0.0,0.0,0.0,5288.569939240964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,6120.405574812,0.0,0.0,0.0,35304.98840951654,2021-01-22 06:00:00
t8,61.7364,7.252388,0.0,0.0,0.0,3168.0,862.6861760953998,499.068,0.0,0.0,4179.600007463577,0.0,0.0,3626.1,0.0,927.9,6619.239,170.30400000000003,0.0,0.0,0.0,6732.900007651023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,6403.667672789999,0.0,0.0,0.0,38238.453652,2021-01-22 07:00:00
t9,61.7364,7.252388,0.0,0.0,0.0,3168.0,1900.125,499.068,0.0,0.0,4179.600007463577,442.8553378234046,0.0,3626.1,0.0,927.9,6619.239,239.49000000000004,0.0,0.0,0.0,6732.900007651023,440.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,6227.373871062,0.0,0.0,0.0,40051.65601200001,2021-01-22 08:00:00
t10,61.7364,7.252388,0.0,0.0,0.0,3168.0,1900.125,499.068,0.0,0.0,4179.600007463577,671.1309000000001,0.0,3626.1,0.0,927.9,6619.239,239.49000000000004,0.0,0.0,0.0,6732.900007651023,450.0925295234047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,6392.688516936,0.0,43.844782426,0.0,40499.16753200001,2021-01-22 09:00:00
