Resource,biomass,conventional_hydroelectric,conventional_steam_coal,conventional_steam_coal_5,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,conventional_steam_coal_4,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,small_hydroelectric,solar_photovoltaic,Battery,Total,Date
t1,61.7364,60.3117944,0.0,0.0,0.0,3168.0,0.0,72.0876,0.0,0.0,1859.6904834419984,0.0,0.0,1885.572,0.0,605.197,6619.239,167.90910000000002,0.0,0.0,0.0,3019.60404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,0.0,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,17782.182907758,0.0,0.0,0.0,40746.7373256,2021-05-22 00:00:00
t2,61.7364,61.060428,0.0,0.0,0.0,3168.0,0.0,72.0876,0.0,0.0,1819.122318,0.0,0.0,1885.572,0.0,605.197,5834.216373011997,167.90910000000002,0.0,0.0,0.0,3019.60404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,0.0,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,17471.255402987998,0.0,0.0,0.0,39610.967662,2021-05-22 01:00:00
t3,61.7364,61.060428,0.0,0.0,0.0,3168.0,0.0,72.0876,0.0,0.0,1819.122318,0.0,0.0,1885.572,0.0,605.197,5077.549146455993,167.90910000000002,0.0,0.0,0.0,3019.60404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,0.0,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,16778.285699544,0.0,0.0,0.0,38161.330732,2021-05-22 02:00:00
t4,61.7364,61.060428,0.0,0.0,0.0,3168.0,0.0,72.0876,0.0,0.0,1819.122318,0.0,0.0,1885.572,0.0,605.197,5195.214518797995,167.90910000000002,0.0,0.0,0.0,3019.60404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,0.0,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,15722.407787202,0.0,0.0,0.0,37223.118192,2021-05-22 03:00:00
t5,61.7364,61.060428,0.0,0.0,0.0,3168.0,0.0,72.0876,0.0,0.0,1819.122318,0.0,0.0,1885.572,0.0,605.197,5339.801606457993,167.90910000000002,0.0,0.0,0.0,3019.60404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,0.0,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,15155.084689542,0.0,0.0,0.0,36800.382182,2021-05-22 04:00:00
t6,61.7364,61.060428,0.0,0.0,0.0,3168.0,0.0,72.0876,0.0,0.0,2196.387884978461,0.0,0.0,1885.572,0.0,605.197,6619.239,167.90910000000002,0.0,0.0,0.0,3019.60404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,0.0,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,13058.954995248,0.0,0.0,0.0,36360.95544822647,2021-05-22 05:00:00
t7,61.7364,61.060428,0.0,0.0,0.0,3168.0,0.0,72.0876,0.0,0.0,3582.5166,0.0,0.0,2249.6240831379964,0.0,605.197,6619.239,167.90910000000002,0.0,0.0,0.0,3019.60404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,0.0,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,11527.597190862,0.0,0.0,0.0,36579.778442,2021-05-22 06:00:00
t8,61.7364,61.060428,0.0,0.0,0.0,3168.0,0.0,72.0876,0.0,0.0,3582.5166,0.0,0.0,3444.5034789079477,0.0,605.197,6619.239,167.90910000000002,0.0,0.0,0.0,3019.60404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,0.0,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,11006.514614070002,0.0,15.750490629,0.0,37269.32575160694,2021-05-22 07:00:00
t9,61.7364,61.060428,0.0,0.0,0.0,3168.0,0.0,72.0876,0.0,0.0,3582.5166,0.0,0.0,3626.1,0.0,605.197,6619.239,167.90910000000002,0.0,0.0,0.0,5291.297053416785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,0.0,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,9875.376312318,0.0,620.6964386999999,0.0,39196.42293243478,2021-05-22 08:00:00
t10,61.7364,61.060428,0.0,0.0,0.0,3168.0,0.0,285.38744408999446,0.0,0.0,3582.5166,0.0,0.0,3626.1,0.0,927.9,6619.239,239.49000000000004,0.0,0.0,0.0,6120.819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,0.0,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,10193.638488102,0.0,1085.865621808,0.0,41416.95998199999,2021-05-22 09:00:00
t11,61.7364,61.060428,0.0,0.0,0.0,3168.0,0.0,446.1225756939948,0.0,0.0,3582.5166,0.0,0.0,3626.1,0.0,927.9,6619.239,239.49000000000004,0.0,0.0,0.0,6120.819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,0.0,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,11460.947110524,0.0,1612.129747782,0.0,43371.26786199999,2021-05-22 10:00:00
t12,61.7364,61.060428,0.0,0.0,0.0,3168.0,0.0,499.068,0.0,0.0,3582.5166,0.0,0.0,3626.1,0.0,927.9,6619.239,239.49000000000004,0.0,0.0,0.0,6120.819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,804.836011593985,0.0,0.0,0.0,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,11025.648603846,0.0,2360.737121841,534.415806719014,44767.89397199999,2021-05-22 11:00:00
t13,61.7364,61.060428,0.0,0.0,0.0,3168.0,0.0,499.068,0.0,0.0,3582.5166,0.0,0.0,3626.1,0.0,927.9,6619.239,239.49000000000004,0.0,0.0,0.0,6120.819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1944.0,0.0,0.0,0.0,0.0,0.0,0.0,595.5869101269964,0.0,0.0,0.0,0.0,2520.0,2460.0,9371.833203366,0.0,2944.988480507,726.0,45468.338022,2021-05-22 12:00:00
t14,61.7364,61.060428,0.0,0.0,0.0,3168.0,0.0,499.068,0.0,0.0,3582.5166,0.0,0.0,3626.1,0.0,927.9,6619.239,239.49000000000004,0.0,0.0,0.0,6120.819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1944.0,0.0,0.0,0.0,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,8852.345114328,0.0,4335.975698697,700.9336709750005,45875.510912000005,2021-05-22 13:00:00
t15,61.7364,61.060428,0.0,0.0,0.0,3168.0,0.0,499.068,0.0,0.0,3582.5166,0.0,0.0,3626.1,0.0,927.9,6619.239,239.49000000000004,0.0,0.0,0.0,6120.819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1944.0,0.0,0.0,0.0,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,9159.44580747,0.0,4656.212115599,319.98372093099897,46121.898072,2021-05-22 14:00:00
t16,61.7364,61.060428,0.0,0.0,0.0,3168.0,0.0,499.068,0.0,0.0,3582.5166,0.0,0.0,3626.1,0.0,927.9,6619.239,239.49000000000004,0.0,0.0,0.0,6120.819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.9056817969986,0.0,0.0,0.0,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,9919.065591252,0.0,4418.047764483,390.0935364679972,46444.369002,2021-05-22 15:00:00
t17,61.7364,61.060428,0.0,0.0,0.0,3168.0,0.0,388.164,0.0,0.0,3582.5166,0.0,0.0,3626.1,0.0,927.9,6619.239,170.30400000000003,0.0,0.0,0.0,6120.819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.7056817969988,0.0,0.0,0.0,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,12009.773986164,0.0,4314.433546039,0.0,46630.079642,2021-05-22 16:00:00
t18,61.7364,61.060428,0.0,0.0,0.0,3168.0,0.0,72.0876,0.0,0.0,3582.5166,0.0,0.0,3626.1,0.0,302.5985,6619.239,0.0,0.0,0.0,0.0,3860.697086842998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,0.0,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,15363.007506054,0.0,4319.801431103,0.0,46482.051552,2021-05-22 17:00:00
t19,61.7364,61.060428,0.0,0.0,0.0,3168.0,0.0,72.0876,0.0,0.0,3582.5166,0.0,0.0,2769.949052857992,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,3019.60404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,0.0,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,17559.271796976,0.0,3226.095884166,0.0,45584.767802,2021-05-22 18:00:00
