Region,Resource,Zone,Cluster,AnnualSum
TX,biomass,1,1,1.3921861485740512e6
TX,conventional_hydroelectric,1,1,158907.06704019452
TX,conventional_steam_coal,1,1,2.226100411308546e7
TX,conventional_steam_coal_5,1,1,3.517524265963704e7
TX,conventional_steam_coal_1,1,2,558825.5623885583
TX,conventional_steam_coal_2,1,3,7.150849448818353e7
TX,conventional_steam_coal_3,1,3,3.4408896190914646e7
TX,conventional_steam_coal_4,1,4,8.628728078756673e6
TX,natural_gas_fired_combined_cycle,1,1,86616.12456380534
TX,natural_gas_fired_combined_cycle_1,1,2,3.112545079563008e6
TX,natural_gas_fired_combined_cycle_2,1,3,7.217715668717343e7
TX,natural_gas_fired_combined_cycle_3,1,4,3.568499600771387e6
TX,natural_gas_fired_combined_cycle_4,1,5,0.0
TX,natural_gas_fired_combined_cycle_5,1,6,6.3798981816707164e7
TX,natural_gas_fired_combined_cycle_6,1,7,48248.07710347792
TX,natural_gas_fired_combined_cycle_7,1,8,1.0800095117047863e7
TX,natural_gas_fired_combined_cycle_8,1,9,1.4305416488087645e8
TX,natural_gas_fired_combined_cycle_9,1,10,2.0784557809260867e6
TX,natural_gas_fired_combined_cycle_10,1,11,138155.21952528929
TX,natural_gas_fired_combined_cycle_11,1,12,806739.2040925241
TX,natural_gas_fired_combined_cycle_12,1,13,3.066583564948871e6
TX,natural_gas_fired_combined_cycle_13,1,14,9.393903966504207e7
TX,natural_gas_fired_combined_cycle_14,1,15,2.8216755082549523e6
TX,natural_gas_fired_combustion_turbine,1,1,0.0
TX,natural_gas_fired_combustion_turbine_1,1,2,1.6934384141872816e6
TX,natural_gas_fired_combustion_turbine_2,1,3,0.0
TX,natural_gas_fired_combustion_turbine_3,1,4,0.0
TX,natural_gas_fired_combustion_turbine_4,1,5,0.0
TX,natural_gas_fired_combustion_turbine_5,1,6,0.0
TX,natural_gas_fired_combustion_turbine_6,1,7,0.0
TX,natural_gas_fired_combustion_turbine_7,1,8,0.0
TX,natural_gas_fired_combustion_turbine_8,1,9,0.0
TX,natural_gas_fired_combustion_turbine_9,1,10,0.0
TX,natural_gas_fired_combustion_turbine_10,1,11,0.0
TX,natural_gas_fired_combustion_turbine_11,1,12,0.0
TX,natural_gas_fired_combustion_turbine_12,1,13,1646.1919515521204
TX,natural_gas_fired_combustion_turbine_13,1,14,0.0
TX,natural_gas_fired_combustion_turbine_14,1,15,0.0
TX,natural_gas_fired_combustion_turbine_15,1,16,0.0
TX,natural_gas_steam_turbine,1,1,166260.40676488495
TX,natural_gas_steam_turbine_1,1,2,0.0
TX,natural_gas_steam_turbine_2,1,3,0.0
TX,natural_gas_steam_turbine_3,1,4,434664.68570406275
TX,natural_gas_steam_turbine_4,1,5,0.0
TX,natural_gas_steam_turbine_5,1,6,0.0
TX,natural_gas_steam_turbine_6,1,7,3.2636066067806953e6
TX,natural_gas_steam_turbine_7,1,8,0.0
TX,natural_gas_steam_turbine_8,1,9,0.0
TX,natural_gas_steam_turbine_9,1,10,0.0
TX,natural_gas_steam_turbine_10,1,11,0.0
TX,natural_gas_steam_turbine_11,1,12,0.0
TX,natural_gas_steam_turbine_12,1,13,0.0
TX,natural_gas_steam_turbine_13,1,14,4.064746030803986e6
TX,natural_gas_steam_turbine_14,1,15,229706.37680908194
TX,natural_gas_steam_turbine_15,1,16,90672.81173307908
TX,natural_gas_steam_turbine_16,1,17,0.0
TX,natural_gas_steam_turbine_17,1,18,0.0
TX,nuclear,1,1,5.6881756979236886e7
TX,nuclear_1,1,2,5.552742943211224e7
TX,onshore_wind_turbine,1,1,2.221028275275871e8
TX,small_hydroelectric,1,1,0.0
TX,solar_photovoltaic,1,1,2.3975897171637844e7
TX,Battery,1,1,1.4732699655674817e6
