Resource,biomass,conventional_hydroelectric,conventional_steam_coal,conventional_steam_coal_5,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,conventional_steam_coal_4,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,small_hydroelectric,solar_photovoltaic,Battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,53129.00502874585,6109.785968000005,812042.8049727813,1.3179270948099177e6,17070.644854530994,2.886048e6,1.2796725435813207e6,317824.7722134672,2714.74452,98635.41662417,2.798745574065845e6,118380.49959088203,0.0,2.4010274173482107e6,1440.9684000000002,385928.29939183843,5.593444869556465e6,73757.2376954,4257.756925364003,24532.359767102,97030.26256553021,3.507182037476796e6,91750.05848612597,0.0,52416.41325349097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.87559399999999,0.0,0.0,0.0,5279.772958278987,0.0,0.0,12889.847447409977,0.0,0.0,104265.01772525195,0.0,0.0,0.0,0.0,0.0,0.0,144532.34718441337,6854.894145821976,2706.2782158559985,0.0,0.0,2.29572e6,2.24106e6,9.676448917280769e6,0.0,944039.7657926389,46489.960496845415,3.742139624393726e7
t1,61.7364,12.726771199999998,833.528,1041.91,0.0,3168.0,1024.66,228.92930204399818,0.0,0.0,3582.5166,0.0,0.0,3332.7888,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,4896.6552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,13924.432775556,0.0,0.0,0.0,43707.1228488
t2,61.7364,12.6799816,833.528,1041.91,0.0,3168.0,1024.66,72.0876,0.0,0.0,3582.5166,0.0,0.0,3626.1000000000004,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,4239.673855705996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,14046.238931094,0.0,0.0,0.0,43308.37036839999
t3,61.7364,12.633192,833.528,1041.91,0.0,3168.0,1024.66,72.0876,0.0,0.0,3582.5166,0.0,0.0,3626.1000000000004,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,3555.1518690520006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,14472.871206948,0.0,0.0,0.0,43050.433868
t4,61.7364,12.633192,833.528,1041.91,0.0,3168.0,1024.66,72.0876,0.0,0.0,3582.5166,0.0,0.0,3626.1000000000004,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,3994.7934541660034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,14060.221761834,0.0,0.0,0.0,43077.426008
t5,61.7364,12.586402399999999,833.528,1041.91,0.0,3168.0,1024.66,72.0876,0.0,0.0,3582.5166,0.0,0.0,3626.1000000000004,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,5861.175713236078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,12590.779591511999,0.0,0.0,0.0,43474.31930714808
t6,61.7364,12.5396128,833.528,1041.91,0.0,3168.0,1024.66,338.14404144599393,0.0,0.0,3582.5166,0.0,0.0,3626.1000000000004,0.0,659.84,6619.239,170.30400000000003,0.0,0.0,0.0,6120.819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,12013.443252954,0.0,0.0,0.0,44252.77990719999
t7,61.7364,12.5396128,833.528,1041.91,0.0,3168.0,2533.5,499.068,0.0,0.0,3582.5166,0.0,0.0,3626.1000000000004,0.0,927.9,6619.239,239.49000000000004,0.0,0.0,0.0,6120.819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,10952.611035714,0.0,0.0,78.79097868600002,45277.748627199995
t8,61.7364,12.4928232,1106.2048988579973,1041.91,0.0,3168.0,2533.5,499.068,0.0,0.0,3582.5166,0.0,0.0,3626.1000000000004,0.0,927.9,6619.239,239.49000000000004,0.0,0.0,0.0,6120.819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,10690.354904742,0.0,0.0,726.0,45935.3316268
