Region,Resource,Zone,Cluster,AnnualSum
TX,biomass,1,1,2.6817433149462445e6
TX,conventional_hydroelectric,1,1,474996.1218159871
TX,conventional_steam_coal,1,1,9.400560546049094e7
TX,conventional_steam_coal_5,1,1,9.874451096790342e7
TX,conventional_steam_coal_1,1,2,1.1428164969566496e7
TX,conventional_steam_coal_2,1,3,1.3769189183850095e8
TX,conventional_steam_coal_3,1,3,8.795580855930944e7
TX,conventional_steam_coal_4,1,4,2.003271841945723e7
TX,natural_gas_fired_combined_cycle,1,1,3.586241355342716e6
TX,natural_gas_fired_combined_cycle_1,1,2,3.1540194157034136e7
TX,natural_gas_fired_combined_cycle_2,1,3,1.3806867892337963e8
TX,natural_gas_fired_combined_cycle_3,1,4,1.5642122594336297e7
TX,natural_gas_fired_combined_cycle_4,1,5,1.3581346226937843e6
TX,natural_gas_fired_combined_cycle_5,1,6,1.2285223025873898e8
TX,natural_gas_fired_combined_cycle_6,1,7,7.270194592960229e6
TX,natural_gas_fired_combined_cycle_7,1,8,2.4208993708398465e7
TX,natural_gas_fired_combined_cycle_8,1,9,2.7397383223814476e8
TX,natural_gas_fired_combined_cycle_9,1,10,5.87249192900383e6
TX,natural_gas_fired_combined_cycle_10,1,11,2.2504825062458552e6
TX,natural_gas_fired_combined_cycle_11,1,12,1.4005308917353658e7
TX,natural_gas_fired_combined_cycle_12,1,13,1.93895807615587e7
TX,natural_gas_fired_combined_cycle_13,1,14,1.896995868097146e8
TX,natural_gas_fired_combined_cycle_14,1,15,1.6668487591290116e7
TX,natural_gas_fired_combustion_turbine,1,1,268794.256435536
TX,natural_gas_fired_combustion_turbine_1,1,2,1.8465112210871726e7
TX,natural_gas_fired_combustion_turbine_2,1,3,0.0
TX,natural_gas_fired_combustion_turbine_3,1,4,499115.15289081325
TX,natural_gas_fired_combustion_turbine_4,1,5,509181.32379997004
TX,natural_gas_fired_combustion_turbine_5,1,6,0.0
TX,natural_gas_fired_combustion_turbine_6,1,7,1.3289251206212882e6
TX,natural_gas_fired_combustion_turbine_7,1,8,6.487187207575906e6
TX,natural_gas_fired_combustion_turbine_8,1,9,2.399162858159533e6
TX,natural_gas_fired_combustion_turbine_9,1,10,479870.5544681435
TX,natural_gas_fired_combustion_turbine_10,1,11,2.1945576703653373e6
TX,natural_gas_fired_combustion_turbine_11,1,12,138120.93367314723
TX,natural_gas_fired_combustion_turbine_12,1,13,1.6892117775103524e6
TX,natural_gas_fired_combustion_turbine_13,1,14,2776.70351436
TX,natural_gas_fired_combustion_turbine_14,1,15,2.210332652040028e6
TX,natural_gas_fired_combustion_turbine_15,1,16,39752.81478804397
TX,natural_gas_steam_turbine,1,1,4.180459234980751e6
TX,natural_gas_steam_turbine_1,1,2,1.6065317281408408e6
TX,natural_gas_steam_turbine_2,1,3,0.0
TX,natural_gas_steam_turbine_3,1,4,7.120008009897719e6
TX,natural_gas_steam_turbine_4,1,5,352561.6345440758
TX,natural_gas_steam_turbine_5,1,6,272528.69904020004
TX,natural_gas_steam_turbine_6,1,7,2.8685848023241684e7
TX,natural_gas_steam_turbine_7,1,8,3.3353396447640327e6
TX,natural_gas_steam_turbine_8,1,9,3.4335196978805307e6
TX,natural_gas_steam_turbine_9,1,10,0.0
TX,natural_gas_steam_turbine_10,1,11,691337.4251367935
TX,natural_gas_steam_turbine_11,1,12,1.3150783384119938e6
TX,natural_gas_steam_turbine_12,1,13,131685.21485744388
TX,natural_gas_steam_turbine_13,1,14,1.345356520167843e7
TX,natural_gas_steam_turbine_14,1,15,2.4767744950612136e6
TX,natural_gas_steam_turbine_15,1,16,1.0469090563428742e6
TX,natural_gas_steam_turbine_16,1,17,521121.3291645479
TX,natural_gas_steam_turbine_17,1,18,236247.823459682
TX,nuclear,1,1,1.0610261944432996e8
TX,nuclear_1,1,2,1.0357636660041735e8
TX,onshore_wind_turbine,1,1,3.3860033858555746e8
TX,small_hydroelectric,1,1,0.0
TX,solar_photovoltaic,1,1,3.9113258635368764e7
TX,Battery,1,1,4.402666002983924e6
