Resource,Zone,AnnualSum,Capacity,CapacityFactor
biomass,1,59954.58561171463,69.0,0.841964183964086
conventional_hydroelectric,1,18123.06255759999,468.0,0.03752373318260119
conventional_steam_coal,1,1.4289249444327755e6,3361.0,0.4119658417785795
conventional_steam_coal_5,1,1.6238483833377704e6,3361.0,0.4681631941333935
conventional_steam_coal_1,1,134524.68410934007,698.0,0.18675268778644977
conventional_steam_coal_2,1,3.269376e6,3520.0,0.8999999999999999
conventional_steam_coal_3,1,1.5631098437343142e6,2815.0,0.5380608601946639
conventional_steam_coal_4,1,412416.84462442214,652.0,0.612927492962058
natural_gas_fired_combined_cycle,1,42511.428128072,780.0,0.05281185167967601
natural_gas_fired_combined_cycle_1,1,311525.74254908576,2121.0,0.14232250334833912
natural_gas_fired_combined_cycle_2,1,2.9844964809632287e6,4644.0,0.6227291030193224
natural_gas_fired_combined_cycle_3,1,175027.76512245825,746.0,0.22734657855131535
natural_gas_fired_combined_cycle_4,1,13623.565195343996,704.0,0.018751603785874732
natural_gas_fired_combined_cycle_5,1,2.335861887441748e6,4029.0,0.5617850735851482
natural_gas_fired_combined_cycle_6,1,79380.35637684098,1740.0,0.044206293090551206
natural_gas_fired_combined_cycle_7,1,320777.61807636905,1031.0,0.30148499056042627
natural_gas_fired_combined_cycle_8,1,6.128939915174593e6,8056.0,0.7372014978453386
natural_gas_fired_combined_cycle_9,1,68717.13179999999,532.0,0.12516234590837558
natural_gas_fired_combined_cycle_10,1,23976.342000000015,237.0,0.09802906976744193
natural_gas_fired_combined_cycle_11,1,139561.57465175304,1188.0,0.1138334040108392
natural_gas_fired_combined_cycle_12,1,214215.12328463217,1026.0,0.2023126646008358
natural_gas_fired_combined_cycle_13,1,3.35414255036296e6,7481.0,0.4344523633467005
natural_gas_fired_combined_cycle_14,1,187575.20763435567,824.0,0.22058121617271073
natural_gas_fired_combustion_turbine,1,2546.3592000000003,741.0,0.0033298276998399404
natural_gas_fired_combustion_turbine_1,1,190142.5321019961,1073.0,0.17171168651790975
natural_gas_fired_combustion_turbine_2,1,0.0,81.0,0.0
natural_gas_fired_combustion_turbine_3,1,5199.182921045962,180.0,0.027988710815277575
natural_gas_fired_combustion_turbine_4,1,5805.647999999999,91.0,0.061820086889854325
natural_gas_fired_combustion_turbine_5,1,0.0,13.0,0.0
natural_gas_fired_combustion_turbine_6,1,13699.727767356371,354.0,0.03749980228002335
natural_gas_fired_combustion_turbine_7,1,58809.94290533199,557.0,0.102309477170981
natural_gas_fired_combustion_turbine_8,1,23527.89,1539.0,0.014813738156761411
natural_gas_fired_combustion_turbine_9,1,4562.933703305855,846.0,0.005226297147664631
natural_gas_fired_combustion_turbine_10,1,25982.20799999999,336.0,0.0749302325581395
natural_gas_fired_combustion_turbine_11,1,1310.4,208.0,0.0061046511627906985
natural_gas_fired_combustion_turbine_12,1,18389.35344017399,547.0,0.03257612601535859
natural_gas_fired_combustion_turbine_13,1,25.994,41.0,0.0006143410852713178
natural_gas_fired_combustion_turbine_14,1,23615.550753805008,276.0,0.08291045512373964
natural_gas_fired_combustion_turbine_15,1,378.00000000000006,84.0,0.004360465116279071
natural_gas_steam_turbine,1,52831.657089759974,825.0,0.06205268626939155
natural_gas_steam_turbine_1,1,18261.08878121804,521.0,0.03396325042259601
natural_gas_steam_turbine_2,1,0.0,18.0,0.0
natural_gas_steam_turbine_3,1,84433.1427649103,1326.0,0.061700649184548664
natural_gas_steam_turbine_4,1,3672.5827151558906,167.0,0.02130960587636292
natural_gas_steam_turbine_5,1,2775.1567730549805,171.0,0.015725762574544295
natural_gas_steam_turbine_6,1,305923.6460098462,2160.0,0.13723964883444867
natural_gas_steam_turbine_7,1,36256.20008245973,1265.0,0.027772313694931924
natural_gas_steam_turbine_8,1,40165.8708296571,844.0,0.046114238709239294
natural_gas_steam_turbine_9,1,0.0,421.0,0.0
natural_gas_steam_turbine_10,1,7768.052655999999,248.0,0.030351543573393345
natural_gas_steam_turbine_11,1,14537.391339603972,392.0,0.035935253865102365
natural_gas_steam_turbine_12,1,1435.2231501730053,61.0,0.022798690274701446
natural_gas_steam_turbine_13,1,157713.9817762513,1461.0,0.10460207101449795
natural_gas_steam_turbine_14,1,29711.280000000002,430.0,0.06695348837209303
natural_gas_steam_turbine_15,1,13784.4027624109,169.0,0.07903538118899878
natural_gas_steam_turbine_16,1,5591.3985905289255,169.0,0.03205930112454088
natural_gas_steam_turbine_17,1,2538.576,122.0,0.020162790697674418
nuclear,1,2.56095e6,2520.0,0.9847383720930233
nuclear_1,1,2.499975e6,2460.0,0.9847383720930233
onshore_wind_turbine,1,1.0472147727030728e7,34182.0,0.29686472318919405
small_hydroelectric,1,0.0,16.0,0.0
solar_photovoltaic,1,1.1016506730104894e6,9323.0,0.11450080040968214
Battery,1,63356.16449534526,726.0,0.0
