Resource,biomass,conventional_hydroelectric,conventional_steam_coal,conventional_steam_coal_5,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,conventional_steam_coal_4,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,small_hydroelectric,solar_photovoltaic,Battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,59954.58561171463,18123.06255759999,1.4289249444327755e6,1.6238483833377704e6,134524.68410934007,3.269376e6,1.5631098437343142e6,412416.84462442214,42511.428128072,311525.74254908576,2.9844964809632287e6,175027.76512245825,13623.565195343996,2.335861887441748e6,79380.35637684098,320777.61807636905,6.128939915174593e6,68717.13179999999,23976.342000000015,139561.57465175304,214215.12328463217,3.35414255036296e6,187575.20763435567,2546.3592000000003,190142.5321019961,0.0,5199.182921045962,5805.647999999999,0.0,13699.727767356371,58809.94290533199,23527.89,4562.933703305855,25982.20799999999,1310.4,18389.35344017399,25.994,23615.550753805008,378.00000000000006,52831.657089759974,18261.08878121804,0.0,84433.1427649103,3672.5827151558906,2775.1567730549805,305923.6460098462,36256.20008245973,40165.8708296571,0.0,7768.052655999999,14537.391339603972,1435.2231501730053,157713.9817762513,29711.280000000002,13784.4027624109,5591.3985905289255,2538.576,2.56095e6,2.499975e6,1.0472147727030728e7,0.0,1.1016506730104894e6,63356.16449534526,4.274008597581999e7
t1,61.7364,7.252388,0.0,416.764,0.0,3168.0,0.0,72.0876,0.0,0.0,2635.914608827992,0.0,0.0,1319.9004,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,2113.722828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,14098.483349352,0.0,0.059107820000000005,0.0,35493.15968199999
t2,61.7364,7.252388,0.0,416.764,0.0,3168.0,0.0,72.0876,0.0,0.0,1819.122318,0.0,0.0,1319.9004,0.0,0.0,6240.773957133995,0.0,0.0,0.0,0.0,2113.722828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,13951.990133046002,0.0,0.059107820000000005,0.0,34151.40913199999
t3,61.7364,7.252388,0.0,416.764,0.0,3168.0,0.0,72.0876,0.0,0.0,1819.122318,0.0,0.0,1319.9004,0.0,0.0,5527.743444401998,0.0,0.0,0.0,0.0,2113.722828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,13585.286525778,0.0,0.059107820000000005,0.0,33071.675012
t4,61.7364,7.252388,0.0,416.764,0.0,3168.0,0.0,72.0876,0.0,0.0,1819.122318,0.0,0.0,1319.9004,0.0,0.0,6175.309684786003,0.0,0.0,0.0,0.0,2113.722828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,12192.502925394,0.0,0.059107820000000005,0.0,32326.457652000005
t5,61.7364,7.252388,0.0,416.764,0.0,3168.0,0.0,72.0876,0.0,0.0,1819.122318,0.0,0.0,1319.9004,0.0,0.0,6115.6836237200005,0.0,0.0,0.0,0.0,2113.722828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,11896.37957646,0.0,0.059107820000000005,0.0,31970.708242
t6,61.7364,7.252388,0.0,416.764,0.0,3168.0,0.0,72.0876,0.0,0.0,2449.726571801997,0.0,0.0,1319.9004,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,2113.722828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,10765.213416378,0.0,0.059107820000000005,0.0,31973.701712
t7,61.7364,7.252388,0.0,416.764,0.0,3168.0,0.0,72.0876,0.0,0.0,2983.7929797659945,0.0,0.0,1319.9004,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,2113.722828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,10554.727428414,0.0,0.059107820000000005,0.0,32297.282131999997
t8,61.7364,7.252388,0.0,416.764,0.0,3168.0,0.0,72.0876,0.0,0.0,3582.5166,0.0,0.0,2306.846602089996,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,2113.722828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,9720.62571609,0.0,0.059107820000000005,0.0,33048.85024199999
t9,61.7364,7.252388,0.0,416.764,0.0,3168.0,0.0,72.0876,0.0,0.0,3582.5166,0.0,0.0,3263.4900000000002,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,2432.5261825899943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,9506.689123589998,0.0,0.059107820000000005,0.0,34110.36040199999
t10,61.7364,7.252388,0.0,416.764,0.0,3168.0,0.0,72.0876,0.0,0.0,3582.5166,0.0,0.0,3263.4900000000002,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,5508.7371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,7702.030573848,0.0,9.099863318,4.645816833998651,35395.599341999994
t11,61.7364,7.252388,0.0,416.764,0.0,3168.0,0.0,349.2403217409992,0.0,0.0,3582.5166,0.0,0.0,3263.4900000000002,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,5508.7371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,7592.552771886,0.0,563.541330373,726.0,36839.069912
t12,61.7364,7.252388,0.0,916.4745588419974,0.0,3168.0,0.0,499.068,0.0,0.0,3582.5166,0.0,0.0,3263.4900000000002,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,5508.7371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,7393.045905594,0.0,1047.133889564,726.0,37772.69384199999
t13,61.7364,7.2055984,0.0,416.764,0.0,3168.0,0.0,182.9916,0.0,0.0,3582.5166,0.0,0.0,3263.4900000000002,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,5255.795235386995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,8827.2365895,0.0,2180.361908313,0.0,38545.3369316
t14,61.7364,7.2055984,0.0,416.764,0.0,3168.0,0.0,72.0876,0.0,0.0,3582.5166,0.0,0.0,3263.4900000000002,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,4489.263584392997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,10067.56686333,0.0,2335.295885477,0.0,39063.165531599996
t15,61.7364,7.2055984,0.0,416.764,0.0,3168.0,0.0,72.0876,0.0,0.0,3582.5166,0.0,0.0,3263.4900000000002,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,4251.144092797997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,10278.366539508,0.0,2484.970860894,0.0,39185.520691599995
