BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,4.2676729811324656e7,63356.16449534525,-74885.38347760416,0.0,0.0,0.0,0.0,0.0,0.0,-4.268332365489999e7
t1,35493.15968199999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35500.41207
t2,34151.40913199999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34158.66152
t3,33071.675012,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33078.9274
t4,32326.457652000005,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32333.71004
t5,31970.708242,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31977.96063
t6,31973.701712,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31980.9541
t7,32297.282131999997,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32304.53452
t8,33048.85024199999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33056.10263
t9,34110.36040199999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34117.61279
t10,35390.953525166,4.645816833998651,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35402.85173
t11,36113.069912,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36846.3223
t12,37046.69384199999,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37779.94623
t13,38545.3369316,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38552.54253
t14,39063.165531599996,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39070.37113
t15,39185.520691599995,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39192.72629
t16,39174.2361416,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39181.44174
