Region,Resource,Zone,Cluster,AnnualSum
TX,biomass,1,1,1.3636995994648945e6
TX,conventional_hydroelectric,1,1,1.979354847486173e6
TX,conventional_steam_coal,1,1,0.0
TX,conventional_steam_coal_5,1,1,1.3275067798855496e6
TX,conventional_steam_coal_1,1,2,0.0
TX,conventional_steam_coal_2,1,3,7.001960914238054e7
TX,conventional_steam_coal_3,1,3,6.759818587603418e6
TX,conventional_steam_coal_4,1,4,5.477963238994309e6
TX,natural_gas_fired_combined_cycle,1,1,25373.590074422467
TX,natural_gas_fired_combined_cycle_1,1,2,655376.3606468079
TX,natural_gas_fired_combined_cycle_2,1,3,6.4198049872212246e7
TX,natural_gas_fired_combined_cycle_3,1,4,939614.9035385121
TX,natural_gas_fired_combined_cycle_4,1,5,0.0
TX,natural_gas_fired_combined_cycle_5,1,6,3.981535279908053e7
TX,natural_gas_fired_combined_cycle_6,1,7,0.0
TX,natural_gas_fired_combined_cycle_7,1,8,2.6996374957781215e6
TX,natural_gas_fired_combined_cycle_8,1,9,1.340943296040576e8
TX,natural_gas_fired_combined_cycle_9,1,10,504280.89384918817
TX,natural_gas_fired_combined_cycle_10,1,11,52724.030502218884
TX,natural_gas_fired_combined_cycle_11,1,12,231460.15803855477
TX,natural_gas_fired_combined_cycle_12,1,13,857367.5477114541
TX,natural_gas_fired_combined_cycle_13,1,14,6.2136216858376294e7
TX,natural_gas_fired_combined_cycle_14,1,15,743202.9759912238
TX,natural_gas_fired_combustion_turbine,1,1,5846.592820695972
TX,natural_gas_fired_combustion_turbine_1,1,2,8290.057842137538
TX,natural_gas_fired_combustion_turbine_2,1,3,0.0
TX,natural_gas_fired_combustion_turbine_3,1,4,0.0
TX,natural_gas_fired_combustion_turbine_4,1,5,0.0
TX,natural_gas_fired_combustion_turbine_5,1,6,0.0
TX,natural_gas_fired_combustion_turbine_6,1,7,5914.321018078633
TX,natural_gas_fired_combustion_turbine_7,1,8,0.0
TX,natural_gas_fired_combustion_turbine_8,1,9,0.0
TX,natural_gas_fired_combustion_turbine_9,1,10,0.0
TX,natural_gas_fired_combustion_turbine_10,1,11,0.0
TX,natural_gas_fired_combustion_turbine_11,1,12,0.0
TX,natural_gas_fired_combustion_turbine_12,1,13,9029.10700495277
TX,natural_gas_fired_combustion_turbine_13,1,14,0.0
TX,natural_gas_fired_combustion_turbine_14,1,15,0.0
TX,natural_gas_fired_combustion_turbine_15,1,16,0.0
TX,natural_gas_steam_turbine,1,1,0.0
TX,natural_gas_steam_turbine_1,1,2,0.0
TX,natural_gas_steam_turbine_2,1,3,0.0
TX,natural_gas_steam_turbine_3,1,4,0.0
TX,natural_gas_steam_turbine_4,1,5,0.0
TX,natural_gas_steam_turbine_5,1,6,0.0
TX,natural_gas_steam_turbine_6,1,7,1.6998950946642342e6
TX,natural_gas_steam_turbine_7,1,8,0.0
TX,natural_gas_steam_turbine_8,1,9,0.0
TX,natural_gas_steam_turbine_9,1,10,0.0
TX,natural_gas_steam_turbine_10,1,11,0.0
TX,natural_gas_steam_turbine_11,1,12,0.0
TX,natural_gas_steam_turbine_12,1,13,0.0
TX,natural_gas_steam_turbine_13,1,14,3.1310149823591295e6
TX,natural_gas_steam_turbine_14,1,15,0.0
TX,natural_gas_steam_turbine_15,1,16,0.0
TX,natural_gas_steam_turbine_16,1,17,0.0
TX,natural_gas_steam_turbine_17,1,18,0.0
TX,nuclear,1,1,4.930954779489346e7
TX,nuclear_1,1,2,4.813551094263411e7
TX,onshore_wind_turbine,1,1,2.9435577777465636e8
TX,small_hydroelectric,1,1,0.0
TX,solar_photovoltaic,1,1,3.38267868778084e7
TX,Battery,1,1,2.0082298023415494e6
