Resource,Zone,AnnualSum,Capacity,CapacityFactor
biomass,1,58451.45379614985,69.0,0.7843727025785004
conventional_hydroelectric,1,114163.20835919998,468.0,0.2258689624074074
conventional_steam_coal,1,62558.176480470946,3361.0,0.01723422715915428
conventional_steam_coal_5,1,338959.5400880723,3361.0,0.09338037072522296
conventional_steam_coal_1,1,0.0,698.0,0.0
conventional_steam_coal_2,1,3.42144e6,3520.0,0.9
conventional_steam_coal_3,1,661720.9086903512,2815.0,0.21765703200129966
conventional_steam_coal_4,1,212235.01528058542,652.0,0.3014016917754281
natural_gas_fired_combined_cycle,1,0.0,780.0,0.0
natural_gas_fired_combined_cycle_1,1,52469.01649208499,2121.0,0.022905432662827192
natural_gas_fired_combined_cycle_2,1,3.2453487905882364e6,4644.0,0.6470612799048228
natural_gas_fired_combined_cycle_3,1,75015.62794928602,746.0,0.09310846483627001
natural_gas_fired_combined_cycle_4,1,0.0,704.0,0.0
natural_gas_fired_combined_cycle_5,1,2.5707984273495493e6,4029.0,0.5908088642870553
natural_gas_fired_combined_cycle_6,1,0.0,1740.0,0.0
natural_gas_fired_combined_cycle_7,1,339916.8339143799,1031.0,0.3052743057031827
natural_gas_fired_combined_cycle_8,1,6.452002769464407e6,8056.0,0.7415685996019079
natural_gas_fired_combined_cycle_9,1,49571.83539875497,532.0,0.08627790900646576
natural_gas_fired_combined_cycle_10,1,1238.799,237.0,0.004839814814814815
natural_gas_fired_combined_cycle_11,1,15492.153033551509,1188.0,0.012074567459745222
natural_gas_fired_combined_cycle_12,1,118181.23923068133,1026.0,0.106654067604037
natural_gas_fired_combined_cycle_13,1,4.439747609749133e6,7481.0,0.5495090785235105
natural_gas_fired_combined_cycle_14,1,77684.07452724401,824.0,0.08729332358778769
natural_gas_fired_combustion_turbine,1,0.0,741.0,0.0
natural_gas_fired_combustion_turbine_1,1,0.0,1073.0,0.0
natural_gas_fired_combustion_turbine_2,1,0.0,81.0,0.0
natural_gas_fired_combustion_turbine_3,1,0.0,180.0,0.0
natural_gas_fired_combustion_turbine_4,1,0.0,91.0,0.0
natural_gas_fired_combustion_turbine_5,1,0.0,13.0,0.0
natural_gas_fired_combustion_turbine_6,1,0.0,354.0,0.0
natural_gas_fired_combustion_turbine_7,1,0.0,557.0,0.0
natural_gas_fired_combustion_turbine_8,1,0.0,1539.0,0.0
natural_gas_fired_combustion_turbine_9,1,0.0,846.0,0.0
natural_gas_fired_combustion_turbine_10,1,0.0,336.0,0.0
natural_gas_fired_combustion_turbine_11,1,0.0,208.0,0.0
natural_gas_fired_combustion_turbine_12,1,0.0,547.0,0.0
natural_gas_fired_combustion_turbine_13,1,0.0,41.0,0.0
natural_gas_fired_combustion_turbine_14,1,0.0,276.0,0.0
natural_gas_fired_combustion_turbine_15,1,0.0,84.0,0.0
natural_gas_steam_turbine,1,35226.15835375229,825.0,0.039535531261225915
natural_gas_steam_turbine_1,1,0.0,521.0,0.0
natural_gas_steam_turbine_2,1,0.0,18.0,0.0
natural_gas_steam_turbine_3,1,0.0,1326.0,0.0
natural_gas_steam_turbine_4,1,0.0,167.0,0.0
natural_gas_steam_turbine_5,1,0.0,171.0,0.0
natural_gas_steam_turbine_6,1,278917.9485964448,2160.0,0.11956359250533471
natural_gas_steam_turbine_7,1,0.0,1265.0,0.0
natural_gas_steam_turbine_8,1,21782.800195559983,844.0,0.023897226825039475
natural_gas_steam_turbine_9,1,0.0,421.0,0.0
natural_gas_steam_turbine_10,1,0.0,248.0,0.0
natural_gas_steam_turbine_11,1,0.0,392.0,0.0
natural_gas_steam_turbine_12,1,0.0,61.0,0.0
natural_gas_steam_turbine_13,1,240251.6052426663,1461.0,0.15226227928782055
natural_gas_steam_turbine_14,1,0.0,430.0,0.0
natural_gas_steam_turbine_15,1,1287.78,169.0,0.007055555555555555
natural_gas_steam_turbine_16,1,0.0,169.0,0.0
natural_gas_steam_turbine_17,1,0.0,122.0,0.0
nuclear,1,2.288916e6,2520.0,0.8410185185185185
nuclear_1,1,2.2344179999999995e6,2460.0,0.8410185185185184
onshore_wind_turbine,1,1.3179382392121373e7,34182.0,0.3570046177683233
small_hydroelectric,1,0.0,16.0,0.0
solar_photovoltaic,1,1.635467703449852e6,9323.0,0.1624286117814815
Battery,1,94009.0859770596,726.0,0.0
