BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,4.615677260159275e7,106793.10301688964,-126210.0078860426,0.0,0.0,0.0,0.0,0.0,0.0,-4.620966944463e7
t1,35150.0648172,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35238.63753
t2,33422.6576288,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33543.00048
t3,32413.920177599997,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32534.12266
t4,32375.190690456,0.0,-397.8439444560054,0.0,0.0,0.0,0.0,0.0,0.0,-32097.36207
t5,32810.2175144,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-32204.04568
t6,33278.501053199994,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-32672.18885
t7,33948.640477550296,0.0,-580.7938359502975,0.0,0.0,0.0,0.0,0.0,0.0,-33487.34728
t8,34914.11981,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-34307.43329
t9,35991.950168799995,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36111.12328
t10,37978.794376806945,0.0,-0.12625960695676558,0.0,0.0,0.0,0.0,0.0,0.0,-38097.65407
t11,39366.47750603479,0.0,-0.06313043478287553,0.0,0.0,0.0,0.0,0.0,0.0,-39485.21317
t12,40532.376004,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40650.98764
t13,41605.6648528,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41724.13612
t14,42630.327588716544,0.0,-0.18938751654737326,0.0,0.0,0.0,0.0,0.0,0.0,-42748.42231
t15,43624.505069599996,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43742.60202
t16,44058.61734734589,462.4328110540993,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44639.00674
t17,44395.9205388379,524.7936079621,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45038.48357
t18,44357.437637198,640.8085880019971,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45115.82849
t19,43946.462856083,317.4103479169953,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44381.3151
t20,42723.33418240001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42840.58892
t21,41281.9401808,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42125.00776
t22,40618.18417959999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40735.11139
t23,38695.667708,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38812.40776
t24,36482.1630764,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36598.71597
t25,34408.5298648,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34524.8956
t26,33282.468583319176,0.0,-379.83789291918634,0.0,0.0,0.0,0.0,0.0,0.0,-33018.48174
t27,32640.7915684,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-31991.80725
t28,31929.466910399995,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-31319.31796
t29,31654.096549199992,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-31043.80723
t30,31608.346225182002,0.0,-575.9836375820005,0.0,0.0,0.0,0.0,0.0,0.0,-31147.88611
t31,31474.298013667998,0.0,-22.880387667998548,0.0,0.0,0.0,0.0,0.0,0.0,-31566.75399
t32,31982.741345234786,0.0,-0.06313043478287553,0.0,0.0,0.0,0.0,0.0,0.0,-32097.87421
t33,33803.73181319999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33918.74065
t34,35573.53799159999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35688.35967
t35,37157.35657751654,0.0,-0.18938751654737326,0.0,0.0,0.0,0.0,0.0,0.0,-37271.80171
t36,38685.832459234785,0.0,-0.06313043478287553,0.0,0.0,0.0,0.0,0.0,0.0,-38800.26348
t37,40243.3022172,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40357.60921
t38,41871.46789559999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41985.58773
t39,43637.151301916536,0.0,-0.18938751654737326,0.0,0.0,0.0,0.0,0.0,0.0,-43750.94138
t40,44655.49495279999,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45495.28726
t41,46141.7813012,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46981.38645
t42,47139.38106,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47978.84584
t43,47188.85720754965,493.55339085035257,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47795.68822
t44,46346.658738176004,0.0,-7.142111376002504,0.0,0.0,0.0,0.0,0.0,0.0,-46452.60709
t45,45828.41631303302,6.044962166987146,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45947.36458
t46,44454.109893999994,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44566.87283
t47,41657.774822399995,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41770.3506
t48,38361.95942079999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38474.34804
t49,35927.01342685779,0.0,-226.50349325779257,0.0,0.0,0.0,0.0,0.0,0.0,-35812.05634
t50,34847.4772416,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-34194.18828
t51,33871.905899599995,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-33179.78157
t52,33432.958211599995,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-32779.66925
t53,33618.63081359999,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-33004.17722
t54,34322.162484411994,0.0,-26.186092412000107,0.0,0.0,0.0,0.0,0.0,0.0,-34407.33564
t55,36752.082330799996,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36863.30121
t56,38054.93707919999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38165.9688
t57,39199.80807759999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39310.65264
t58,40671.159316,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40781.81672
t59,42128.8385048,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42239.35554
t60,43794.9571332,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43905.28701
t61,45459.6855916,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45569.82831
t62,47203.84096039999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47313.84331
t63,48531.318918799996,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48641.13411
