Price,Date
2.36,1/1/2021
2.387,1/4/2021
2.596,1/5/2021
2.77,1/6/2021
2.76,1/7/2021
2.81,1/8/2021
2.77,1/11/2021
2.71,1/12/2021
2.89,1/13/2021
2.82,1/14/2021
2.82,1/15/2021
2.86,1/19/2021
2.65,1/20/2021
2.57,1/21/2021
2.49,1/22/2021
2.452,1/25/2021
2.63,1/26/2021
2.73,1/27/2021
2.77,1/28/2021
2.76,1/29/2021
2.68,2/1/2021
2.879,2/2/2021
3.24,2/3/2021
3.01,2/4/2021
2.99,2/5/2021
3.49,2/8/2021
3.4,2/9/2021
3.35,2/10/2021
3.755,2/11/2021
6.5,2/12/2021
6.118,2/16/2021
11.318,2/17/2021
23.86,2/18/2021
8.56,2/19/2021
4.962,2/22/2021
3.16,2/23/2021
2.94,2/24/2021
2.797,2/25/2021
2.718,2/26/2021
2.664,3/1/2021
2.7,3/2/2021
2.87,3/3/2021
2.864,3/4/2021
2.792,3/5/2021
2.716,3/8/2021
2.67,3/9/2021
2.62,3/10/2021
2.62,3/11/2021
2.7,3/12/2021
2.65,3/15/2021
2.58,3/16/2021
2.5,3/17/2021
2.6,3/18/2021
2.447,3/19/2021
2.53,3/22/2021
2.55,3/23/2021
2.56,3/24/2021
2.56,3/25/2021
2.52,3/26/2021
2.52,3/29/2021
2.58,3/30/2021
2.55,3/31/2021
2.523,4/1/2021
2.517,4/5/2021
2.433,4/6/2021
2.44,4/7/2021
2.43,4/8/2021
2.47,4/9/2021
2.48,4/12/2021
2.5,4/13/2021
2.57,4/14/2021
2.646,4/15/2021
2.62,4/16/2021
2.633,4/19/2021
2.75,4/20/2021
2.758,4/21/2021
2.718,4/22/2021
2.77,4/23/2021
2.79,4/26/2021
2.73,4/27/2021
2.91,4/28/2021
2.976,4/29/2021
2.913,4/30/2021
2.862,5/3/2021
2.96,5/4/2021
3.002,5/5/2021
2.986,5/6/2021
2.895,5/7/2021
2.9,5/10/2021
2.927,5/11/2021
2.905,5/12/2021
2.905,5/13/2021
2.95,5/14/2021
2.95,5/17/2021
2.993,5/18/2021
2.956,5/19/2021
2.878,5/20/2021
2.862,5/21/2021
2.835,5/24/2021
2.778,5/25/2021
2.869,5/26/2021
2.908,5/27/2021
2.851,5/28/2021
2.913,6/1/2021
3.018,6/2/2021
3.094,6/3/2021
3.014,6/4/2021
3.009,6/7/2021
2.98,6/8/2021
3.109,6/9/2021
3.132,6/10/2021
3.125,6/11/2021
3.23,6/14/2021
3.36,6/15/2021
3.311,6/16/2021
3.25,6/17/2021
3.243,6/18/2021
3.227,6/21/2021
3.153,6/22/2021
3.208,6/23/2021
3.356,6/24/2021
3.296,6/25/2021
3.4,6/28/2021
3.616,6/29/2021
3.745,6/30/2021
3.792,7/1/2021
3.755,7/2/2021
3.67,7/6/2021
3.679,7/7/2021
3.662,7/8/2021
3.557,7/9/2021
3.707,7/12/2021
3.7,7/13/2021
3.777,7/14/2021
3.797,7/15/2021
3.68,7/16/2021
3.702,7/19/2021
3.748,7/20/2021
3.82,7/21/2021
3.94,7/22/2021
4.02,7/23/2021
4.11,7/26/2021
4.09,7/27/2021
4.15,7/28/2021
4.098,7/29/2021
4.027,7/30/2021
3.943,8/2/2021
4.024,8/3/2021
4.06,8/4/2021
4.2,8/5/2021
4.27,8/6/2021
4.21,8/9/2021
4.24,8/10/2021
4.115,8/11/2021
4.073,8/12/2021
4.1,8/13/2021
3.945,8/16/2021
3.926,8/17/2021
3.92,8/18/2021
3.864,8/19/2021
3.83,8/20/2021
3.936,8/23/2021
3.925,8/24/2021
3.95,8/25/2021
4.028,8/26/2021
4.066,8/27/2021
4.354,8/28/2021
4.354,8/30/2021
4.246,8/31/2021
4.33,9/1/2021
4.449,9/2/2021
4.651,9/3/2021
4.767,9/7/2021
4.713,9/8/2021
4.66,9/9/2021
4.966,9/10/2021
5.13,9/13/2021
5.21,9/14/2021
5.392,9/15/2021
5.66,9/16/2021
5.518,9/17/2021
5.32,9/20/2021
5.25,9/21/2021
4.959,9/22/2021
4.92,9/23/2021
4.939,9/24/2021
5.103,9/27/2021
5.53,9/28/2021
5.936,9/29/2021
5.725,9/30/2021
5.581,10/1/2021
5.608,10/4/2021
5.801,10/5/2021
6.37,10/6/2021
5.998,10/7/2021
5.711,10/8/2021
5.688,10/11/2021
5.457,10/12/2021
5.343,10/13/2021
5.56,10/14/2021
5.92,10/15/2021
5.442,10/18/2021
5.01,10/19/2021
4.808,10/20/2021
4.87,10/21/2021
4.941,10/22/2021
5.097,10/25/2021
5.724,10/26/2021
5.591,10/27/2021
5.909,10/28/2021
5.683,10/29/2021
5.487,11/1/2021
5.223,11/2/2021
5.325,11/3/2021
5.588,11/4/2021
5.733,11/5/2021
5.51,11/8/2021
5.53,11/9/2021
5.078,11/10/2021
4.564,11/11/2021
4.81,11/12/2021
4.973,11/15/2021
4.771,11/16/2021
5.106,11/17/2021
4.815,11/18/2021
4.95,11/19/2021
4.902,11/22/2021
4.833,11/23/2021
4.952,11/24/2021
4.926,11/29/2021
4.904,11/30/2021
4.523,12/1/2021
4.306,12/2/2021
4.076,12/3/2021
3.791,12/6/2021
3.664,12/7/2021
3.602,12/8/2021
3.79,12/9/2021
3.67,12/10/2021
3.651,12/13/2021
4.05,12/14/2021
3.705,12/15/2021
3.785,12/16/2021
3.673,12/17/2021
3.706,12/20/2021
3.908,12/21/2021
3.96,12/22/2021
3.95,12/23/2021
3.561,12/27/2021
3.452,12/28/2021
3.32,12/29/2021
3.404,12/30/2021
