Region,Resource,Zone,Cluster,AnnualSum
TX,biomass,1,1,2.510907204257575e6
TX,conventional_hydroelectric,1,1,4.1710576969323093e6
TX,conventional_steam_coal,1,1,0.0
TX,conventional_steam_coal_1,1,2,0.0
TX,conventional_steam_coal_2,1,3,7.62313011591222e6
TX,conventional_steam_coal_3,1,4,1.6149898269355938e7
TX,natural_gas_fired_combined_cycle,1,1,5.141278029250023e6
TX,natural_gas_fired_combined_cycle_1,1,2,2.3852012053605195e7
TX,natural_gas_fired_combined_cycle_2,1,3,1.4037468089497164e8
TX,natural_gas_fired_combined_cycle_3,1,4,1.3390714475342045e7
TX,natural_gas_fired_combined_cycle_4,1,5,4.9936786877297675e6
TX,natural_gas_fired_combined_cycle_5,1,6,1.3394703175972652e8
TX,natural_gas_fired_combined_cycle_6,1,7,1.1772967214143736e7
TX,natural_gas_fired_combined_cycle_7,1,8,3.1316381766129877e7
TX,natural_gas_fired_combined_cycle_8,1,9,2.6536512692400086e8
TX,natural_gas_fired_combined_cycle_9,1,10,7.976795372549433e6
TX,natural_gas_fired_combined_cycle_10,1,11,2.524485752080126e6
TX,natural_gas_fired_combined_cycle_11,1,12,1.1809303513978029e7
TX,natural_gas_fired_combined_cycle_12,1,13,2.549444710490893e7
TX,natural_gas_fired_combined_cycle_13,1,14,2.2243199681461754e8
TX,natural_gas_fired_combined_cycle_14,1,15,1.4660235009283645e7
TX,natural_gas_fired_combustion_turbine,1,1,3.0535421511575067e6
TX,natural_gas_fired_combustion_turbine_1,1,2,7.725552149142052e6
TX,natural_gas_fired_combustion_turbine_2,1,3,0.0
TX,natural_gas_fired_combustion_turbine_3,1,4,2.0560699828466508e6
TX,natural_gas_fired_combustion_turbine_4,1,5,743705.8242527856
TX,natural_gas_fired_combustion_turbine_5,1,6,0.0
TX,natural_gas_fired_combustion_turbine_6,1,7,1.6238904624820766e6
TX,natural_gas_fired_combustion_turbine_7,1,8,2.686181902096593e6
TX,natural_gas_fired_combustion_turbine_8,1,9,7.027914765321828e6
TX,natural_gas_fired_combustion_turbine_9,1,10,3.939479632195722e6
TX,natural_gas_fired_combustion_turbine_10,1,11,1.6029488849675367e6
TX,natural_gas_fired_combustion_turbine_11,1,12,942843.013242624
TX,natural_gas_fired_combustion_turbine_12,1,13,2.48343758937065e6
TX,natural_gas_fired_combustion_turbine_13,1,14,0.0
TX,natural_gas_fired_combustion_turbine_14,1,15,1.2376650174436758e6
TX,natural_gas_fired_combustion_turbine_15,1,16,380763.524578752
TX,natural_gas_steam_turbine,1,1,1.6657156351448113e7
TX,natural_gas_steam_turbine_1,1,2,2.9843125712991385e6
TX,natural_gas_steam_turbine_2,1,3,0.0
TX,natural_gas_steam_turbine_3,1,4,2.0678882910870064e7
TX,natural_gas_steam_turbine_4,1,5,771324.4669497601
TX,natural_gas_steam_turbine_5,1,6,790628.5429349137
TX,natural_gas_steam_turbine_6,1,7,6.5023756115137525e7
TX,natural_gas_steam_turbine_7,1,8,4.069668565595677e6
TX,natural_gas_steam_turbine_8,1,9,1.1102672581977295e7
TX,natural_gas_steam_turbine_9,1,10,0.0
TX,natural_gas_steam_turbine_10,1,11,798395.3309579797
TX,natural_gas_steam_turbine_11,1,12,1.8787658564190478e6
TX,natural_gas_steam_turbine_12,1,13,289679.7402732417
TX,natural_gas_steam_turbine_13,1,14,4.17846533708963e7
TX,natural_gas_steam_turbine_14,1,15,2.6984103136079633e6
TX,natural_gas_steam_turbine_15,1,16,3.5335906858230853e6
TX,natural_gas_steam_turbine_16,1,17,809998.5633186802
TX,natural_gas_steam_turbine_17,1,18,576760.4180866375
TX,nuclear,1,1,9.737260873500177e7
TX,nuclear_1,1,2,9.505421328893031e7
TX,onshore_wind_turbine,1,1,3.710295452978386e8
TX,small_hydroelectric,1,1,0.0
TX,solar_photovoltaic,1,1,6.333301843329551e7
TX,Battery,1,1,2.2232157691417925e7
