Resource,biomass,conventional_hydroelectric,conventional_steam_coal,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,small_hydroelectric,solar_photovoltaic,Battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,36424.47599999992,5266.170000001158,0.0,0.0,37855.964059975086,94018.21091844102,9629.930679453882,65416.9425,1.8756284698499627e6,61525.15732377301,4415.558427,1.4978770848562901e6,21562.62496627147,221696.153972756,4.0234996211281004e6,51602.37809999997,4636.637306896573,24449.039999999997,110922.33930947813,2.262818561584198e6,57775.25202940699,1212.5520000000004,20638.02795464697,0.0,2477.203623050991,799.0920000000001,0.0,1307.2373644858883,5681.440799999999,4386.15,1987.6324253448865,3173.856,374.40000000000003,1108.0077964815625,0.0,2593.959550000001,151.2,68734.32110803445,8163.029857107001,0.0,100422.27851669713,831.66,883.8990000000001,457981.663800405,10042.124141007995,50189.23591806048,0.0,1976.733304,4141.580686145885,558.7600000000001,210207.48402945648,9030.62251195898,19420.03761264801,1800.8640000000005,1017.48,1.6662239999999998e6,1.6265519999999998e6,1.2124088731576229e7,0.0,1.365754114119339e6,70062.78216350163,2.8310994734870605e7
t1,61.73639999999999,0.0,0.0,0.0,256.215596,72.0876,0.0,0.0,3582.5166,0.0,0.0,3626.1,0.0,0.0,6619.2390000000005,0.0,0.0,0.0,235.98000000000002,5437.658576466788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,113.23693500000002,0.0,0.0,0.0,0.0,156.327,0.0,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,14171.068422968,0.0,0.0,0.0,39767.063130434784
t2,61.73639999999999,0.0,0.0,0.0,256.215596,72.0876,0.0,0.0,3582.5166,0.0,0.0,3626.1,0.0,0.0,6619.2390000000005,0.0,0.0,0.0,235.98000000000002,4456.974304283001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,90.68862600000001,0.0,245.31,0.0,0.0,308.87999999999994,193.12348599999999,113.23693500000002,0.0,0.0,56.056,10.004000000000001,156.327,98.04,30.082,30.082,0.0,2393.9999999999995,2336.9999999999995,13995.695452717,0.0,0.0,0.0,39089.0
t3,61.73639999999999,0.0,0.0,0.0,256.215596,72.0876,0.0,0.0,3582.5166,0.0,0.0,3626.1,0.0,0.0,6619.2390000000005,0.0,0.0,0.0,235.98000000000002,4458.3951748569625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,90.68862600000001,0.0,245.31,20.04,22.059,308.87999999999994,193.12348599999999,113.23693500000002,0.0,33.397468,56.056,10.004000000000001,156.327,98.04,30.082,30.082,15.006,2393.9999999999995,2336.9999999999995,13758.89837375,0.0,0.0,0.0,38944.12625960696
t4,61.73639999999999,0.0,0.0,0.0,256.215596,72.0876,0.0,0.0,3582.5166,0.0,0.0,3626.1,0.0,0.0,6619.2390000000005,0.0,0.0,0.0,235.98000000000002,5201.869885983998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,90.68862600000001,0.0,245.31,20.04,22.059,308.87999999999994,193.12348599999999,113.23693500000002,0.0,33.397468,56.056,10.004000000000001,156.327,98.04,30.082,30.082,15.006,2393.9999999999995,2336.9999999999995,13417.297403016,0.0,0.0,0.0,39346.0
t5,61.73639999999999,0.0,0.0,0.0,256.215596,72.0876,0.0,0.0,3582.5166,0.0,0.0,3626.1,0.0,302.59849999999994,6619.2390000000005,0.0,0.0,0.0,235.98000000000002,5927.266610872959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,90.68862600000001,0.0,245.31,20.04,22.059,308.87999999999994,193.12348599999999,113.23693500000002,0.0,33.397468,56.056,10.004000000000001,156.327,98.04,30.082,30.082,15.006,2393.9999999999995,2336.9999999999995,13647.428437733999,0.0,0.0,0.0,40604.12625960696
t6,61.73639999999999,0.0,0.0,0.0,256.215596,72.0876,0.0,0.0,3582.5166,477.24864,0.0,3626.1,0.0,927.9,6619.2390000000005,170.304,0.0,0.0,266.7599999999999,6120.819000000001,527.3599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,90.68862600000001,0.0,245.31,20.04,22.059,1374.3377919347836,193.12348599999999,113.23693500000002,0.0,33.397468,56.056,10.004000000000001,156.327,98.04,30.082,30.082,15.006,2393.9999999999995,2336.9999999999995,13002.3609875,0.0,0.0,0.0,43049.06313043479
t7,61.73639999999999,0.0,0.0,0.0,256.215596,319.28757396678134,0.0,1026.0337499999998,3582.5166,671.1309,0.0,3626.1,0.0,927.9,6619.2390000000005,239.49,0.0,0.0,923.4,6120.819000000001,741.5999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,90.68862600000001,0.0,245.31,20.04,22.059,1944.0,193.12348599999999,113.23693500000002,0.0,33.397468,56.056,10.004000000000001,156.327,98.04,30.082,30.082,15.006,2393.9999999999995,2336.9999999999995,12877.516795467998,0.0,0.0,0.0,45901.06313043478
t8,61.73639999999999,0.0,0.0,0.0,256.215596,499.068,0.0,1908.9,3582.5166,671.1309,0.0,3626.1,0.0,927.9,6619.2390000000005,239.49,0.0,0.0,923.4,6120.819000000001,741.5999999999999,0.0,412.37521274898415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,90.68862600000001,0.0,245.31,20.04,22.059,1944.0,193.12348599999999,113.23693500000002,0.0,33.397468,56.056,10.004000000000001,989.097,98.04,30.082,30.082,15.006,2393.9999999999995,2336.9999999999995,12635.939152968,0.0,82.722623283,0.0,48049.999999999985
