region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
TX,biomass,1,1,1,0.0,0.0,1.0958785620000001e7,0.0,189458.9979559196,0.0,0.0,0.0,0.0,2.510907204257575e6,0.0,0.0,0.0,0.0,0.0,2.510907204257575e6,1.1148244617955921e7,-8.637337413698345e6
TX,conventional_hydroelectric,1,1,2,0.0,0.0,2.264505984e7,0.0,0.0,0.0,0.0,0.0,0.0,4.1710576969323093e6,0.0,0.0,0.0,0.0,0.0,4.1710576969323093e6,2.264505984e7,-1.847400214306769e7
TX,conventional_steam_coal,1,1,3,0.0,0.0,4.4570500460428e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4570500460428e8,-4.4570500460428e8
TX,conventional_steam_coal_1,1,2,4,0.0,0.0,5.3519364816479996e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3519364816479996e7,-5.3519364816479996e7
TX,conventional_steam_coal_2,1,3,5,0.0,0.0,3.7001646089519995e8,0.0,73152.10783021466,967098.1119670097,0.0,113114.42030547,0.0,7.62313011591222e6,0.0,0.0,0.0,0.0,0.0,7.62313011591222e6,3.711698255353027e8,-3.635466954193905e8
TX,conventional_steam_coal_3,1,4,6,0.0,0.0,4.1499941118879996e7,0.0,181678.91041457708,2.1453735017941273e6,0.0,0.0,0.0,1.6149898269355938e7,0.0,0.0,0.0,0.0,0.0,1.6149898269355938e7,4.38269935310887e7,-2.7677095261732765e7
TX,natural_gas_fired_combined_cycle,1,1,7,0.0,0.0,1.32296268e7,0.0,45067.112586776224,221944.22953661502,0.0,145195.02146016,0.0,5.141278029250023e6,0.0,0.0,0.0,0.0,0.0,5.141278029250023e6,1.3641833163583552e7,-8.500555134333529e6
TX,natural_gas_fired_combined_cycle_1,1,2,8,0.0,0.0,2.1349476960000005e7,0.0,242974.22451119998,1.3827984863622384e6,0.0,592152.99696,0.0,2.3852012053605195e7,0.0,0.0,0.0,0.0,0.0,2.3852012053605195e7,2.356740266783344e7,284609.3857717551
TX,natural_gas_fired_combined_cycle_2,1,3,9,0.0,0.0,4.6745389440000005e7,0.0,6.9665342878555255e6,2.741191275372223e7,0.0,926099.370984689,0.0,1.4037468089497164e8,0.0,0.0,0.0,0.0,0.0,1.4037468089497164e8,8.204993585256246e7,5.832474504240918e7
TX,natural_gas_fired_combined_cycle_3,1,4,10,0.0,0.0,1.265295076e7,0.0,287931.5837595253,1.126345573533866e6,0.0,462642.4453728,0.0,1.3390714475342045e7,0.0,0.0,0.0,0.0,0.0,1.3390714475342045e7,1.4529870362666192e7,-1.139155887324147e6
TX,natural_gas_fired_combined_cycle_4,1,5,11,0.0,0.0,1.194058624e7,0.0,20664.3718825173,121101.47561932052,0.0,131012.38485215999,0.0,4.9936786877297675e6,0.0,0.0,0.0,0.0,0.0,4.9936786877297675e6,1.2213364472353997e7,-7.219685784624229e6
TX,natural_gas_fired_combined_cycle_5,1,6,12,0.0,0.0,5.10994041e7,0.0,5.480911998739349e6,2.3299661754585292e7,0.0,1.9497216735359996e6,0.0,1.3394703175972652e8,0.0,0.0,0.0,0.0,0.0,1.3394703175972652e8,8.182969952686064e7,5.2117332232865885e7
TX,natural_gas_fired_combined_cycle_6,1,7,13,0.0,0.0,1.7514422400000002e7,0.0,80088.76415472415,521003.2842514302,0.0,323911.318752,0.0,1.1772967214143736e7,0.0,0.0,0.0,0.0,0.0,1.1772967214143736e7,1.8439425767158154e7,-6.666458553014418e6
TX,natural_gas_fired_combined_cycle_7,1,8,14,0.0,0.0,1.748685286e7,0.0,1.0375158309771006e6,3.578634853894699e6,0.0,767574.7161599997,0.0,3.1316381766129877e7,0.0,0.0,0.0,0.0,0.0,3.1316381766129877e7,2.28705782610318e7,8.445803505098078e6
TX,natural_gas_fired_combined_cycle_8,1,9,15,0.0,0.0,1.0217344239999999e8,0.0,1.4722467933662256e7,5.8778079924255915e7,0.0,342221.7168216,0.0,2.6536512692400086e8,0.0,0.0,0.0,0.0,0.0,2.6536512692400086e8,1.7601621197473976e8,8.93489149492611e7
TX,natural_gas_fired_combined_cycle_9,1,10,16,0.0,0.0,5.35498432e6,0.0,191663.6168341439,903710.800517391,0.0,222873.99220799995,0.0,7.976795372549433e6,0.0,0.0,0.0,0.0,0.0,7.976795372549433e6,6.673232729559535e6,1.303562642989898e6
TX,natural_gas_fired_combined_cycle_10,1,11,17,0.0,0.0,4.01977122e6,0.0,21698.998932545273,101315.61915090094,0.0,66167.02511999999,0.0,2.524485752080126e6,0.0,0.0,0.0,0.0,0.0,2.524485752080126e6,4.208952863203446e6,-1.6844671111233202e6
TX,natural_gas_fired_combined_cycle_11,1,12,18,0.0,0.0,1.5067285200000001e7,0.0,89461.97124479999,531259.0833566015,0.0,331672.68288,0.0,1.1809303513978029e7,0.0,0.0,0.0,0.0,0.0,1.1809303513978029e7,1.6019678937481403e7,-4.210375423503375e6
TX,natural_gas_fired_combined_cycle_12,1,13,19,0.0,0.0,1.740204756e7,0.0,519105.45573442674,2.200974210563665e6,0.0,477407.64960000006,0.0,2.549444710490893e7,0.0,0.0,0.0,0.0,0.0,2.549444710490893e7,2.059953487589809e7,4.894912229010839e6
TX,natural_gas_fired_combined_cycle_13,1,14,20,0.0,0.0,7.530195056000002e7,0.0,8.404651214178491e6,3.540982216085901e7,0.0,3.22781928597072e6,0.0,2.2243199681461754e8,0.0,0.0,0.0,0.0,0.0,2.2243199681461754e8,1.2234424322100824e8,1.000877535936093e8
TX,natural_gas_fired_combined_cycle_14,1,15,21,0.0,0.0,8.294186240000001e6,0.0,214591.15209770462,1.1076822921339234e6,0.0,536781.1545599999,0.0,1.4660235009283645e7,0.0,0.0,0.0,0.0,0.0,1.4660235009283645e7,1.015324083879163e7,4.506994170492016e6
TX,natural_gas_fired_combustion_turbine,1,1,22,0.0,0.0,7.4068878e6,0.0,6517.782263520002,35245.36965717505,0.0,82930.71563040001,0.0,3.0535421511575067e6,0.0,0.0,0.0,0.0,0.0,3.0535421511575067e6,7.531581667551095e6,-4.478039516393588e6
