BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,2.8240931952707104e7,70062.78216350164,-82795.74810992475,0.0,0.0,0.0,2.013239310887066,0.0,0.0,-2.8228201e7
t1,39767.063130434784,0.0,-0.0631304347826863,0.0,0.0,0.0,0.0,0.0,0.0,-39767.0
t2,39089.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39089.0
t3,38944.12625960696,0.0,-0.1262596069565146,0.0,0.0,0.0,0.0,0.0,0.0,-38944.0
t4,39346.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39346.0
t5,40604.12625960696,0.0,-0.1262596069565146,0.0,0.0,0.0,0.0,0.0,0.0,-40604.0
t6,43049.063130434784,0.0,-0.0631304347826863,0.0,0.0,0.0,0.0,0.0,0.0,-43049.0
t7,45901.06313043478,0.0,-0.0631304347826863,0.0,0.0,0.0,0.0,0.0,0.0,-45901.0
t8,48049.999999999985,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48050.0
t9,49192.12625960696,0.0,-0.1262596069565146,0.0,0.0,0.0,0.0,0.0,0.0,-49192.0
t10,50339.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50339.0
t11,51354.99999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51355.0
t12,51865.07720503012,71.92279496987854,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51937.0
t13,51666.10535124612,430.8946487538789,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52097.0
t14,51561.21474765312,576.785252346877,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52138.0
t15,51943.99999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51944.0
t16,51828.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51828.0
t17,52009.6050149231,53.39498507688978,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52063.0
t18,52688.9867606891,726.0,-0.0,0.0,0.0,0.0,2.013239310887066,0.0,0.0,-53417.0
t19,53258.99999999998,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53985.0
t20,52917.717589386666,86.28241061332574,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53004.0
t21,51721.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51721.0
t22,49846.999999999985,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49847.0
t23,47246.99999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47247.0
t24,44874.99999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44875.0
t25,43033.99999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43034.0
t26,41994.99999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41995.0
t27,41606.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41606.0
t28,41609.16541171799,0.0,-45.16541171799426,0.0,0.0,0.0,0.0,0.0,0.0,-41564.0
t29,43150.152083766,0.0,-593.1520837659954,0.0,0.0,0.0,0.0,0.0,0.0,-42557.0
t30,44609.00000000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44609.0
t31,47190.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47190.0
t32,48896.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48896.0
t33,49331.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49331.0
t34,49849.647888643,0.0,-304.64788864299175,0.0,0.0,0.0,0.0,0.0,0.0,-49545.0
t35,49411.369230833996,265.6307691659916,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49677.0
t36,48652.58626746618,532.4137325338231,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49185.0
t37,48123.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48123.0
t38,46927.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46927.0
t39,45816.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45816.0
t40,45121.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45121.0
t41,45367.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45367.0
t42,47130.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47130.0
t43,49241.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49241.0
t44,49462.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49462.0
t45,49293.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49293.0
t46,48399.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48399.0
t47,46631.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46631.0
t48,44778.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44778.0
t49,43634.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43634.0
t50,43080.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43080.0
t51,42930.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42930.0
t52,43299.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43299.0
t53,44284.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44284.0
t54,46630.00000000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46630.0
t55,49472.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49472.0
t56,50827.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50827.0
t57,49947.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49947.0
t58,47736.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47736.0
