Region,Resource,Zone,Cluster,AnnualSum
TX,biomass,1,1,9.014000450461082e6
TX,conventional_hydroelectric,1,1,2.7568275007535454e7
TX,conventional_steam_coal,1,1,8.116441071735504e8
TX,conventional_steam_coal_1,1,2,1.336989522647873e7
TX,conventional_steam_coal_2,1,3,8.027739695463576e8
TX,conventional_steam_coal_3,1,4,3.626284380569556e8
TX,natural_gas_fired_combined_cycle,1,1,1.0301667963883561e8
TX,natural_gas_fired_combined_cycle_1,1,2,0.0
TX,natural_gas_fired_combined_cycle_2,1,3,0.0
TX,natural_gas_fired_combined_cycle_3,1,4,1.417189671005609e8
TX,natural_gas_fired_combined_cycle_4,1,5,5.581552369744908e8
TX,natural_gas_fired_combined_cycle_5,1,6,0.0
TX,natural_gas_fired_combined_cycle_6,1,7,0.0
TX,natural_gas_fired_combined_cycle_7,1,8,4.1091606905504036e8
TX,natural_gas_fired_combined_cycle_8,1,9,0.0
TX,natural_gas_fired_combined_cycle_9,1,10,2.617818272428335e8
TX,natural_gas_fired_combined_cycle_10,1,11,0.0
TX,natural_gas_fired_combined_cycle_11,1,12,1.2964009803313923e9
TX,natural_gas_fired_combined_cycle_12,1,13,0.0
TX,natural_gas_fired_combined_cycle_13,1,14,0.0
TX,natural_gas_fired_combined_cycle_14,1,15,0.0
TX,natural_gas_fired_combined_cycle_15,1,16,0.0
TX,natural_gas_fired_combined_cycle_16,1,17,2.5729301918438643e8
TX,natural_gas_fired_combined_cycle_17,1,18,2.6731638241817754e7
TX,natural_gas_fired_combined_cycle_18,1,19,9.511344743359278e7
TX,natural_gas_fired_combined_cycle_19,1,20,0.0
TX,natural_gas_fired_combustion_turbine,1,1,0.0
TX,natural_gas_fired_combustion_turbine_1,1,2,0.0
TX,natural_gas_fired_combustion_turbine_2,1,3,0.0
TX,natural_gas_fired_combustion_turbine_3,1,4,0.0
TX,natural_gas_fired_combustion_turbine_4,1,5,0.0
TX,natural_gas_fired_combustion_turbine_5,1,6,0.0
TX,natural_gas_fired_combustion_turbine_6,1,7,0.0
TX,natural_gas_fired_combustion_turbine_7,1,8,0.0
TX,natural_gas_fired_combustion_turbine_8,1,9,1.6657440515385147e6
TX,natural_gas_fired_combustion_turbine_9,1,10,6.300102656237749e6
TX,natural_gas_fired_combustion_turbine_10,1,11,0.0
TX,natural_gas_fired_combustion_turbine_11,1,12,0.0
TX,natural_gas_fired_combustion_turbine_12,1,13,0.0
TX,natural_gas_fired_combustion_turbine_13,1,14,0.0
TX,natural_gas_fired_combustion_turbine_14,1,15,0.0
TX,natural_gas_fired_combustion_turbine_15,1,16,0.0
TX,natural_gas_fired_combustion_turbine_16,1,17,0.0
TX,natural_gas_fired_combustion_turbine_17,1,18,0.0
TX,natural_gas_fired_combustion_turbine_18,1,19,3633.867739950312
TX,natural_gas_fired_combustion_turbine_19,1,20,0.0
TX,natural_gas_steam_turbine,1,1,0.0
TX,natural_gas_steam_turbine_1,1,2,0.0
TX,natural_gas_steam_turbine_2,1,3,302236.2971027537
TX,natural_gas_steam_turbine_3,1,4,0.0
TX,natural_gas_steam_turbine_4,1,5,0.0
TX,natural_gas_steam_turbine_5,1,6,0.0
TX,natural_gas_steam_turbine_6,1,7,0.0
TX,natural_gas_steam_turbine_7,1,8,0.0
TX,natural_gas_steam_turbine_8,1,9,0.0
TX,natural_gas_steam_turbine_9,1,10,0.0
TX,natural_gas_steam_turbine_10,1,11,0.0
TX,natural_gas_steam_turbine_11,1,12,0.0
TX,natural_gas_steam_turbine_12,1,13,0.0
TX,natural_gas_steam_turbine_13,1,14,0.0
TX,natural_gas_steam_turbine_14,1,15,0.0
TX,natural_gas_steam_turbine_15,1,16,0.0
TX,natural_gas_steam_turbine_16,1,17,0.0
TX,natural_gas_steam_turbine_17,1,18,0.0
TX,natural_gas_steam_turbine_18,1,19,0.0
TX,natural_gas_steam_turbine_19,1,20,0.0
TX,nuclear,1,1,3.364021393839347e8
TX,nuclear_1,1,2,3.232574538736519e8
TX,onshore_wind_turbine,1,1,5.425161953526227e8
TX,small_hydroelectric,1,1,0.0
TX,solar_photovoltaic,1,1,6.731773826942347e6
