Resource,Zone,AnnualSum,Capacity,CapacityFactor
biomass,1,53024.707999999875,68.596,0.9760101010100987
conventional_hydroelectric,1,5925.715681599121,467.896,0.015990656565654193
conventional_steam_coal,1,2.8579858034411934e6,6722.0,0.5368295051529114
conventional_steam_coal_1,1,61193.90124199997,698.001,0.11069472224353122
conventional_steam_coal_2,1,3.6816290600430025e6,6335.001,0.733783868456901
conventional_steam_coal_3,1,2.064195078828006e6,2772.6,0.9400226926755135
natural_gas_fired_combined_cycle,1,567218.8599680008,793.002,0.9031319331508952
natural_gas_fired_combined_cycle_1,1,0.0,780.099,0.0
natural_gas_fired_combined_cycle_2,1,0.0,2121.0,0.0
natural_gas_fired_combined_cycle_3,1,736087.5921033983,1100.3039999999999,0.8446788572822408
natural_gas_fired_combined_cycle_4,1,1.998802502865804e6,4644.003,0.5434407630489191
natural_gas_fired_combined_cycle_5,1,0.0,745.701,0.0
natural_gas_fired_combined_cycle_6,1,0.0,703.899,0.0
natural_gas_fired_combined_cycle_7,1,351202.42425519996,4029.0,0.11006140589789681
natural_gas_fired_combined_cycle_8,1,0.0,1740.3,0.0
natural_gas_fired_combined_cycle_9,1,1.4275377663279984e6,2018.4009999999998,0.8930072243605526
natural_gas_fired_combined_cycle_10,1,0.0,1031.0,0.0
natural_gas_fired_combined_cycle_11,1,5.839789381382793e6,10296.594000000001,0.7161078159573826
natural_gas_fired_combined_cycle_12,1,0.0,532.2,0.0
natural_gas_fired_combined_cycle_13,1,0.0,237.0,0.0
natural_gas_fired_combined_cycle_14,1,0.0,1188.0,0.0
natural_gas_fired_combined_cycle_15,1,0.0,1026.0,0.0
natural_gas_fired_combined_cycle_16,1,59237.01916040002,7481.001,0.009997888800123965
natural_gas_fired_combined_cycle_17,1,153679.47524700037,204.0,0.9511752033013986
natural_gas_fired_combined_cycle_18,1,234649.7799908001,870.9,0.3401940231207472
natural_gas_fired_combined_cycle_19,1,0.0,824.0,0.0
natural_gas_fired_combustion_turbine,1,0.0,541.008,0.0
natural_gas_fired_combustion_turbine_1,1,0.0,741.004,0.0
natural_gas_fired_combustion_turbine_2,1,0.0,1089.403,0.0
natural_gas_fired_combustion_turbine_3,1,0.0,81.0,0.0
natural_gas_fired_combustion_turbine_4,1,0.0,1384.5120000000002,0.0
natural_gas_fired_combustion_turbine_5,1,0.0,180.0,0.0
natural_gas_fired_combustion_turbine_6,1,0.0,90.6,0.0
natural_gas_fired_combustion_turbine_7,1,0.0,13.0,0.0
natural_gas_fired_combustion_turbine_8,1,13121.292029999975,353.502,0.04686617873920553
natural_gas_fired_combustion_turbine_9,1,37105.44000000004,48.0,0.9760479797979807
natural_gas_fired_combustion_turbine_10,1,0.0,557.004,0.0
natural_gas_fired_combustion_turbine_11,1,0.0,1539.0,0.0
natural_gas_fired_combustion_turbine_12,1,0.0,846.001,0.0
natural_gas_fired_combustion_turbine_13,1,0.0,336.0,0.0
natural_gas_fired_combustion_turbine_14,1,0.0,208.0,0.0
natural_gas_fired_combustion_turbine_15,1,0.0,546.997,0.0
natural_gas_fired_combustion_turbine_16,1,0.0,41.0,0.0
natural_gas_fired_combustion_turbine_17,1,0.0,276.198,0.0
natural_gas_fired_combustion_turbine_18,1,111.64374640002828,240.0,0.0005873513594277581
natural_gas_fired_combustion_turbine_19,1,0.0,84.0,0.0
natural_gas_steam_turbine,1,0.0,825.0,0.0
natural_gas_steam_turbine_1,1,0.0,521.1990000000001,0.0
natural_gas_steam_turbine_2,1,1821.6000000000074,2.3,1.0000000000000042
natural_gas_steam_turbine_3,1,0.0,17.5,0.0
natural_gas_steam_turbine_4,1,0.0,1326.0,0.0
natural_gas_steam_turbine_5,1,0.0,167.0,0.0
natural_gas_steam_turbine_6,1,0.0,171.0,0.0
natural_gas_steam_turbine_7,1,0.0,2160.0,0.0
natural_gas_steam_turbine_8,1,0.0,1265.001,0.0
natural_gas_steam_turbine_9,1,0.0,844.002,0.0
natural_gas_steam_turbine_10,1,0.0,1495.0,0.0
natural_gas_steam_turbine_11,1,0.0,248.001,0.0
natural_gas_steam_turbine_12,1,0.0,392.0,0.0
natural_gas_steam_turbine_13,1,0.0,480.0,0.0
natural_gas_steam_turbine_14,1,0.0,61.0,0.0
natural_gas_steam_turbine_15,1,0.0,1461.0,0.0
natural_gas_steam_turbine_16,1,0.0,430.0,0.0
natural_gas_steam_turbine_17,1,0.0,169.0,0.0
natural_gas_steam_turbine_18,1,0.0,169.0,0.0
natural_gas_steam_turbine_19,1,0.0,122.0,0.0
nuclear,1,2.0275200000000016e6,2560.0,1.0000000000000009
nuclear_1,1,1.943218870204994e6,2460.0,0.9973817803055935
onshore_wind_turbine,1,7.292422488532999e6,24925.4,0.3694064750089519
small_hydroelectric,1,0.0,15.751000000000001,0.0
solar_photovoltaic,1,92081.20884999994,596.0,0.19507408152413383
