Unnamed: 0.1.1.1.1.1,Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Year
4343,5000.0,1.0,1.0,1000.0,1.0,744.0,1.0,4344,41884,1970
4344,,,,,,,,4345,39632,1970
4345,,,,,,,,4346,38213,1970
4346,,,,,,,,4347,37432,1970
4347,,,,,,,,4348,37526,1970
4348,,,,,,,,4349,38713,1970
4349,,,,,,,,4350,40261,1970
4350,,,,,,,,4351,41764,1970
4351,,,,,,,,4352,44469,1970
4352,,,,,,,,4353,47883,1970
4353,,,,,,,,4354,51730,1970
4354,,,,,,,,4355,55375,1970
4355,,,,,,,,4356,58366,1970
4356,,,,,,,,4357,60844,1970
4357,,,,,,,,4358,62702,1970
4358,,,,,,,,4359,63980,1970
4359,,,,,,,,4360,64675,1970
4360,,,,,,,,4361,64082,1970
4361,,,,,,,,4362,62265,1970
4362,,,,,,,,4363,59605,1970
4363,,,,,,,,4364,57372,1970
4364,,,,,,,,4365,55841,1970
4365,,,,,,,,4366,52273,1970
4366,,,,,,,,4367,48370,1970
4367,,,,,,,,4368,44979,1970
4368,,,,,,,,4369,42546,1970
4369,,,,,,,,4370,40925,1970
4370,,,,,,,,4371,40080,1970
4371,,,,,,,,4372,40014,1970
4372,,,,,,,,4373,41162,1970
4373,,,,,,,,4374,42561,1970
4374,,,,,,,,4375,43761,1970
4375,,,,,,,,4376,46358,1970
4376,,,,,,,,4377,49674,1970
4377,,,,,,,,4378,53351,1970
4378,,,,,,,,4379,56744,1970
4379,,,,,,,,4380,59125,1970
4380,,,,,,,,4381,60921,1970
4381,,,,,,,,4382,62133,1970
4382,,,,,,,,4383,62867,1970
4383,,,,,,,,4384,63339,1970
4384,,,,,,,,4385,62800,1970
4385,,,,,,,,4386,61209,1970
4386,,,,,,,,4387,58941,1970
4387,,,,,,,,4388,56641,1970
4388,,,,,,,,4389,54800,1970
4389,,,,,,,,4390,51181,1970
4390,,,,,,,,4391,47222,1970
4391,,,,,,,,4392,44036,1970
4392,,,,,,,,4393,41790,1970
4393,,,,,,,,4394,40147,1970
4394,,,,,,,,4395,39112,1970
4395,,,,,,,,4396,39070,1970
4396,,,,,,,,4397,40100,1970
4397,,,,,,,,4398,41656,1970
4398,,,,,,,,4399,43014,1970
4399,,,,,,,,4400,45440,1970
4400,,,,,,,,4401,48429,1970
4401,,,,,,,,4402,51293,1970
4402,,,,,,,,4403,53699,1970
4403,,,,,,,,4404,55576,1970
4404,,,,,,,,4405,57616,1970
4405,,,,,,,,4406,59435,1970
4406,,,,,,,,4407,61218,1970
4407,,,,,,,,4408,61969,1970
4408,,,,,,,,4409,61274,1970
4409,,,,,,,,4410,59390,1970
4410,,,,,,,,4411,56941,1970
4411,,,,,,,,4412,54776,1970
4412,,,,,,,,4413,53199,1970
4413,,,,,,,,4414,50274,1970
4414,,,,,,,,4415,46900,1970
4415,,,,,,,,4416,43961,1970
4416,,,,,,,,4417,41872,1970
4417,,,,,,,,4418,40462,1970
4418,,,,,,,,4419,39510,1970
4419,,,,,,,,4420,39027,1970
4420,,,,,,,,4421,39167,1970
4421,,,,,,,,4422,39411,1970
4422,,,,,,,,4423,39774,1970
4423,,,,,,,,4424,42001,1970
4424,,,,,,,,4425,45544,1970
4425,,,,,,,,4426,49525,1970
4426,,,,,,,,4427,53023,1970
4427,,,,,,,,4428,56133,1970
4428,,,,,,,,4429,58830,1970
4429,,,,,,,,4430,60750,1970
4430,,,,,,,,4431,62083,1970
4431,,,,,,,,4432,62533,1970
4432,,,,,,,,4433,62087,1970
4433,,,,,,,,4434,60533,1970
4434,,,,,,,,4435,57895,1970
4435,,,,,,,,4436,55214,1970
4436,,,,,,,,4437,53216,1970
4437,,,,,,,,4438,51098,1970
4438,,,,,,,,4439,48856,1970
4439,,,,,,,,4440,45977,1970
4440,,,,,,,,4441,43619,1970
4441,,,,,,,,4442,41859,1970
4442,,,,,,,,4443,40789,1970
4443,,,,,,,,4444,40502,1970
4444,,,,,,,,4445,41232,1970
4445,,,,,,,,4446,42060,1970
4446,,,,,,,,4447,42988,1970
4447,,,,,,,,4448,45640,1970
4448,,,,,,,,4449,49258,1970
4449,,,,,,,,4450,52967,1970
4450,,,,,,,,4451,56452,1970
4451,,,,,,,,4452,59491,1970
4452,,,,,,,,4453,62126,1970
4453,,,,,,,,4454,64240,1970
4454,,,,,,,,4455,65913,1970
4455,,,,,,,,4456,66722,1970
4456,,,,,,,,4457,66527,1970
4457,,,,,,,,4458,64875,1970
4458,,,,,,,,4459,62227,1970
4459,,,,,,,,4460,59413,1970
4460,,,,,,,,4461,57376,1970
4461,,,,,,,,4462,54141,1970
4462,,,,,,,,4463,50613,1970
4463,,,,,,,,4464,47148,1970
4464,,,,,,,,4465,44534,1970
4465,,,,,,,,4466,42533,1970
4466,,,,,,,,4467,41131,1970
4467,,,,,,,,4468,40234,1970
4468,,,,,,,,4469,39926,1970
4469,,,,,,,,4470,39666,1970
4470,,,,,,,,4471,40409,1970
4471,,,,,,,,4472,43323,1970
4472,,,,,,,,4473,47114,1970
4473,,,,,,,,4474,51135,1970
4474,,,,,,,,4475,54907,1970
4475,,,,,,,,4476,58293,1970
4476,,,,,,,,4477,61118,1970
4477,,,,,,,,4478,63256,1970
4478,,,,,,,,4479,64679,1970
4479,,,,,,,,4480,65392,1970
4480,,,,,,,,4481,64737,1970
4481,,,,,,,,4482,62150,1970
4482,,,,,,,,4483,58778,1970
4483,,,,,,,,4484,56243,1970
4484,,,,,,,,4485,54246,1970
4485,,,,,,,,4486,51227,1970
4486,,,,,,,,4487,47948,1970
4487,,,,,,,,4488,44931,1970
4488,,,,,,,,4489,42539,1970
4489,,,,,,,,4490,40706,1970
4490,,,,,,,,4491,39443,1970
4491,,,,,,,,4492,38639,1970
4492,,,,,,,,4493,38324,1970
4493,,,,,,,,4494,38102,1970
4494,,,,,,,,4495,38767,1970
4495,,,,,,,,4496,41908,1970
4496,,,,,,,,4497,46056,1970
4497,,,,,,,,4498,50272,1970
4498,,,,,,,,4499,54276,1970
4499,,,,,,,,4500,57859,1970
4500,,,,,,,,4501,60963,1970
4501,,,,,,,,4502,63312,1970
4502,,,,,,,,4503,65017,1970
4503,,,,,,,,4504,66018,1970
4504,,,,,,,,4505,66062,1970
4505,,,,,,,,4506,64959,1970
4506,,,,,,,,4507,62881,1970
4507,,,,,,,,4508,60385,1970
4508,,,,,,,,4509,58428,1970
4509,,,,,,,,4510,54836,1970
4510,,,,,,,,4511,50876,1970
4511,,,,,,,,4512,47287,1970
4512,,,,,,,,4513,44609,1970
4513,,,,,,,,4514,42699,1970
4514,,,,,,,,4515,41555,1970
4515,,,,,,,,4516,41336,1970
4516,,,,,,,,4517,42310,1970
4517,,,,,,,,4518,43612,1970
4518,,,,,,,,4519,44952,1970
4519,,,,,,,,4520,47774,1970
4520,,,,,,,,4521,51495,1970
4521,,,,,,,,4522,55721,1970
4522,,,,,,,,4523,59537,1970
4523,,,,,,,,4524,62906,1970
4524,,,,,,,,4525,65807,1970
4525,,,,,,,,4526,67867,1970
4526,,,,,,,,4527,68609,1970
4527,,,,,,,,4528,68048,1970
4528,,,,,,,,4529,66393,1970
4529,,,,,,,,4530,63833,1970
4530,,,,,,,,4531,61268,1970
4531,,,,,,,,4532,59112,1970
4532,,,,,,,,4533,57239,1970
4533,,,,,,,,4534,53656,1970
4534,,,,,,,,4535,49793,1970
4535,,,,,,,,4536,46468,1970
4536,,,,,,,,4537,44124,1970
4537,,,,,,,,4538,42443,1970
4538,,,,,,,,4539,41596,1970
4539,,,,,,,,4540,41596,1970
4540,,,,,,,,4541,42791,1970
4541,,,,,,,,4542,44185,1970
4542,,,,,,,,4543,45434,1970
4543,,,,,,,,4544,47903,1970
4544,,,,,,,,4545,51265,1970
4545,,,,,,,,4546,55100,1970
4546,,,,,,,,4547,58839,1970
4547,,,,,,,,4548,62360,1970
4548,,,,,,,,4549,65590,1970
4549,,,,,,,,4550,68095,1970
4550,,,,,,,,4551,69408,1970
4551,,,,,,,,4552,69977,1970
4552,,,,,,,,4553,69903,1970
4553,,,,,,,,4554,69000,1970
4554,,,,,,,,4555,66915,1970
4555,,,,,,,,4556,64357,1970
4556,,,,,,,,4557,62120,1970
4557,,,,,,,,4558,58111,1970
4558,,,,,,,,4559,53736,1970
4559,,,,,,,,4560,49905,1970
4560,,,,,,,,4561,46995,1970
4561,,,,,,,,4562,44795,1970
4562,,,,,,,,4563,43380,1970
4563,,,,,,,,4564,42954,1970
4564,,,,,,,,4565,43824,1970
4565,,,,,,,,4566,44967,1970
4566,,,,,,,,4567,46127,1970
4567,,,,,,,,4568,49085,1970
4568,,,,,,,,4569,53008,1970
4569,,,,,,,,4570,57386,1970
4570,,,,,,,,4571,61693,1970
4571,,,,,,,,4572,65436,1970
4572,,,,,,,,4573,68659,1970
4573,,,,,,,,4574,70618,1970
4574,,,,,,,,4575,71430,1970
4575,,,,,,,,4576,71519,1970
4576,,,,,,,,4577,70853,1970
4577,,,,,,,,4578,67836,1970
4578,,,,,,,,4579,64352,1970
4579,,,,,,,,4580,61631,1970
4580,,,,,,,,4581,58908,1970
4581,,,,,,,,4582,54761,1970
4582,,,,,,,,4583,50460,1970
4583,,,,,,,,4584,46646,1970
4584,,,,,,,,4585,43912,1970
4585,,,,,,,,4586,41971,1970
4586,,,,,,,,4587,40743,1970
4587,,,,,,,,4588,40396,1970
4588,,,,,,,,4589,41295,1970
4589,,,,,,,,4590,42610,1970
4590,,,,,,,,4591,43576,1970
4591,,,,,,,,4592,45626,1970
4592,,,,,,,,4593,48744,1970
4593,,,,,,,,4594,53020,1970
4594,,,,,,,,4595,57272,1970
4595,,,,,,,,4596,61120,1970
4596,,,,,,,,4597,64620,1970
4597,,,,,,,,4598,67114,1970
4598,,,,,,,,4599,68669,1970
4599,,,,,,,,4600,69535,1970
4600,,,,,,,,4601,69390,1970
4601,,,,,,,,4602,67863,1970
4602,,,,,,,,4603,65453,1970
4603,,,,,,,,4604,62812,1970
4604,,,,,,,,4605,60649,1970
4605,,,,,,,,4606,56745,1970
4606,,,,,,,,4607,52436,1970
4607,,,,,,,,4608,48585,1970
4608,,,,,,,,4609,45634,1970
4609,,,,,,,,4610,43475,1970
4610,,,,,,,,4611,42041,1970
4611,,,,,,,,4612,41471,1970
4612,,,,,,,,4613,42128,1970
4613,,,,,,,,4614,43144,1970
4614,,,,,,,,4615,44324,1970
4615,,,,,,,,4616,47089,1970
4616,,,,,,,,4617,50945,1970
4617,,,,,,,,4618,55191,1970
4618,,,,,,,,4619,58832,1970
4619,,,,,,,,4620,61882,1970
4620,,,,,,,,4621,64551,1970
4621,,,,,,,,4622,66321,1970
4622,,,,,,,,4623,67491,1970
4623,,,,,,,,4624,67831,1970
4624,,,,,,,,4625,67307,1970
4625,,,,,,,,4626,65452,1970
4626,,,,,,,,4627,62741,1970
4627,,,,,,,,4628,59947,1970
4628,,,,,,,,4629,57695,1970
4629,,,,,,,,4630,54169,1970
4630,,,,,,,,4631,50289,1970
4631,,,,,,,,4632,46745,1970
4632,,,,,,,,4633,43867,1970
4633,,,,,,,,4634,41725,1970
4634,,,,,,,,4635,40278,1970
4635,,,,,,,,4636,39477,1970
4636,,,,,,,,4637,39530,1970
4637,,,,,,,,4638,39647,1970
4638,,,,,,,,4639,40616,1970
4639,,,,,,,,4640,43930,1970
4640,,,,,,,,4641,48179,1970
4641,,,,,,,,4642,52436,1970
4642,,,,,,,,4643,56246,1970
4643,,,,,,,,4644,59152,1970
4644,,,,,,,,4645,60894,1970
4645,,,,,,,,4646,62056,1970
4646,,,,,,,,4647,62964,1970
4647,,,,,,,,4648,63612,1970
4648,,,,,,,,4649,63582,1970
4649,,,,,,,,4650,62193,1970
4650,,,,,,,,4651,60084,1970
4651,,,,,,,,4652,57812,1970
4652,,,,,,,,4653,56252,1970
4653,,,,,,,,4654,53451,1970
4654,,,,,,,,4655,50222,1970
4655,,,,,,,,4656,46998,1970
4656,,,,,,,,4657,44345,1970
4657,,,,,,,,4658,42362,1970
4658,,,,,,,,4659,40937,1970
4659,,,,,,,,4660,40066,1970
4660,,,,,,,,4661,39781,1970
4661,,,,,,,,4662,39546,1970
4662,,,,,,,,4663,39988,1970
4663,,,,,,,,4664,42540,1970
4664,,,,,,,,4665,46043,1970
4665,,,,,,,,4666,49550,1970
4666,,,,,,,,4667,52666,1970
4667,,,,,,,,4668,55348,1970
4668,,,,,,,,4669,57539,1970
4669,,,,,,,,4670,59391,1970
4670,,,,,,,,4671,60752,1970
4671,,,,,,,,4672,61387,1970
4672,,,,,,,,4673,61453,1970
4673,,,,,,,,4674,60795,1970
4674,,,,,,,,4675,59077,1970
4675,,,,,,,,4676,57050,1970
4676,,,,,,,,4677,55557,1970
4677,,,,,,,,4678,52348,1970
4678,,,,,,,,4679,48497,1970
4679,,,,,,,,4680,45236,1970
4680,,,,,,,,4681,42939,1970
4681,,,,,,,,4682,41432,1970
4682,,,,,,,,4683,40617,1970
4683,,,,,,,,4684,40661,1970
4684,,,,,,,,4685,41821,1970
4685,,,,,,,,4686,43394,1970
4686,,,,,,,,4687,44672,1970
4687,,,,,,,,4688,47330,1970
4688,,,,,,,,4689,50736,1970
4689,,,,,,,,4690,54790,1970
4690,,,,,,,,4691,58728,1970
4691,,,,,,,,4692,61758,1970
4692,,,,,,,,4693,64296,1970
4693,,,,,,,,4694,66265,1970
4694,,,,,,,,4695,67579,1970
4695,,,,,,,,4696,68490,1970
4696,,,,,,,,4697,68098,1970
4697,,,,,,,,4698,66946,1970
4698,,,,,,,,4699,65019,1970
4699,,,,,,,,4700,62643,1970
4700,,,,,,,,4701,60654,1970
4701,,,,,,,,4702,56932,1970
4702,,,,,,,,4703,52845,1970
4703,,,,,,,,4704,49378,1970
4704,,,,,,,,4705,46844,1970
4705,,,,,,,,4706,44964,1970
4706,,,,,,,,4707,43942,1970
4707,,,,,,,,4708,43845,1970
4708,,,,,,,,4709,45078,1970
4709,,,,,,,,4710,46654,1970
4710,,,,,,,,4711,47802,1970
4711,,,,,,,,4712,50401,1970
4712,,,,,,,,4713,54069,1970
4713,,,,,,,,4714,58076,1970
4714,,,,,,,,4715,61879,1970
4715,,,,,,,,4716,65148,1970
4716,,,,,,,,4717,68191,1970
4717,,,,,,,,4718,70314,1970
4718,,,,,,,,4719,71193,1970
4719,,,,,,,,4720,71130,1970
4720,,,,,,,,4721,70428,1970
4721,,,,,,,,4722,69103,1970
4722,,,,,,,,4723,66804,1970
4723,,,,,,,,4724,64080,1970
4724,,,,,,,,4725,61969,1970
4725,,,,,,,,4726,58035,1970
4726,,,,,,,,4727,53748,1970
4727,,,,,,,,4728,50262,1970
4728,,,,,,,,4729,47697,1970
4729,,,,,,,,4730,45898,1970
4730,,,,,,,,4731,44780,1970
4731,,,,,,,,4732,44460,1970
4732,,,,,,,,4733,45340,1970
4733,,,,,,,,4734,46559,1970
4734,,,,,,,,4735,47613,1970
4735,,,,,,,,4736,50207,1970
4736,,,,,,,,4737,53731,1970
4737,,,,,,,,4738,57518,1970
4738,,,,,,,,4739,61164,1970
4739,,,,,,,,4740,64391,1970
4740,,,,,,,,4741,67168,1970
4741,,,,,,,,4742,68971,1970
4742,,,,,,,,4743,70121,1970
4743,,,,,,,,4744,70683,1970
4744,,,,,,,,4745,70392,1970
4745,,,,,,,,4746,68992,1970
4746,,,,,,,,4747,66610,1970
4747,,,,,,,,4748,63808,1970
4748,,,,,,,,4749,61644,1970
4749,,,,,,,,4750,57869,1970
4750,,,,,,,,4751,53721,1970
4751,,,,,,,,4752,50153,1970
4752,,,,,,,,4753,47571,1970
4753,,,,,,,,4754,45611,1970
4754,,,,,,,,4755,44323,1970
4755,,,,,,,,4756,44019,1970
4756,,,,,,,,4757,44908,1970
4757,,,,,,,,4758,46106,1970
4758,,,,,,,,4759,47194,1970
4759,,,,,,,,4760,49946,1970
4760,,,,,,,,4761,53464,1970
4761,,,,,,,,4762,57122,1970
4762,,,,,,,,4763,60733,1970
4763,,,,,,,,4764,63921,1970
4764,,,,,,,,4765,66884,1970
4765,,,,,,,,4766,69274,1970
4766,,,,,,,,4767,70775,1970
4767,,,,,,,,4768,71058,1970
4768,,,,,,,,4769,70598,1970
4769,,,,,,,,4770,69256,1970
4770,,,,,,,,4771,66965,1970
4771,,,,,,,,4772,64106,1970
4772,,,,,,,,4773,62064,1970
4773,,,,,,,,4774,58336,1970
4774,,,,,,,,4775,54098,1970
4775,,,,,,,,4776,50573,1970
4776,,,,,,,,4777,47889,1970
4777,,,,,,,,4778,45890,1970
4778,,,,,,,,4779,44543,1970
4779,,,,,,,,4780,44023,1970
4780,,,,,,,,4781,44610,1970
4781,,,,,,,,4782,45558,1970
4782,,,,,,,,4783,46641,1970
4783,,,,,,,,4784,49520,1970
4784,,,,,,,,4785,53239,1970
4785,,,,,,,,4786,57079,1970
4786,,,,,,,,4787,60680,1970
4787,,,,,,,,4788,63944,1970
4788,,,,,,,,4789,66890,1970
4789,,,,,,,,4790,69094,1970
4790,,,,,,,,4791,70410,1970
4791,,,,,,,,4792,70858,1970
4792,,,,,,,,4793,70337,1970
4793,,,,,,,,4794,68828,1970
4794,,,,,,,,4795,66144,1970
4795,,,,,,,,4796,63255,1970
4796,,,,,,,,4797,61183,1970
4797,,,,,,,,4798,57764,1970
4798,,,,,,,,4799,54098,1970
4799,,,,,,,,4800,50644,1970
4800,,,,,,,,4801,47992,1970
4801,,,,,,,,4802,45983,1970
4802,,,,,,,,4803,44521,1970
4803,,,,,,,,4804,43587,1970
4804,,,,,,,,4805,43208,1970
4805,,,,,,,,4806,43073,1970
4806,,,,,,,,4807,43661,1970
4807,,,,,,,,4808,46858,1970
4808,,,,,,,,4809,50892,1970
4809,,,,,,,,4810,55008,1970
4810,,,,,,,,4811,58745,1970
4811,,,,,,,,4812,62021,1970
4812,,,,,,,,4813,64713,1970
4813,,,,,,,,4814,66663,1970
4814,,,,,,,,4815,68035,1970
4815,,,,,,,,4816,68740,1970
4816,,,,,,,,4817,68377,1970
4817,,,,,,,,4818,66962,1970
4818,,,,,,,,4819,64572,1970
4819,,,,,,,,4820,61776,1970
4820,,,,,,,,4821,59842,1970
4821,,,,,,,,4822,56487,1970
4822,,,,,,,,4823,53019,1970
4823,,,,,,,,4824,49727,1970
4824,,,,,,,,4825,47056,1970
4825,,,,,,,,4826,44952,1970
4826,,,,,,,,4827,43280,1970
4827,,,,,,,,4828,42055,1970
4828,,,,,,,,4829,41307,1970
4829,,,,,,,,4830,40774,1970
4830,,,,,,,,4831,41170,1970
4831,,,,,,,,4832,44129,1970
4832,,,,,,,,4833,48154,1970
4833,,,,,,,,4834,52285,1970
4834,,,,,,,,4835,56240,1970
4835,,,,,,,,4836,59974,1970
4836,,,,,,,,4837,62886,1970
4837,,,,,,,,4838,64683,1970
4838,,,,,,,,4839,66014,1970
4839,,,,,,,,4840,66593,1970
4840,,,,,,,,4841,66605,1970
4841,,,,,,,,4842,65579,1970
4842,,,,,,,,4843,63516,1970
4843,,,,,,,,4844,61310,1970
4844,,,,,,,,4845,59486,1970
4845,,,,,,,,4846,55913,1970
4846,,,,,,,,4847,51821,1970
4847,,,,,,,,4848,48284,1970
4848,,,,,,,,4849,45637,1970
4849,,,,,,,,4850,43883,1970
4850,,,,,,,,4851,42853,1970
4851,,,,,,,,4852,42630,1970
4852,,,,,,,,4853,43636,1970
4853,,,,,,,,4854,45165,1970
4854,,,,,,,,4855,46257,1970
4855,,,,,,,,4856,48598,1970
4856,,,,,,,,4857,51969,1970
4857,,,,,,,,4858,55565,1970
4858,,,,,,,,4859,59231,1970
4859,,,,,,,,4860,62347,1970
4860,,,,,,,,4861,64500,1970
4861,,,,,,,,4862,65898,1970
4862,,,,,,,,4863,66630,1970
4863,,,,,,,,4864,66632,1970
4864,,,,,,,,4865,65941,1970
4865,,,,,,,,4866,64474,1970
4866,,,,,,,,4867,62160,1970
4867,,,,,,,,4868,59890,1970
4868,,,,,,,,4869,57778,1970
4869,,,,,,,,4870,53861,1970
4870,,,,,,,,4871,49726,1970
4871,,,,,,,,4872,46229,1970
4872,,,,,,,,4873,43833,1970
4873,,,,,,,,4874,42122,1970
4874,,,,,,,,4875,41039,1970
4875,,,,,,,,4876,40836,1970
4876,,,,,,,,4877,41727,1970
4877,,,,,,,,4878,43083,1970
4878,,,,,,,,4879,44045,1970
4879,,,,,,,,4880,45896,1970
4880,,,,,,,,4881,48313,1970
4881,,,,,,,,4882,50986,1970
4882,,,,,,,,4883,53458,1970
4883,,,,,,,,4884,55678,1970
4884,,,,,,,,4885,57633,1970
4885,,,,,,,,4886,59154,1970
4886,,,,,,,,4887,60574,1970
4887,,,,,,,,4888,61358,1970
4888,,,,,,,,4889,61326,1970
4889,,,,,,,,4890,60122,1970
4890,,,,,,,,4891,57828,1970
4891,,,,,,,,4892,55432,1970
4892,,,,,,,,4893,53448,1970
4893,,,,,,,,4894,49665,1970
4894,,,,,,,,4895,45612,1970
4895,,,,,,,,4896,42232,1970
4896,,,,,,,,4897,39851,1970
4897,,,,,,,,4898,38173,1970
4898,,,,,,,,4899,37105,1970
4899,,,,,,,,4900,36898,1970
4900,,,,,,,,4901,37820,1970
4901,,,,,,,,4902,39228,1970
4902,,,,,,,,4903,40149,1970
4903,,,,,,,,4904,42353,1970
4904,,,,,,,,4905,45105,1970
4905,,,,,,,,4906,48092,1970
4906,,,,,,,,4907,50905,1970
4907,,,,,,,,4908,53497,1970
4908,,,,,,,,4909,56077,1970
4909,,,,,,,,4910,58239,1970
4910,,,,,,,,4911,60110,1970
4911,,,,,,,,4912,61333,1970
4912,,,,,,,,4913,61395,1970
4913,,,,,,,,4914,60034,1970
4914,,,,,,,,4915,57428,1970
4915,,,,,,,,4916,54502,1970
4916,,,,,,,,4917,52041,1970
4917,,,,,,,,4918,48212,1970
4918,,,,,,,,4919,43984,1970
4919,,,,,,,,4920,40556,1970
4920,,,,,,,,4921,38034,1970
4921,,,,,,,,4922,36311,1970
4922,,,,,,,,4923,35214,1970
4923,,,,,,,,4924,35021,1970
4924,,,,,,,,4925,36155,1970
4925,,,,,,,,4926,37621,1970
4926,,,,,,,,4927,38771,1970
4927,,,,,,,,4928,41057,1970
4928,,,,,,,,4929,44005,1970
4929,,,,,,,,4930,47126,1970
4930,,,,,,,,4931,50006,1970
4931,,,,,,,,4932,52846,1970
4932,,,,,,,,4933,55846,1970
4933,,,,,,,,4934,58412,1970
4934,,,,,,,,4935,60479,1970
4935,,,,,,,,4936,61743,1970
4936,,,,,,,,4937,61777,1970
4937,,,,,,,,4938,60395,1970
4938,,,,,,,,4939,57980,1970
4939,,,,,,,,4940,55290,1970
4940,,,,,,,,4941,53113,1970
4941,,,,,,,,4942,49335,1970
4942,,,,,,,,4943,45328,1970
4943,,,,,,,,4944,41769,1970
4944,,,,,,,,4945,39193,1970
4945,,,,,,,,4946,37443,1970
4946,,,,,,,,4947,36405,1970
4947,,,,,,,,4948,36102,1970
4948,,,,,,,,4949,36985,1970
4949,,,,,,,,4950,38292,1970
4950,,,,,,,,4951,39421,1970
4951,,,,,,,,4952,42001,1970
4952,,,,,,,,4953,45346,1970
4953,,,,,,,,4954,49203,1970
4954,,,,,,,,4955,52751,1970
4955,,,,,,,,4956,55684,1970
4956,,,,,,,,4957,58463,1970
4957,,,,,,,,4958,60687,1970
4958,,,,,,,,4959,62370,1970
4959,,,,,,,,4960,63201,1970
4960,,,,,,,,4961,62809,1970
4961,,,,,,,,4962,61059,1970
4962,,,,,,,,4963,58577,1970
4963,,,,,,,,4964,56053,1970
4964,,,,,,,,4965,53884,1970
4965,,,,,,,,4966,50532,1970
4966,,,,,,,,4967,47109,1970
4967,,,,,,,,4968,43784,1970
4968,,,,,,,,4969,41295,1970
4969,,,,,,,,4970,39492,1970
4970,,,,,,,,4971,38132,1970
