region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
TX,biomass,1,1,1,0.0,0.0,1.0958785620000001e7,0.0,198277.93897407825,0.0,0.0,0.0,0.0,1.156048459430999e6,0.0,0.0,0.0,0.0,0.0,1.156048459430999e6,1.115706355897408e7,-1.0001015099543082e7
TX,conventional_hydroelectric,1,1,2,0.0,0.0,2.264505984e7,0.0,0.0,0.0,0.0,0.0,0.0,900626.9295570665,0.0,0.0,0.0,0.0,0.0,900626.9295570665,2.264505984e7,-2.1744432910442933e7
TX,conventional_steam_coal,1,1,3,0.0,0.0,4.4570500460428e8,0.0,5.38043023886007e6,6.965218242466952e7,0.0,226836.6829349158,0.0,8.478129075106001e7,0.0,0.0,0.0,0.0,0.0,8.478129075106001e7,5.209644539507445e8,-4.361831631996845e8
TX,conventional_steam_coal_1,1,2,4,0.0,0.0,5.3519364816479996e7,0.0,133774.1069832,1.959516627046444e6,0.0,110901.23630459998,0.0,2.285775045166548e6,0.0,0.0,0.0,0.0,0.0,2.285775045166548e6,5.572355678681424e7,-5.34377817416477e7
TX,conventional_steam_coal_2,1,3,5,0.0,0.0,3.7001646089519995e8,0.0,4.8009550264084935e6,6.064002049341852e7,0.0,2.0130639885090003e6,0.0,7.681868147999465e7,0.0,0.0,0.0,0.0,0.0,7.681868147999465e7,4.3747050040353596e8,-3.606518189235413e8
TX,conventional_steam_coal_3,1,4,6,0.0,0.0,4.1499941118879996e7,0.0,549601.18579002,6.200605018908824e6,0.0,0.0,0.0,9.060942654791139e6,0.0,0.0,0.0,0.0,0.0,9.060942654791139e6,4.8250147323578835e7,-3.9189204668787695e7
TX,natural_gas_fired_combined_cycle,1,1,7,0.0,0.0,1.32296268e7,0.0,119737.42227539634,718278.6788697835,0.0,435817.98995489965,0.0,1.3743274701010769e6,0.0,0.0,0.0,0.0,0.0,1.3743274701010769e6,1.450346089110008e7,-1.3129133420999004e7
TX,natural_gas_fired_combined_cycle_1,1,2,8,0.0,0.0,2.1349476960000005e7,0.0,1.3911804232235118e6,9.91722838008897e6,0.0,1.536595351557818e6,0.0,1.3615424880418004e7,0.0,0.0,0.0,0.0,0.0,1.3615424880418004e7,3.41944811148703e7,-2.05790562344523e7
TX,natural_gas_fired_combined_cycle_2,1,3,9,0.0,0.0,4.6745389440000005e7,0.0,9.696384885978347e6,4.7130304956964366e7,0.0,0.0,0.0,7.300365037629037e7,0.0,0.0,0.0,0.0,0.0,7.300365037629037e7,1.0357207928294271e8,-3.0568428906652346e7
TX,natural_gas_fired_combined_cycle_3,1,4,10,0.0,0.0,1.265295076e7,0.0,919142.8794441367,4.486847832246718e6,0.0,520866.53377075907,0.0,6.722017267464586e6,0.0,0.0,0.0,0.0,0.0,6.722017267464586e6,1.8579808005461615e7,-1.1857790737997029e7
TX,natural_gas_fired_combined_cycle_4,1,5,11,0.0,0.0,1.194058624e7,0.0,20492.91868281212,141344.9668794855,0.0,134136.88584151,0.0,327249.7528603428,0.0,0.0,0.0,0.0,0.0,327249.7528603428,1.2236561011403807e7,-1.1909311258543463e7
TX,natural_gas_fired_combined_cycle_5,1,6,12,0.0,0.0,5.10994041e7,0.0,7.5464977665778e6,3.97106683060464e7,0.0,902087.5145411114,0.0,5.959957542574452e7,0.0,0.0,0.0,0.0,0.0,5.959957542574452e7,9.92586576871653e7,-3.965908226142079e7
TX,natural_gas_fired_combined_cycle_6,1,7,13,0.0,0.0,1.7514422400000002e7,0.0,148515.10083308106,1.159230684049372e6,0.0,715161.7909892665,0.0,2.229041317119102e6,0.0,0.0,0.0,0.0,0.0,2.229041317119102e6,1.953732997587172e7,-1.7308288658752616e7
TX,natural_gas_fired_combined_cycle_7,1,8,14,0.0,0.0,1.748685286e7,0.0,1.9011715347030354e6,8.157979064566888e6,0.0,671998.3186389526,0.0,1.2577229762481755e7,0.0,0.0,0.0,0.0,0.0,1.2577229762481755e7,2.8218001777908877e7,-1.5640772015427122e7
TX,natural_gas_fired_combined_cycle_8,1,9,15,0.0,0.0,1.0217344239999999e8,0.0,1.7271254333568543e7,8.518890317182411e7,0.0,0.0,0.0,1.3087964661137956e8,0.0,0.0,0.0,0.0,0.0,1.3087964661137956e8,2.0463359990539265e8,-7.375395329401308e7
TX,natural_gas_fired_combined_cycle_9,1,10,16,0.0,0.0,5.35498432e6,0.0,631298.8235744834,3.7072676919297185e6,0.0,446019.4809519527,0.0,5.57931031905255e6,0.0,0.0,0.0,0.0,0.0,5.57931031905255e6,1.0139570316456154e7,-4.560259997403604e6
TX,natural_gas_fired_combined_cycle_10,1,11,17,0.0,0.0,4.01977122e6,0.0,90133.71380618263,518404.1361286917,0.0,155985.9204435914,0.0,813504.1414793904,0.0,0.0,0.0,0.0,0.0,813504.1414793904,4.784294990378466e6,-3.9707908488990758e6
TX,natural_gas_fired_combined_cycle_11,1,12,18,0.0,0.0,1.5067285200000001e7,0.0,733712.0930110414,5.447187497781218e6,0.0,669790.3607999999,0.0,7.298347586437948e6,0.0,0.0,0.0,0.0,0.0,7.298347586437948e6,2.1917975151592262e7,-1.4619627565154314e7
TX,natural_gas_fired_combined_cycle_12,1,13,19,0.0,0.0,1.740204756e7,0.0,1.391689903243822e6,7.325574484693237e6,0.0,192563.94815999997,0.0,1.0002914454119226e7,0.0,0.0,0.0,0.0,0.0,1.0002914454119226e7,2.6311875896097057e7,-1.630896144197783e7
TX,natural_gas_fired_combined_cycle_13,1,14,20,0.0,0.0,7.530195056000002e7,0.0,1.4597640893952763e7,7.600539059945673e7,0.0,662476.7444151767,0.0,1.123396023487417e8,0.0,0.0,0.0,0.0,0.0,1.123396023487417e8,1.6656745879782468e8,-5.4227856449082986e7
TX,natural_gas_fired_combined_cycle_14,1,15,21,0.0,0.0,8.294186240000001e6,0.0,750868.7778458577,4.831690662560395e6,0.0,696684.0236799999,0.0,7.099015898959101e6,0.0,0.0,0.0,0.0,0.0,7.099015898959101e6,1.4573429704086253e7,-7.474413805127152e6
TX,natural_gas_fired_combustion_turbine,1,1,22,0.0,0.0,7.4068878e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4068878e6,-7.4068878e6
TX,natural_gas_fired_combustion_turbine_1,1,2,23,0.0,0.0,1.267155058e7,0.0,1.4616583535262824e6,6.700812375152247e6,0.0,267059.9663647962,0.0,9.09960147781076e6,0.0,0.0,0.0,0.0,0.0,9.09960147781076e6,2.1101081275043327e7,-1.2001479797232568e7
TX,natural_gas_fired_combustion_turbine_2,1,3,24,0.0,0.0,1.16323128e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16323128e6,-1.16323128e6
TX,natural_gas_fired_combustion_turbine_3,1,4,25,0.0,0.0,2.1257028e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1257028e6,-2.1257028e6
TX,natural_gas_fired_combustion_turbine_4,1,5,26,0.0,0.0,1.3068400799999998e6,0.0,3081.636558,15765.813670698,0.0,11305.83181,0.0,31789.289785162,0.0,0.0,0.0,0.0,0.0,31789.289785162,1.3369933620386978e6,-1.3052040722535357e6
TX,natural_gas_fired_combustion_turbine_5,1,6,27,0.0,0.0,186691.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186691.44,-186691.44
TX,natural_gas_fired_combustion_turbine_6,1,7,28,0.0,0.0,5.08375152e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.08375152e6,-5.08375152e6
TX,natural_gas_fired_combustion_turbine_7,1,8,29,0.0,0.0,6.57786922e6,0.0,183740.50076667254,906933.8236826945,0.0,208098.48943114205,0.0,1.3268123119126533e6,0.0,0.0,0.0,0.0,0.0,1.3268123119126533e6,7.8766420338805085e6,-6.5498297219678555e6
TX,natural_gas_fired_combustion_turbine_8,1,9,30,0.0,0.0,1.53835362e7,0.0,16725.146073278713,96049.21240579696,0.0,106156.1441399081,0.0,218930.5026189838,0.0,0.0,0.0,0.0,0.0,218930.5026189838,1.5602466702618983e7,-1.53835362e7
TX,natural_gas_fired_combustion_turbine_9,1,10,31,0.0,0.0,8.456446799999999e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.456446799999999e6,-8.456446799999999e6
TX,natural_gas_fired_combustion_turbine_10,1,11,32,0.0,0.0,3.3585887999999993e6,0.0,14629.307615999996,72557.59297248,0.0,83580.21839999998,0.0,179216.5004523685,0.0,0.0,0.0,0.0,0.0,179216.5004523685,3.5293559189884798e6,-3.3501394185361112e6
TX,natural_gas_fired_combustion_turbine_11,1,12,33,0.0,0.0,2.4563676799999997e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4563676799999997e6,-2.4563676799999997e6
TX,natural_gas_fired_combustion_turbine_12,1,13,34,0.0,0.0,6.45977462e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.45977462e6,-6.45977462e6
TX,natural_gas_fired_combustion_turbine_13,1,14,35,0.0,0.0,588796.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588796.08,-588796.08
TX,natural_gas_fired_combustion_turbine_14,1,15,36,0.0,0.0,3.96360288e6,0.0,18693.004176000002,88355.22338937601,0.0,68655.17940000002,0.0,187112.82696558977,0.0,0.0,0.0,0.0,0.0,187112.82696558977,4.1393062869653758e6,-3.9521934599997858e6
TX,natural_gas_fired_combustion_turbine_15,1,16,37,0.0,0.0,1.2063139200000002e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2063139200000002e6,-1.2063139200000002e6
TX,natural_gas_steam_turbine,1,1,38,0.0,0.0,2.2691526e7,0.0,150716.30216263348,4.312920155485511e6,0.0,97728.4176,0.0,5.091345620604685e6,0.0,0.0,0.0,0.0,0.0,5.091345620604685e6,2.725289087524814e7,-2.2161545254643455e7
TX,natural_gas_steam_turbine_1,1,2,39,0.0,0.0,2.748929376e7,0.0,51086.13979230395,1.515298199901875e6,0.0,185166.061268,0.0,1.8178852516906352e6,0.0,0.0,0.0,0.0,0.0,1.8178852516906352e6,2.9240844160962183e7,-2.742295890927155e7
TX,natural_gas_steam_turbine_2,1,3,40,0.0,0.0,949726.0800000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,949726.0800000001,-949726.0800000001
TX,natural_gas_steam_turbine_3,1,4,41,0.0,0.0,4.254770676e7,0.0,269754.4998579719,7.681631245517929e6,0.0,313382.19369600003,0.0,8.973344596941266e6,0.0,0.0,0.0,0.0,0.0,8.973344596941266e6,5.08124746990719e7,-4.183913010213064e7
TX,natural_gas_steam_turbine_4,1,5,42,0.0,0.0,5.358572420000001e6,0.0,4404.8240639999985,156097.10686759203,0.0,39708.287057999994,0.0,213163.81367921774,0.0,0.0,0.0,0.0,0.0,213163.81367921774,5.558782637989593e6,-5.345618824310375e6
TX,natural_gas_steam_turbine_5,1,6,43,0.0,0.0,9.02239776e6,0.0,4789.32244285798,168559.1208241379,0.0,40659.383754,0.0,225423.69320427428,0.0,0.0,0.0,0.0,0.0,225423.69320427428,9.236405587020995e6,-9.01098189381672e6
TX,natural_gas_steam_turbine_6,1,7,44,0.0,0.0,6.93084816e7,0.0,670528.8935896041,1.781985261698447e7,0.0,0.0,0.0,2.112763496750142e7,0.0,0.0,0.0,0.0,0.0,2.112763496750142e7,8.779886311057407e7,-6.667122814307265e7
TX,natural_gas_steam_turbine_7,1,8,45,0.0,0.0,3.4793673199999996e7,0.0,35846.636715751534,1.099416652631545e6,0.0,257047.5332019131,0.0,1.4475721149411842e6,0.0,0.0,0.0,0.0,0.0,1.4475721149411842e6,3.6185984022549205e7,-3.473841190760802e7
TX,natural_gas_steam_turbine_8,1,9,46,0.0,0.0,4.453160064e7,0.0,147622.11035412803,4.241491956873487e6,0.0,199468.002624,0.0,5.0697853588191895e6,0.0,0.0,0.0,0.0,0.0,5.0697853588191895e6,4.912018270985161e7,-4.405039735103242e7
TX,natural_gas_steam_turbine_9,1,10,47,0.0,0.0,1.157955448e7,0.0,126917.44148322883,3.2996830799665544e6,0.0,0.0,0.0,4.1525382624624055e6,0.0,0.0,0.0,0.0,0.0,4.1525382624624055e6,1.5006155001449784e7,-1.0853616738987379e7
TX,natural_gas_steam_turbine_10,1,11,48,0.0,0.0,1.308511488e7,0.0,15358.029113854778,477495.585030266,0.0,88140.46678400002,0.0,602076.8708672274,0.0,0.0,0.0,0.0,0.0,602076.8708672274,1.3666108960928122e7,-1.3064032090060893e7
TX,natural_gas_steam_turbine_11,1,12,49,0.0,0.0,1.257820592e7,0.0,37386.24044088717,1.2064373611413308e6,0.0,92450.357216,0.0,1.4318782756139399e6,0.0,0.0,0.0,0.0,0.0,1.4318782756139399e6,1.3914479878798218e7,-1.2482601603184279e7
TX,natural_gas_steam_turbine_12,1,13,50,0.0,0.0,3.21851616e6,0.0,1826.9692633808716,60893.072337692356,0.0,14453.73162,0.0,80152.01353754375,0.0,0.0,0.0,0.0,0.0,80152.01353754375,3.2956899332210734e6,-3.2155379196835295e6
TX,natural_gas_steam_turbine_13,1,14,51,0.0,0.0,4.687948686e7,0.0,383031.59152490954,1.0426584602224257e7,0.0,0.0,0.0,1.2647498395986328e7,0.0,0.0,0.0,0.0,0.0,1.2647498395986328e7,5.768910305374916e7,-4.504160465776283e7
TX,natural_gas_steam_turbine_14,1,15,52,0.0,0.0,2.26879008e7,0.0,103286.56088573603,2.882287315571775e6,0.0,101624.69328,0.0,3.3068117642483986e6,0.0,0.0,0.0,0.0,0.0,3.3068117642483986e6,2.577509936973751e7,-2.2468287605489112e7
TX,natural_gas_steam_turbine_15,1,16,53,0.0,0.0,4.64832472e6,0.0,36063.068027421694,1.017616558596055e6,0.0,39940.86782400001,0.0,1.19811411674115e6,0.0,0.0,0.0,0.0,0.0,1.19811411674115e6,5.741945214447477e6,-4.543831097706327e6
TX,natural_gas_steam_turbine_16,1,17,54,0.0,0.0,4.64832472e6,0.0,9155.150844347017,291457.9834358301,0.0,60203.35367800001,0.0,376695.1401949733,0.0,0.0,0.0,0.0,0.0,376695.1401949733,5.009141207958177e6,-4.632446067763204e6
TX,natural_gas_steam_turbine_17,1,18,55,0.0,0.0,3.91464572e6,0.0,3633.4145755764757,125549.47854312134,0.0,32036.26224671017,0.0,172900.54094479984,0.0,0.0,0.0,0.0,0.0,172900.54094479984,4.075864875365408e6,-3.9029643344206084e6
TX,nuclear,1,1,56,0.0,0.0,5.0090876640000004e8,0.0,4.44058578432e6,1.3138333972807685e7,0.0,0.0,0.0,4.4589499826192066e7,0.0,0.0,0.0,0.0,0.0,4.4589499826192066e7,5.1848768615712774e8,-4.7389818633093566e8
TX,nuclear_1,1,2,57,0.0,0.0,4.8898236720000005e8,0.0,4.334857551359999e6,1.2825516497264674e7,0.0,0.0,0.0,4.352784506842559e7,0.0,0.0,0.0,0.0,0.0,4.352784506842559e7,5.0614274124862474e8,-4.6261489618019915e8
TX,onshore_wind_turbine,1,1,58,0.0,0.0,1.5020901e9,0.0,0.0,0.0,0.0,0.0,0.0,2.084501450917731e8,0.0,0.0,0.0,0.0,0.0,2.084501450917731e8,1.5020901e9,-1.293639954908227e9
TX,small_hydroelectric,1,1,59,0.0,0.0,774190.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,774190.08,-774190.08
TX,solar_photovoltaic,1,1,60,0.0,0.0,1.92087e8,0.0,0.0,0.0,0.0,0.0,0.0,8.670518943981975e7,0.0,0.0,0.0,0.0,0.0,8.670518943981975e7,1.92087e8,-1.0538181056018025e8
TX,Battery,1,1,61,0.0,0.0,1.82952e7,0.0,80723.24571868624,0.0,95393.6400902948,0.0,585887.0717801043,3.893166369156412e6,0.0,0.0,0.0,0.0,0.0,3.893166369156412e6,1.9057203957589086e7,-1.5164037588432673e7
