BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,3.976563639437163e7,80723.24571868626,-95393.64009029482,0.0,0.0,0.0,0.0,0.0,0.0,-3.9750966e7
t1,41884.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41884.0
t2,39884.62906768795,0.0,-252.62906768795324,0.0,0.0,0.0,0.0,0.0,0.0,-39632.0
t3,38939.00000000001,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-38213.0
t4,38158.00000000001,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-37432.0
t5,38252.00000000001,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-37526.0
t6,39439.00000000001,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-38713.0
t7,40261.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40261.0
t8,41764.12625960696,0.0,-0.1262596069565146,0.0,0.0,0.0,0.0,0.0,0.0,-41764.0
t9,44469.06313043479,0.0,-0.0631304347826863,0.0,0.0,0.0,0.0,0.0,0.0,-44469.0
t10,47883.06313043479,0.0,-0.0631304347826863,0.0,0.0,0.0,0.0,0.0,0.0,-47883.0
t11,51730.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51730.0
t12,55375.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55375.0
t13,58365.99999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58366.0
t14,60307.549207524804,536.4507924751952,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60844.0
t15,61975.99999999999,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62702.0
t16,63253.99999999999,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63980.0
t17,64285.4121241827,389.58787581729246,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64675.0
t18,63788.662801799,293.3371982009869,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64081.99999999999
t19,62264.999999999985,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62265.0
t20,59604.99999999998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59605.0
t21,57371.99999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57372.0
t22,55840.99999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55841.0
t23,52272.99999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52273.0
t24,48369.99999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48370.0
t25,44978.99999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44979.0
t26,42545.99999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42546.0
t27,41650.99999999999,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-40925.0
t28,40806.0,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-40080.0
t29,40739.99999999999,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-40014.0
