Region,Resource,Zone,Cluster,AnnualSum
TX,biomass,1,1,1.177963022275882e6
TX,conventional_hydroelectric,1,1,957213.9817332249
TX,conventional_steam_coal,1,1,8.909624672727853e7
TX,conventional_steam_coal_1,1,2,4.1278328056642124e6
TX,conventional_steam_coal_2,1,3,8.056473061878514e7
TX,conventional_steam_coal_3,1,4,7.983342212307662e6
TX,natural_gas_fired_combined_cycle,1,1,1.1676911309568288e6
TX,natural_gas_fired_combined_cycle_1,1,2,1.6169623076989958e7
TX,natural_gas_fired_combined_cycle_2,1,3,7.534382486035469e7
TX,natural_gas_fired_combined_cycle_3,1,4,7.624291057723311e6
TX,natural_gas_fired_combined_cycle_4,1,5,738983.7059271429
TX,natural_gas_fired_combined_cycle_5,1,6,6.2420051261672564e7
TX,natural_gas_fired_combined_cycle_6,1,7,2.6137171095308717e6
TX,natural_gas_fired_combined_cycle_7,1,8,1.3569044943683654e7
TX,natural_gas_fired_combined_cycle_8,1,9,1.2299235333999194e8
TX,natural_gas_fired_combined_cycle_9,1,10,3.0970172709777835e6
TX,natural_gas_fired_combined_cycle_10,1,11,1.3686448126069806e6
TX,natural_gas_fired_combined_cycle_11,1,12,8.136396228776892e6
TX,natural_gas_fired_combined_cycle_12,1,13,1.0659727768162545e7
TX,natural_gas_fired_combined_cycle_13,1,14,1.1584968846278489e8
TX,natural_gas_fired_combined_cycle_14,1,15,7.732541673653565e6
TX,natural_gas_fired_combustion_turbine,1,1,120625.8856626577
TX,natural_gas_fired_combustion_turbine_1,1,2,9.860560878005613e6
TX,natural_gas_fired_combustion_turbine_2,1,3,0.0
TX,natural_gas_fired_combustion_turbine_3,1,4,45764.609140970024
TX,natural_gas_fired_combustion_turbine_4,1,5,107704.72471978671
TX,natural_gas_fired_combustion_turbine_5,1,6,0.0
TX,natural_gas_fired_combustion_turbine_6,1,7,252645.00060641146
TX,natural_gas_fired_combustion_turbine_7,1,8,2.3056350349736204e6
TX,natural_gas_fired_combustion_turbine_8,1,9,922197.0812993792
TX,natural_gas_fired_combustion_turbine_9,1,10,29042.76955979719
TX,natural_gas_fired_combustion_turbine_10,1,11,469540.24029141245
TX,natural_gas_fired_combustion_turbine_11,1,12,0.0
TX,natural_gas_fired_combustion_turbine_12,1,13,208670.09415770633
TX,natural_gas_fired_combustion_turbine_13,1,14,0.0
TX,natural_gas_fired_combustion_turbine_14,1,15,592426.2990153555
TX,natural_gas_fired_combustion_turbine_15,1,16,12495.928633377713
TX,natural_gas_steam_turbine,1,1,6.106961366663631e6
TX,natural_gas_steam_turbine_1,1,2,1.6295760586583128e6
TX,natural_gas_steam_turbine_2,1,3,0.0
TX,natural_gas_steam_turbine_3,1,4,1.0048812104667077e7
TX,natural_gas_steam_turbine_4,1,5,562750.4127078229
TX,natural_gas_steam_turbine_5,1,6,336830.13650013076
TX,natural_gas_steam_turbine_6,1,7,2.2415877658784688e7
TX,natural_gas_steam_turbine_7,1,8,3.4534226935466356e6
TX,natural_gas_steam_turbine_8,1,9,5.255225321099217e6
TX,natural_gas_steam_turbine_9,1,10,0.0
TX,natural_gas_steam_turbine_10,1,11,563488.7830711659
TX,natural_gas_steam_turbine_11,1,12,1.6400553701390454e6
TX,natural_gas_steam_turbine_12,1,13,137138.581374747
TX,natural_gas_steam_turbine_13,1,14,1.376550509041919e7
TX,natural_gas_steam_turbine_14,1,15,3.5598955688744728e6
TX,natural_gas_steam_turbine_15,1,16,1.3892001017928978e6
TX,natural_gas_steam_turbine_16,1,17,542442.6160026185
TX,natural_gas_steam_turbine_17,1,18,491311.1092851382
TX,nuclear,1,1,4.575709773594011e7
TX,nuclear_1,1,2,4.466764302794153e7
TX,onshore_wind_turbine,1,1,2.1219151176990938e8
TX,small_hydroelectric,1,1,0.0
TX,solar_photovoltaic,1,1,8.993420575973831e7
TX,Battery,1,1,4.1801915273453044e6
