region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
TX,biomass,1,1,1,0.0,0.0,1.0958785620000001e7,0.0,196109.50613832724,0.0,0.0,0.0,0.0,1.177963022275882e6,0.0,0.0,0.0,0.0,0.0,1.177963022275882e6,1.1154895126138328e7,-9.976932103862446e6
TX,conventional_hydroelectric,1,1,2,0.0,0.0,2.264505984e7,0.0,0.0,0.0,0.0,0.0,0.0,957213.9817332249,0.0,0.0,0.0,0.0,0.0,957213.9817332249,2.264505984e7,-2.1687845858266775e7
TX,conventional_steam_coal,1,1,3,0.0,0.0,4.4570500460428e8,0.0,5.493187294171752e6,7.111187516996598e7,0.0,106802.02155294,0.0,8.909624672727853e7,0.0,0.0,0.0,0.0,0.0,8.909624672727853e7,5.2241686908997065e8,-4.333206223626921e8
TX,conventional_steam_coal_1,1,2,4,0.0,0.0,5.3519364816479996e7,0.0,232833.39680755886,3.4105322970566405e6,0.0,295737.0530607374,0.0,4.1278328056642124e6,0.0,0.0,0.0,0.0,0.0,4.1278328056642124e6,5.745846756340493e7,-5.333063475774072e7
TX,conventional_steam_coal_2,1,3,5,0.0,0.0,3.7001646089519995e8,0.0,4.892647666115775e6,6.179817413584164e7,0.0,2.0130643034127713e6,0.0,8.056473061878514e7,0.0,0.0,0.0,0.0,0.0,8.056473061878514e7,4.387203470005702e8,-3.5815561638178504e8
TX,conventional_steam_coal_3,1,4,6,0.0,0.0,4.1499941118879996e7,0.0,470077.369684887,5.303416683051306e6,0.0,0.0,0.0,7.983342212307662e6,0.0,0.0,0.0,0.0,0.0,7.983342212307662e6,4.727343517161619e7,-3.929009295930853e7
TX,natural_gas_fired_combined_cycle,1,1,7,0.0,0.0,1.32296268e7,0.0,99521.7188849748,601414.5735148272,0.0,342286.74257319997,0.0,1.1676911309568288e6,0.0,0.0,0.0,0.0,0.0,1.1676911309568288e6,1.4272849834973002e7,-1.3105158704016173e7
TX,natural_gas_fired_combined_cycle_1,1,2,8,0.0,0.0,2.1349476960000005e7,0.0,1.5982009984737225e6,1.1369061544787863e7,0.0,1.8932680345059019e6,0.0,1.6169623076989958e7,0.0,0.0,0.0,0.0,0.0,1.6169623076989958e7,3.621000753776749e7,-2.0040384460777536e7
TX,natural_gas_fired_combined_cycle_2,1,3,9,0.0,0.0,4.6745389440000005e7,0.0,9.744717027734328e6,4.736462587814187e7,0.0,-5.069615917674063,0.0,7.534382486035469e7,0.0,0.0,0.0,0.0,0.0,7.534382486035469e7,1.038547272762603e8,-2.851090241590561e7
TX,natural_gas_fired_combined_cycle_3,1,4,10,0.0,0.0,1.265295076e7,0.0,1.0427049599432155e6,5.080038113561495e6,0.0,443375.06270551996,0.0,7.624291057723311e6,0.0,0.0,0.0,0.0,0.0,7.624291057723311e6,1.921906889621023e7,-1.1594777838486921e7
TX,natural_gas_fired_combined_cycle_4,1,5,11,0.0,0.0,1.194058624e7,0.0,48805.0981786766,339550.6179249936,0.0,264204.97015499993,0.0,738983.7059271429,0.0,0.0,0.0,0.0,0.0,738983.7059271429,1.2593146926258672e7,-1.185416322033153e7
