Resource,Zone,AnnualSum,Capacity,CapacityFactor
biomass,1,37703.07072651838,69.0,0.7344372511788683
conventional_hydroelectric,1,17659.137599999114,468.0,0.05071666666666412
conventional_steam_coal,1,2.8427055207421687e6,6722.0,0.5684083239639558
conventional_steam_coal_1,1,120490.48158620918,698.0,0.23201944416113854
conventional_steam_coal_2,1,2.5319283298915196e6,6335.0,0.5371948659290678
conventional_steam_coal_3,1,243263.42111017863,652.0,0.5014830734014831
natural_gas_fired_combined_cycle,1,21265.77894505754,780.0,0.03664491822625024
natural_gas_fired_combined_cycle_1,1,430290.1800836033,2121.0,0.27267657531419254
natural_gas_fired_combined_cycle_2,1,2.6236099518971117e6,4644.0,0.7593362321764213
natural_gas_fired_combined_cycle_3,1,222804.96590594147,746.0,0.4014330297535628
natural_gas_fired_combined_cycle_4,1,10428.662616439797,704.0,0.01991053926953468
natural_gas_fired_combined_cycle_5,1,2.1069275910715093e6,4029.0,0.7028771217382009
natural_gas_fired_combined_cycle_6,1,47037.75028348372,1740.0,0.03633493255120174
natural_gas_fired_combined_cycle_7,1,431862.06611288595,1031.0,0.5630065628329396
natural_gas_fired_combined_cycle_8,1,4.320541663477204e6,8055.999999999999,0.720851496426427
natural_gas_fired_combined_cycle_9,1,92565.54600000007,532.0,0.23386476776618986
natural_gas_fired_combined_cycle_10,1,35080.26600000001,237.0,0.19894892473118286
natural_gas_fired_combined_cycle_11,1,218271.35018992293,1188.0,0.24694904939846823
natural_gas_fired_combined_cycle_12,1,306131.85259601276,1026.0,0.4010404910446833
natural_gas_fired_combined_cycle_13,1,3.9384686426517447e6,7481.0,0.7076113686305926
natural_gas_fired_combined_cycle_14,1,217546.15508072468,824.0,0.35485527436437236
natural_gas_fired_combustion_turbine,1,1128.794217567823,741.0,0.002047498689593805
natural_gas_fired_combustion_turbine_1,1,286341.52876684675,1073.0,0.3586837336365315
natural_gas_fired_combustion_turbine_2,1,0.0,81.0,0.0
natural_gas_fired_combustion_turbine_3,1,648.0,180.0,0.004838709677419355
natural_gas_fired_combustion_turbine_4,1,1766.6999999999998,91.0,0.026094470046082945
natural_gas_fired_combustion_turbine_5,1,0.0,13.0,0.0
natural_gas_fired_combustion_turbine_6,1,5083.091644253989,354.0,0.01929975261319934
natural_gas_fired_combustion_turbine_7,1,61858.232244026454,557.0,0.14926891431638978
natural_gas_fired_combustion_turbine_8,1,13092.889092937823,1539.0,0.011434677849862206
natural_gas_fired_combustion_turbine_9,1,175.7079,846.0,0.00027915665751544267
natural_gas_fired_combustion_turbine_10,1,8906.016,336.0,0.03562634408602151
natural_gas_fired_combustion_turbine_11,1,0.0,208.0,0.0
natural_gas_fired_combustion_turbine_12,1,3134.8895339999995,547.0,0.0077030369316506446
natural_gas_fired_combustion_turbine_13,1,0.0,41.0,0.0
natural_gas_fired_combustion_turbine_14,1,13959.757330543678,276.0,0.06798229960721364
natural_gas_fired_combustion_turbine_15,1,75.6,84.0,0.0012096774193548385
natural_gas_steam_turbine,1,162433.79597780714,825.0,0.2646363570834264
natural_gas_steam_turbine_1,1,40399.41955542538,521.0,0.1042232151657931
natural_gas_steam_turbine_2,1,0.0,18.0,0.0
natural_gas_steam_turbine_3,1,267065.87421146774,1326.0,0.27070852816647584
natural_gas_steam_turbine_4,1,11978.909999999993,167.0,0.0964112903225806
natural_gas_steam_turbine_5,1,6299.464409700445,171.0,0.04951474886578353
natural_gas_steam_turbine_6,1,631097.0331607349,2160.0,0.39270773170595313
natural_gas_steam_turbine_7,1,79971.23361408574,1265.0,0.08497092270611345
natural_gas_steam_turbine_8,1,139232.5421843485,844.0,0.22173046645573516
natural_gas_steam_turbine_9,1,0.0,421.0,0.0
natural_gas_steam_turbine_10,1,13258.21705409069,248.0,0.07185558150196568
natural_gas_steam_turbine_11,1,37841.820462140444,392.0,0.12975168854969155
natural_gas_steam_turbine_12,1,2839.8076374605416,61.0,0.06257288113565446
natural_gas_steam_turbine_13,1,370059.63051592704,1461.0,0.34044625359336206
natural_gas_steam_turbine_14,1,98126.80995406165,430.0,0.3067229618469044
natural_gas_steam_turbine_15,1,37307.48719976443,169.0,0.29671285232363387
natural_gas_steam_turbine_16,1,12259.469351403417,169.0,0.09750166500766223
natural_gas_steam_turbine_17,1,10876.936621210436,122.0,0.11983228253581037
nuclear,1,1.7811359999999998e6,2520.0,0.95
nuclear_1,1,1.7387279999999998e6,2460.0,0.95
onshore_wind_turbine,1,1.0568669205101617e7,34061.0,0.41705177606328114
small_hydroelectric,1,0.0,16.0,0.0
solar_photovoltaic,1,2.5435838104569763e6,9147.0,0.3737613910749538
Battery,1,82277.37459565434,726.0,0.0
