Resource,biomass,conventional_hydroelectric,conventional_steam_coal,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,small_hydroelectric,solar_photovoltaic,Battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,37703.07072651838,17659.137599999114,2.8427055207421687e6,120490.48158620916,2.5319283298915196e6,243263.42111017863,21265.778945057544,430290.1800836032,2.6236099518971117e6,222804.96590594147,10428.662616439797,2.1069275910715093e6,47037.750283483714,431862.06611288595,4.320541663477204e6,92565.54600000009,35080.266,218271.3501899229,306131.85259601276,3.9384686426517447e6,217546.15508072465,1128.794217567823,286341.5287668468,0.0,648.0,1766.7,0.0,5083.091644253989,61858.23224402614,13092.889092937825,175.7079,8906.016,0.0,3134.889534,0.0,13959.757330543678,75.6,162433.79597780714,40399.41955542538,0.0,267065.87421146774,11978.909999999989,6299.464409700445,631097.0331607378,79971.23361408578,139232.54218434633,0.0,13258.217054090688,37841.820462140444,2839.8076374605416,370059.630515927,98126.80995406164,37307.48719976443,12259.469351403419,10876.936621210436,1.7811359999999998e6,1.7387279999999998e6,1.0568669205101617e7,0.0,2.5435838104569735e6,82277.37459565442,3.984819643336229e7
t1,0.0,0.0,2083.82,0.0,2305.940364,72.0876,0.0,0.0,2122.3093710000003,0.0,0.0,1885.5720000000001,0.0,453.89774999999986,3339.03834,0.0,0.0,0.0,235.98000000000002,3321.564444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,0.0,0.0,0.0,308.87999999999994,0.0,113.23693500000002,0.0,0.0,0.0,0.0,156.327,0.0,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,20604.639195999993,0.0,0.0,0.0,41883.99999999999
t2,0.0,0.0,2083.82,0.0,2305.940364,72.0876,0.0,0.0,2122.3093710000003,0.0,0.0,1885.5720000000001,0.0,453.89774999999986,3339.03834,0.0,0.0,0.0,235.98000000000002,3321.564444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,0.0,0.0,0.0,308.87999999999994,0.0,113.23693500000002,0.0,0.0,0.0,0.0,156.327,0.0,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,18605.26826368795,0.0,0.0,0.0,39884.62906768795
t3,0.0,0.0,2083.82,0.0,2305.940364,72.0876,0.0,0.0,2122.3093710000003,0.0,0.0,1885.5720000000001,0.0,453.89774999999986,3339.03834,0.0,0.0,0.0,235.98000000000002,3321.564444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,0.0,0.0,0.0,308.87999999999994,0.0,113.23693500000002,0.0,0.0,0.0,0.0,156.327,0.0,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,17659.639195999996,0.0,0.0,0.0,38939.0
t4,0.0,0.0,2083.82,0.0,2305.940364,72.0876,0.0,0.0,2122.3093710000003,0.0,0.0,1885.5720000000001,0.0,453.89774999999986,3339.03834,0.0,0.0,0.0,235.98000000000002,3321.564444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,0.0,0.0,0.0,308.87999999999994,0.0,113.23693500000002,0.0,0.0,0.0,0.0,156.327,0.0,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,16878.639195999996,0.0,0.0,0.0,38158.0
t5,0.0,0.0,2083.82,0.0,2305.940364,72.0876,0.0,0.0,2122.3093710000003,0.0,0.0,1885.5720000000001,0.0,453.89774999999986,3339.03834,0.0,0.0,0.0,235.98000000000002,3321.564444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,0.0,0.0,0.0,308.87999999999994,0.0,113.23693500000002,0.0,0.0,0.0,0.0,156.327,0.0,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,16972.639196,0.0,0.0,0.0,38252.0
t6,0.0,0.0,2083.82,0.0,2305.940364,72.0876,0.0,0.0,2122.3093710000003,0.0,0.0,1885.5720000000001,0.0,453.89774999999986,3339.03834,0.0,0.0,0.0,235.98000000000002,3321.564444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,0.0,0.0,0.0,308.87999999999994,0.0,113.23693500000002,0.0,0.0,0.0,0.0,156.327,0.0,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,18159.639195999996,0.0,0.0,0.0,39439.0
t7,61.73639999999999,0.0,2083.82,0.0,2305.940364,72.0876,0.0,0.0,2122.3093710000003,0.0,0.0,1885.5720000000001,0.0,453.89774999999986,4308.802288043781,0.0,0.0,0.0,235.98000000000002,3321.564444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,0.0,0.0,0.0,308.87999999999994,0.0,113.23693500000002,0.0,0.0,0.0,0.0,156.327,0.0,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,17835.297565625002,0.0,114.904412766,0.0,40261.063130434784
t8,61.73639999999999,0.0,2083.82,0.0,2305.940364,72.0876,0.0,0.0,2122.3093710000003,0.0,0.0,1885.5720000000001,0.0,453.89774999999986,5156.658199327785,0.0,0.0,0.0,235.98000000000002,3321.564444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,0.0,0.0,0.0,308.87999999999994,0.0,113.23693500000002,0.0,0.0,0.0,0.0,156.327,0.0,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,16317.667134375,0.0,2287.6789327320002,0.0,41764.063130434784
t9,61.73639999999999,0.0,2083.82,0.0,2305.940364,72.0876,0.0,0.0,4179.600007463576,0.0,0.0,2475.0711603112054,0.0,453.89774999999986,6619.2390000000005,0.0,0.0,0.0,235.98000000000002,3321.564444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,0.0,0.0,0.0,308.87999999999994,0.0,113.23693500000002,0.0,0.0,0.0,0.0,156.327,0.0,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,11233.371037343,0.0,5967.604432317001,0.0,44469.063130434784
t10,61.73639999999999,0.0,2083.82,0.0,2305.940364,182.99160000000003,0.0,0.0,4179.600007463576,0.0,0.0,3626.1,0.0,453.89774999999986,6619.2390000000005,0.0,0.0,0.0,235.98000000000002,4925.934825454205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,0.0,0.0,0.0,308.87999999999994,0.0,113.23693500000002,0.0,0.0,0.0,0.0,156.327,0.0,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,10417.290765468002,0.0,7331.381483048999,0.0,47883.063130434784
t11,61.73639999999999,0.0,2083.82,0.0,4506.418686992417,499.068,0.0,0.0,4179.600007463576,0.0,0.0,3626.1,0.0,695.925,6619.2390000000005,0.0,0.0,0.0,235.98000000000002,6732.900900000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,0.0,0.0,0.0,308.87999999999994,0.0,113.23693500000002,0.0,0.0,0.0,0.0,156.327,0.0,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,9407.744013593,0.0,7622.317056951,0.0,51730.0
t12,61.73639999999999,0.0,4865.422047251416,0.0,5701.5009,499.068,0.0,0.0,4179.600007463576,0.0,0.0,3626.1,0.0,695.925,6619.2390000000005,0.0,0.0,0.0,235.98000000000002,6732.900900000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,0.0,0.0,0.0,308.87999999999994,0.0,113.23693500000002,0.0,0.0,0.0,0.0,156.327,0.0,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,9065.835437968,0.0,7632.541372317,0.0,55374.99999999999
t13,61.73639999999999,0.0,6049.800000000001,0.0,5701.5009,499.068,0.0,0.0,4179.600007463576,0.0,0.0,3626.1,0.0,695.925,6619.2390000000005,0.0,0.0,0.0,892.6200000000002,6732.900900000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,0.0,0.0,0.0,1146.9190153004124,0.0,113.23693500000002,0.0,0.0,0.0,0.0,482.13000000000017,0.0,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,9091.551492968,0.0,7592.965349268001,0.0,58365.999999999985
t14,61.73639999999999,0.0,6049.800000000001,0.0,5701.5009,499.068,0.0,0.0,4179.600007463576,0.0,0.0,3626.1,0.0,695.925,6619.2390000000005,0.0,0.0,0.0,923.4,6732.900900000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,0.0,0.0,0.0,1944.0,0.0,123.94176700661986,0.0,0.0,0.0,0.0,1314.9,0.0,126.41199999999999,0.0,0.0,2393.9999999999995,2336.9999999999995,9364.220425,0.0,7654.534830732,376.0957697977892,60843.999999999985
t15,61.73639999999999,17.400159777416143,6049.800000000001,0.0,5701.5009,499.068,0.0,0.0,4179.600007463576,0.0,0.0,3626.1,0.0,695.925,6619.2390000000005,0.0,0.0,0.0,923.4,6732.900900000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.2010219263727,0.0,0.0,0.0,0.0,0.0,1944.0,0.0,524.8427170066199,0.0,0.0,0.0,0.0,1314.9,0.0,152.10000000000002,0.0,0.0,2393.9999999999995,2336.9999999999995,10218.449016874998,0.0,7558.836876951001,726.0,62701.999999999985
t16,61.73639999999999,56.244159777416144,6049.800000000001,0.0,5701.5009,499.068,0.0,0.0,4179.600007463576,0.0,0.0,3626.1,0.0,695.925,6619.2390000000005,0.0,0.0,0.0,923.4,6732.900900000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742.4999999999999,0.0,0.0,0.0,0.0,0.0,1944.0,0.0,633.0015000000001,0.0,0.0,0.0,0.0,1314.9,0.0,152.10000000000002,0.0,0.0,2393.9999999999995,2336.9999999999995,11187.016128125,0.0,7403.968004634001,726.0,63979.99999999999
t17,61.73639999999999,17.400159777416143,6049.800000000001,0.0,5701.5009,499.068,0.0,0.0,4179.600007463576,0.0,0.0,3626.1,0.0,695.925,6619.2390000000005,0.0,0.0,0.0,923.4,6732.900900000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.25,0.0,0.0,0.0,0.0,0.0,1944.0,0.0,232.10055000000014,0.0,0.0,0.0,0.0,1314.9,0.0,152.10000000000002,0.0,0.0,2393.9999999999995,2336.9999999999995,12964.734243593,0.0,7371.059129268,586.1857098979922,64674.99999999999
t18,61.73639999999999,0.0,6049.800000000001,0.0,5701.5009,499.068,0.0,0.0,4179.600007463576,0.0,0.0,3626.1,0.0,695.925,6619.2390000000005,0.0,0.0,0.0,875.5200000000001,6732.900900000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.81249999999999,0.0,0.0,0.0,0.0,0.0,1540.0799999999997,0.0,0.0,0.0,0.0,0.0,0.0,989.097,0.0,96.33,0.0,0.0,2393.9999999999995,2336.9999999999995,14302.00101875,0.0,7065.203783049,257.0854907374076,64081.99999999999
t19,61.73639999999999,0.0,4567.349995219418,0.0,5701.5009,499.068,0.0,0.0,4179.600007463576,0.0,0.0,3626.1,0.0,695.925,6619.2390000000005,0.0,0.0,0.0,218.88000000000002,6732.900900000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.81249999999999,0.0,0.0,0.0,0.0,0.0,308.87999999999994,0.0,0.0,0.0,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2393.9999999999995,2336.9999999999995,17637.637325,0.0,6469.042972317,0.0,62264.99999999999
t20,61.73639999999999,0.0,4960.614928161418,0.0,5701.5009,499.068,0.0,0.0,4179.600007463576,0.0,0.0,3626.1,0.0,695.925,6619.2390000000005,0.0,0.0,0.0,0.0,6732.900900000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.81249999999999,0.0,0.0,0.0,0.0,0.0,308.87999999999994,0.0,0.0,0.0,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2393.9999999999995,2336.9999999999995,17239.017184375,0.0,4033.27818,0.0,59604.99999999999
