BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,3.9765919058766656e7,82277.3745956544,-97230.43336229798,0.0,0.0,0.0,0.0,0.0,0.0,-3.9750966e7
t1,41883.99999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41884.0
t2,39884.62906768795,0.0,-252.62906768795324,0.0,0.0,0.0,0.0,0.0,0.0,-39632.0
t3,38938.99999999999,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-38213.0
t4,38158.0,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-37432.0
t5,38251.99999999999,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-37526.0
t6,39438.99999999999,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-38713.0
t7,40261.063130434784,0.0,-0.0631304347826863,0.0,0.0,0.0,0.0,0.0,0.0,-40261.0
t8,41764.063130434784,0.0,-0.0631304347826863,0.0,0.0,0.0,0.0,0.0,0.0,-41764.0
t9,44469.063130434784,0.0,-0.0631304347826863,0.0,0.0,0.0,0.0,0.0,0.0,-44469.0
t10,47883.063130434784,0.0,-0.0631304347826863,0.0,0.0,0.0,0.0,0.0,0.0,-47883.0
t11,51730.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51730.0
t12,55374.999999999985,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55375.0
t13,58365.99999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58366.0
t14,60467.904230202206,376.0957697977892,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60844.0
t15,61975.99999999998,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62702.0
t16,63253.99999999999,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63980.0
