,Prices,Time_Index
0,20.54,1
1,19.82,2
2,19.6,3
3,19.25,4
4,21.28,5
5,22.63,6
6,24.06,7
7,24.72,8
8,25.05,9
9,24.88,10
10,24.75,11
11,25.41,12
12,24.22,13
13,22.93,14
14,22.91,15
15,22.81,16
16,23.72,17
17,31.29,18
18,35.57,19
19,31.05,20
20,28.91,21
21,27.4,22
22,25.41,23
23,23.87,24
24,23.82,25
25,23.16,26
26,23.2,27
27,22.91,28
28,25.09,29
29,28.65,30
30,39.13,31
31,39.06,32
32,36.26,33
33,39.55,34
34,40.25,35
35,37.33,36
36,34.61,37
37,34.87,38
38,34.84,39
39,34.65,40
40,36.45,41
41,64.67,42
42,66.72,43
43,40.92,44
44,40.1,45
45,35.37,46
46,31.53,47
47,26.41,48
48,26.5,49
49,24.08,50
50,24.64,51
51,24.15,52
52,24.27,53
53,29.81,54
54,55.11,55
55,40.24,56
56,35.26,57
57,35.63,58
58,32.79,59
59,29.89,60
60,27.77,61
61,26.51,62
62,23.81,63
63,24.49,64
64,27.16,65
65,41.4,66
66,44.77,67
67,34.8,68
68,33.82,69
69,30.14,70
70,27.12,71
71,23.63,72
72,22.22,73
73,22.2,74
74,21.34,75
75,22.08,76
76,23.12,77
77,28.38,78
78,55.61,79
79,46.54,80
80,36.13,81
81,31.9,82
82,28.77,83
83,26.15,84
84,23.67,85
85,23.02,86
86,21.74,87
87,21.07,88
88,22.69,89
89,34.73,90
90,32.18,91
91,26.53,92
92,26.74,93
93,27.36,94
94,24.22,95
95,22.63,96
96,21.27,97
97,20.06,98
98,19.9,99
99,19.48,100
100,20.68,101
101,22.69,102
102,25.87,103
103,29.18,104
104,31.11,105
105,30.02,106
106,24.87,107
107,23.11,108
108,22.8,109
109,21.63,110
110,20.34,111
111,19.62,112
112,19.66,113
113,24.02,114
114,21.7,115
115,20.08,116
116,19.41,117
117,18.38,118
118,19.15,119
119,16.99,120
120,16.67,121
121,15.68,122
122,16,123
123,16,124
124,17.77,125
125,18.6,126
126,17.52,127
127,19.22,128
128,21.91,129
129,21.83,130
130,19.54,131
131,18.09,132
132,17.23,133
133,16.62,134
134,15.94,135
135,15.94,136
136,16.54,137
137,21.2,138
138,20.87,139
139,19.02,140
140,17.22,141
141,16.45,142
142,16.22,143
143,15.76,144
144,11.91,145
145,11.33,146
146,12.43,147
147,12.45,148
148,15.44,149
149,19.13,150
150,19.16,151
151,21.8,152
152,21.72,153
153,22.27,154
154,22,155
155,22.28,156
156,22.84,157
157,23.06,158
158,22.35,159
159,22.37,160
160,22.64,161
161,40.29,162
162,31.42,163
163,22.76,164
164,22.37,165
165,22.25,166
166,20.85,167
167,18.74,168
168,15.65,169
169,15.37,170
170,15.44,171
171,16.89,172
172,17.94,173
173,20.89,174
174,23.63,175
175,26.48,176
176,25,177
177,22.1,178
178,22.57,179
179,20.73,180
180,21.5,181
181,21.84,182
182,21.63,183
183,21.27,184
184,21.85,185
185,41.37,186
186,32.39,187
187,25.52,188
188,24.73,189
189,25.15,190
190,22.03,191
191,21.28,192
192,19.2,193
193,18.56,194
194,19.3,195
195,19.02,196
196,20.6,197
197,21.62,198
198,33.72,199
199,29.43,200
200,25.88,201
201,26.02,202
202,23.09,203
203,22.25,204
204,21.74,205
205,20.77,206
206,20.1,207
207,20.06,208
208,20.83,209
209,29.53,210
210,31.92,211
211,24.64,212
212,24.62,213
213,24.22,214
214,22.68,215
215,21.45,216
216,18.3,217
217,17.89,218
218,17.56,219
219,18.19,220
220,19,221
221,20.96,222
222,36.77,223
223,28.11,224
224,23.88,225
225,22.55,226
226,21.6,227
227,20.69,228
228,19.93,229
229,19.76,230
230,18.87,231
231,18.62,232
232,19.34,233
233,25.81,234
234,24.15,235
235,20.9,236
236,20.47,237
237,20.4,238
238,18.71,239
239,17.41,240
240,16.74,241
241,16.83,242
242,16.63,243
243,16.45,244
244,18.53,245
245,19.32,246
246,23.07,247
247,22.33,248
248,21.22,249
249,20.71,250
250,20.38,251
251,19.64,252
252,18.59,253
253,18.53,254
254,18.24,255
255,19.24,256
256,19.79,257
257,28.75,258
258,28.79,259
259,24.33,260
260,22.21,261
261,22.12,262
262,19.77,263
263,19.45,264
264,19.91,265
265,18.94,266
266,18.07,267
267,17.57,268
268,18.46,269
